# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 172586 172586 61898 172586
-1.021430858092074789e+00 -6.243457337333619944e+04 3.824908456916633059e-01 145558 172570 79916 223246
-2.045301359957322873e+00 -4.201895794778994605e+04 9.966750360282861099e-02 132136 172441 84113 241306
-3.092809658293007580e+00 -3.584127489981371764e+04 6.438834281313876584e-01 124415 172303 90012 245636
-4.096270965115431650e+00 -3.391976830287327903e+04 2.816814165753104282e-01 119176 172136 97514 250397
-5.045549045412319522e+00 -3.325128379729732114e+04 3.487241794595623556e-01 114627 171956 95351 257717
-6.040467983641463867e+00 -3.299212123841208086e+04 6.189644379971876997e-01 111260 171690 85723 254815
-7.119611377511761319e+00 -3.288572989338161278e+04 6.073324189820002994e-01 108051 171696 84929 246627
-8.177941618001991486e+00 -3.285144261618868040e+04 9.731789457613935213e-01 105467 171508 83804 245369
-9.243459411852605001e+00 -3.283992698409832519e+04 2.439626170333904220e-01 102792 171362 87640 244968
-1.026812120336870926e+01 -3.283583171410077921e+04 2.901739734078043753e-01 101434 171500 93690 247533
-1.124285577305020745e+01 -3.283440798395415186e+04 4.574948369036044293e-01 99533 171687 83760 253611
-1.233815608536719211e+01 -3.283386954812082695e+04 2.729989190512609534e-02 98193 171795 69012 246017
-1.357441994993475021e+01 -3.283365000048087677e+04 5.623745760163116891e-01 96432 170878 71999 230130
-1.471539021788659163e+01 -3.283359608908407245e+04 3.386943808582852933e-01 95580 171290 68293 235853
-1.592331406823684148e+01 -3.283357853499265912e+04 5.020304170262048782e-01 95325 172048 92359 236058
-1.686879152760879208e+01 -3.283357384143651871e+04 4.653002085276525812e-01 94463 172416 116899 258445
-1.768272490670546659e+01 -3.283357211702251516e+04 9.979986123687892841e-01 94336 172872 109660 283413
-1.863719885437524226e+01 -3.283357133291039645e+04 3.605471436076381764e-01 93892 173332 115066 276683
-1.952647355193760603e+01 -3.283357104191437247e+04 6.212014687992084561e-01 92832 172137 117740 280704
-2.040782071420128219e+01 -3.283357091055044293e+04 6.873614077197665040e-01 92602 172452 123599 283916
-2.125510739182352182e+01 -3.283357085890497547e+04 5.187931874538398436e-01 91819 172473 74283 288080
-2.256912565491696654e+01 -3.283357082828071725e+04 3.573760077131544755e-01 91837 173010 126982 241317
-2.324667307215399248e+01 -3.283357082327133685e+04 6.369100817437247652e-01 91663 173067 122744 293726
-2.413091854556759230e+01 -3.283357082041961257e+04 6.700094470732992358e-01 92172 173602 130110 290018
-2.495033530414947620e+01 -3.283357081912090507e+04 1.679898799161944345e-01 91454 173412 111171 297190
-2.593523119306161107e+01 -3.283357081852147530e+04 6.136493854269780002e-01 90811 172693 103011 277515
-2.692718333266354946e+01 -3.283357081824970373e+04 1.712747430828293060e-01 88801 169530 48657 266230
-2.852461241090178135e+01 -3.283357081809709052e+04 9.411250080439437227e-02 88158 169256 110687 211572
-2.921183064383767913e+01 -3.283357081808226940e+04 8.491665796986664905e-01 88558 170172 0 0
