         9799937 function calls (9765880 primitive calls) in 31.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   31.497   31.497 /Users/BallBlueMeercat/Documents/Study/MPhil/Geraint/Cosmodels/Models/paramfinder.py:11(paramfinder)
        1    0.000    0.000   31.497   31.497 /Users/BallBlueMeercat/Documents/Study/MPhil/Geraint/Cosmodels/Models/stats.py:19(stats)
        2    0.011    0.005   23.683   11.841 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/emcee/sampler.py:135(run_mcmc)
    12502    0.602    0.000   23.672    0.002 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/emcee/ensemble.py:130(sample)
    25000    0.801    0.000   22.815    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/emcee/ensemble.py:292(_propose_stretch)
    25002    0.392    0.000   21.642    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/emcee/ensemble.py:340(_get_lnprob)
    50008    0.074    0.000   20.631    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/emcee/ensemble.py:517(__call__)
    50008    0.192    0.000   20.557    0.000 /Users/BallBlueMeercat/Documents/Study/MPhil/Geraint/Cosmodels/Models/ln.py:79(lnprob)
    50008    0.854    0.000   20.102    0.000 /Users/BallBlueMeercat/Documents/Study/MPhil/Geraint/Cosmodels/Models/ln.py:12(lnlike)
    50009    1.126    0.000   18.807    0.000 /Users/BallBlueMeercat/Documents/Study/MPhil/Geraint/Cosmodels/Models/datasim.py:30(magn)
    50009    1.146    0.000   16.981    0.000 /Users/BallBlueMeercat/Documents/Study/MPhil/Geraint/Cosmodels/Models/zodesolve.py:27(zodesolve)
    50009    0.144    0.000   15.804    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/scipy/integrate/odepack.py:25(odeint)
    50009   15.463    0.000   15.463    0.000 {built-in method scipy.integrate._odepack.odeint}
        2    0.000    0.000    7.198    3.599 /Users/BallBlueMeercat/Documents/Study/MPhil/Geraint/Cosmodels/Models/plots.py:22(stat)
       14    0.003    0.000    6.749    0.482 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backend_bases.py:2115(print_figure)
