# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32808 32808 10303 32486
-1.134286432705408743e+00 -1.964337585116376402e+06 7.115827268299073083e-01 27917 32777 17697 42281
-2.013689499681101225e+00 -1.462184678285515169e+06 9.902195341296371467e-01 26445 32801 18535 49273
-2.992734779655293220e+00 -6.015430390232962091e+05 7.733332769110197180e-01 23894 32858 19866 50205
-3.924013754462617687e+00 -2.235207790167479543e+05 7.106936741929694712e-01 20691 32813 26652 51540
-4.600330141565637909e+00 -1.488660380336332601e+05 1.952097171096081052e-01 19266 32815 22971 57814
-5.527179122370752040e+00 -9.759548727357332245e+04 4.598975012542503293e-01 18293 32734 22442 54576
-6.421626157276392632e+00 -7.438429489432928676e+04 3.521527715924399615e-01 17012 32863 22614 54197
-7.302227318048233329e+00 -6.299147767212005419e+04 2.779612119177833907e-01 16068 32932 23427 54256
-8.150235756571030166e+00 -5.740004255526755878e+04 2.800786030159595486e-01 15415 32881 24555 54676
-8.960681490350953737e+00 -5.425681465153321915e+04 6.416101211902283108e-01 14601 32749 16991 55736
-1.013758476915156592e+01 -5.189061581798280531e+04 3.798448432064972513e-01 13292 32675 23339 48681
-1.088704036046061141e+01 -5.111355654525637510e+04 5.892380316734816548e-01 12805 32742 28020 54548
-1.156887643572221158e+01 -5.066295950817047560e+04 8.321508574462450625e-01 12301 32761 21410 58945
-1.258097023648212698e+01 -5.027980858714693750e+04 7.317864549276771324e-01 11409 32658 12537 52956
-1.399101388230135079e+01 -5.005198403365811828e+04 4.942269771823277758e-01 10586 32668 13779 44473
-1.515038991440498606e+01 -4.997018092526564578e+04 3.686166458569224980e-01 9907 32580 15143 45424
-1.624217780065458427e+01 -4.993469072935705481e+04 5.738972699597786470e-02 9112 32685 21745 46872
-1.702338413112023474e+01 -4.992166523709868488e+04 3.499273801919811078e-01 8858 32792 22400 53421
-1.789940506828725475e+01 -4.991407730945274670e+04 3.825451098274690320e-01 8397 32798 17137 53888
-1.903641925461256079e+01 -4.990894275579469104e+04 6.519885453248868146e-01 7674 32518 20414 48728
-1.991390653386168097e+01 -4.990676666861172998e+04 6.465330260755924874e-01 7237 32298 12035 51673
-2.133815211722812322e+01 -4.990512778579667793e+04 9.386256422777337072e-01 6868 32466 17136 44188
-2.228885969247812326e+01 -4.990464838097881875e+04 6.856854716491113111e-01 6617 32596 19144 49151
-2.323512738232954788e+01 -4.990438685685717792e+04 6.405731566669543575e-01 6247 32451 17751 51014
-2.428745058605013440e+01 -4.990423078888488089e+04 7.312423909720869863e-01 6016 32485 14848 49612
-2.548017858084721965e+01 -4.990414434769803484e+04 9.043716161829118416e-01 5749 32499 32699 46787
-2.586888069022020531e+01 -4.990412993333300983e+04 3.534036107087840106e-01 5685 32632 36092 64731
-2.646902116037968256e+01 -4.990411216674774914e+04 7.842784863249082639e-01 5468 32560 26530 2504
-2.741335391622698126e+01 -4.990409496257839783e+04 4.697580906313825189e-01 5337 32526 0 0
