# level_assignment log_likelihood tiebreaker ID
0 -2.360161457430631388e+06 2.644600222216273444e-01 2
0 -3.469780628064393532e+05 9.443068068569284712e-01 0
2 -3.901604743562028161e+05 2.077309934400590474e-01 4
3 -2.208788021989731351e+05 3.120374425963761689e-01 2
2 -1.249272595754334005e+06 4.248942173816893653e-01 0
1 -2.078304866335988627e+05 4.237689963922126601e-01 4
4 -1.716785675172682386e+05 7.971248930074803507e-01 4
5 -1.259177351362866029e+05 6.823587843656109264e-02 1
5 -6.483379066555323516e+04 5.052553167624307395e-02 2
7 -5.952469554920867813e+04 8.366642343696450990e-01 2
7 -7.294077400937800121e+04 1.145794486685346725e-01 1
7 -7.216746154808488791e+04 7.426626745683344577e-01 4
10 -5.159329896184743848e+04 7.415475833239781878e-02 4
10 -5.231063673748000292e+04 8.228673029519629756e-01 4
8 -5.278860963465641544e+04 6.600166728924010684e-01 2
7 -5.283391669444329455e+04 2.465693757079313320e-01 3
12 -4.994523332192662201e+04 2.378875643862723432e-01 2
9 -5.268071561322128400e+04 1.233099213260254595e-01 1
2 -1.428112918764775852e+06 3.341430800686128744e-01 4
5 -9.551552414056158159e+04 3.386426967857403825e-01 2
13 -5.031342156274503213e+04 8.658618340278207981e-01 2
8 -5.515474146810839011e+04 4.865658121288842786e-01 3
12 -5.089432790026198199e+04 2.902321493742092695e-01 3
11 -5.024055346643989469e+04 1.046144318079227087e-01 1
13 -5.010962972787354374e+04 9.788845353077683109e-01 2
11 -5.026814143964934192e+04 2.563852234238537253e-01 4
10 -5.362292106032849551e+04 7.510662221002297745e-01 4
8 -5.298428305629553506e+04 9.633772769713757622e-01 1
14 -5.013833083797723521e+04 5.159690051338570171e-01 1
9 -5.684089609842228674e+04 3.875030077202801237e-01 4
10 -5.156787795817589358e+04 4.125042502405089628e-01 4
14 -5.011866292600931774e+04 2.819064507445143697e-01 3
9 -5.037136224820067582e+04 7.875097548341321030e-01 2
14 -5.017964464547514217e+04 4.385673505981919629e-01 4
9 -5.492832652790422435e+04 9.393920938124051823e-01 1
13 -5.026674308292285423e+04 9.785647364934061399e-01 2
16 -4.996899714273614518e+04 3.152434680704955250e-01 1
10 -5.389171563310835336e+04 1.440629994329830632e-01 4
19 -4.990849336034893349e+04 8.197779027305234223e-01 3
16 -4.993744006333890138e+04 2.333557948162152118e-01 1
14 -4.999045652621742192e+04 2.231165559588128566e-01 1
14 -5.008763134129340324e+04 1.056286258257692623e-01 4
18 -4.992119340985141753e+04 2.850534510340592131e-01 4
17 -4.993413737025022419e+04 2.683986984771308953e-02 3
14 -5.012428765715748159e+04 3.194237089520951534e-01 0
6 -8.785453058126229735e+04 7.338827122710561701e-01 2
20 -4.990716928758958238e+04 2.732087807944903468e-01 1
19 -4.990838808928760409e+04 9.033920075742996048e-01 1
20 -4.990482974478419055e+04 9.766878605132790492e-01 1
5 -1.113984513098073367e+05 4.157845451256493852e-01 0
14 -5.006563285415982682e+04 3.204649132450387294e-01 3
15 -4.995605828420588659e+04 3.227929614234889000e-01 2
14 -5.000536443235970364e+04 8.532507700832893116e-01 4
19 -4.991196515166212339e+04 4.111042903050510233e-01 1
21 -4.990657142733152432e+04 6.591297744493966881e-01 1
13 -5.038112951180587697e+04 7.808165331651863994e-01 2
4 -7.769686601650329249e+04 2.154493739066438707e-01 4
18 -4.991150716967077460e+04 1.799608232080623926e-01 0
21 -4.990533989488462976e+04 7.941509571546172541e-01 1
12 -5.084864725509277196e+04 6.797509138912036786e-01 3
15 -5.002825961356866173e+04 1.602688901051512738e-01 3
12 -5.071715834795218689e+04 4.590845866133878850e-02 2
15 -5.004499540522428288e+04 8.567691599123175572e-02 4
21 -4.990672630087678408e+04 1.444601421246914652e-01 0
18 -4.991714425490259600e+04 7.606428863841643295e-01 4
9 -5.672670008948211762e+04 8.679352820511252453e-01 1
18 -4.990606381763353420e+04 8.414836989618166285e-01 0
15 -4.999640365306517924e+04 5.043389624190875997e-01 1
15 -5.001848152520483563e+04 3.024982668257756857e-01 1
7 -6.764552609859779477e+04 3.975248759446046165e-01 2
19 -4.991011983105546096e+04 6.704351432797807028e-03 0
16 -4.994939994971896522e+04 9.230582517886503080e-01 1
13 -5.032057607855999231e+04 8.021631116346610302e-01 4
16 -4.996705401157791493e+04 8.559323717986186963e-01 4
21 -4.990608835061460559e+04 5.768591544771937141e-01 3
6 -8.344574839994590729e+04 8.728088486001261970e-02 2
19 -4.990742334396694787e+04 3.314135083245695057e-02 4
23 -4.990421865361113305e+04 8.620023828230174434e-01 3
13 -5.036203061781488213e+04 8.768222241497438674e-01 2
16 -4.996776185550521041e+04 9.945117145832907957e-01 1
17 -4.992214215266365500e+04 5.703712779928460375e-01 1
24 -4.990426711144584988e+04 3.222509482851174667e-01 0
22 -4.990508289928454178e+04 7.384191315226755759e-01 4
24 -4.990426674939288205e+04 4.107082956730625511e-01 0
24 -4.990434308847099601e+04 4.748523294126163474e-01 3
21 -4.990671328676932899e+04 8.127525288926003011e-01 4
23 -4.990460521147238615e+04 2.488530281288561102e-02 0
24 -4.990414108812165068e+04 4.272855925327210258e-01 4
25 -4.990421465385991178e+04 9.746001165527754528e-01 0
22 -4.990497475925028266e+04 8.849820518422484295e-01 2
18 -4.990453268142180605e+04 4.456398823373683982e-01 2
25 -4.990412529740070022e+04 7.030596968020221826e-01 0
25 -4.990422236103259638e+04 1.965433659846315406e-01 0
27 -4.990412922704498487e+04 1.239755394576724790e-01 0
16 -4.995536416601222300e+04 7.961218354664927332e-01 1
26 -4.990409621136535134e+04 5.425944815407055671e-02 0
9 -5.650086470749722503e+04 4.691196932044310319e-01 1
7 -6.613716720405472734e+04 3.533710258873167254e-01 1
28 -4.990409965689940145e+04 5.327230018613109408e-01 2
28 -4.990410573119430046e+04 9.977289285487941362e-01 0
1 -4.288934732414431055e+05 8.701894667176409692e-01 1
29 -4.990408958506415365e+04 4.565659730796984284e-01 2
1 -1.541349588580245851e+06 5.362025106894939830e-01 4
0 -1.984393697233207058e+06 5.193827881263743951e-01 3
6 -8.736122395905236772e+04 8.565017864885077215e-01 3
26 -4.990414224746201216e+04 8.372862694608880219e-01 0
16 -4.996547274312384252e+04 5.443085102244895612e-01 1
8 -5.430158307099507510e+04 4.077546926106833669e-01 1
12 -5.110890159192315332e+04 2.126311388190509077e-02 1
27 -4.990408069810479356e+04 7.909731663762147036e-02 0
4 -1.785542332633087353e+05 5.811079222326340776e-01 4
15 -5.003066710208708537e+04 5.089173889831029030e-01 3
19 -4.991330465668004763e+04 8.486159597110434216e-01 3
24 -4.990418549857324979e+04 4.025437884553220158e-01 3
25 -4.990418253410526086e+04 6.857561312430899836e-01 0
24 -4.990429733007886534e+04 6.302518976696849240e-01 0
28 -4.990409993228506937e+04 6.129560904005035837e-01 2
29 -4.990409378674098116e+04 6.984389944701380193e-01 0
23 -4.990427911467298691e+04 7.170624016229533160e-01 2
14 -5.012586857968828554e+04 8.651670244740572446e-01 4
11 -5.104339357129223936e+04 8.062179055318637877e-01 4
10 -5.114883954651528620e+04 3.412533917201986400e-01 1
28 -4.990408588689511816e+04 6.041329459691295867e-01 2
25 -4.990420107383434515e+04 4.071564342198432662e-01 3
27 -4.990411082744044688e+04 6.238555845315385540e-01 0
6 -7.566250649553393305e+04 1.597245558575722812e-01 1
22 -4.990470717953382700e+04 7.347765229192062542e-01 3
29 -4.990409492880714242e+04 8.028236055025850249e-02 2
2 -1.055658730565311154e+06 7.404194970168612722e-01 1
20 -4.990578276773828838e+04 9.417179744251096274e-01 0
26 -4.990413021520430630e+04 2.409063645574973656e-01 3
11 -5.151415830233315501e+04 3.671021282600839264e-02 1
24 -4.990417732913899818e+04 3.661974349477845614e-01 3
21 -4.990622631274841842e+04 3.739576398629784748e-01 3
26 -4.990412859025706712e+04 7.631027195968373977e-01 2
17 -4.992003844557598495e+04 3.431911263137635282e-01 0
16 -4.992000012619091285e+04 4.021722223943977603e-01 0
21 -4.990600586297406699e+04 1.578114796653330154e-01 3
16 -4.993843418494879734e+04 6.436621350269398079e-01 0
20 -4.990535631519013259e+04 2.823187348863116508e-01 3
19 -4.990742321281431941e+04 2.621664402237620095e-01 3
18 -4.991444167587849370e+04 5.519208288404127138e-01 3
29 -4.990409025707740511e+04 3.358264635309666235e-01 0
25 -4.990418296554483095e+04 2.146077910651433274e-01 1
15 -4.999623397345482954e+04 7.446029064779211559e-01 2
27 -4.990409352552918426e+04 2.860680441634224844e-02 0
29 -4.990409491575048014e+04 1.552020567658480843e-01 3
17 -4.991947880040171003e+04 9.477542813030526148e-01 1
16 -4.992848148882941314e+04 9.815928843536898540e-01 1
17 -4.993439432989049237e+04 7.264438676213528234e-01 2
27 -4.990412275442657119e+04 3.770055922674635518e-01 3
19 -4.991230230411182856e+04 5.148678882529104106e-01 1
18 -4.991448291108418198e+04 2.401313090842522868e-01 1
19 -4.991042118797397416e+04 9.832411288169616848e-01 1
25 -4.990413733760586911e+04 8.682791546102730518e-01 3
5 -8.339959366584915551e+04 1.976907080374107339e-01 4
5 -8.365479185459631844e+04 5.126261470539938969e-01 2
10 -5.368781614349636220e+04 2.313803875620452921e-01 1
25 -4.990419386165720789e+04 9.240421496532051915e-01 3
