# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32552 32552 10401 32552
-1.127625641040710613e+00 -2.898744651050755288e+06 8.419698740987096031e-01 27079 32475 17244 41819
-2.021122036823096213e+00 -2.091918881538770627e+06 9.398043434832341614e-01 24973 32422 19627 48241
-2.926335177979777491e+00 -1.803329269565017428e+06 6.349185279716298425e-01 23692 32325 17252 50744
-4.000398667043683076e+00 -1.680876757149275858e+06 9.113029980613269743e-01 22305 32264 15440 48545
-5.136394292485544355e+00 -1.641807774527330417e+06 8.933474100568855603e-01 21432 32167 17938 46564
-6.093169245821437485e+00 -1.630262788837248925e+06 2.076229507692750331e-01 20696 32058 10685 48776
-7.571041051478508699e+00 -1.624523839118367294e+06 8.527779714209321460e-01 19836 31856 8680 42044
-9.095486476704209622e+00 -1.623187091074404307e+06 5.742070299074608641e-02 19261 31928 16102 40120
-1.001452839078420354e+01 -1.622976976072471123e+06 5.883165143804482966e-01 19002 32076 22002 47626
-1.079953584249636300e+01 -1.622910114901947323e+06 3.822953699890472290e-01 18856 32190 32526 53592
-1.132108363697439479e+01 -1.622888185149433324e+06 9.736476065860900642e-01 18662 32066 25085 62884
-1.224383636513224438e+01 -1.622865282651958521e+06 6.449400104974292169e-01 18551 32310 18268 56384
-1.336370367601405107e+01 -1.622856183471310185e+06 1.677007202307583822e-01 18253 32287 14609 49604
-1.457131961731279546e+01 -1.622853128813403426e+06 1.736100984026965055e-01 17825 31957 20048 45289
-1.539734161089843489e+01 -1.622852405671725050e+06 9.318460588192825633e-02 17672 31932 32592 51192
-1.587372430854532901e+01 -1.622852197944168467e+06 2.491101969214628842e-01 17741 31971 44122 64190
-1.627067586998232329e+01 -1.622852089076232398e+06 5.996412213392432466e-02 17613 31968 40978 8012
-1.686968123784769347e+01 -1.622851969287538435e+06 2.978582378232513816e-01 17454 32007 27581 5472
-1.781760377540109985e+01 -1.622851882464908296e+06 5.250812794321502337e-03 17448 32157 12389 58616
-1.933459962633341789e+01 -1.622851827048499137e+06 6.748750615139966769e-01 17201 32116 26586 44189
-1.986897930028203163e+01 -1.622851821693699807e+06 7.799615804885057235e-01 17057 31817 40365 57807
-2.025297128620174192e+01 -1.622851819729638519e+06 3.873697358085367859e-01 16933 31576 26451 4416
-2.122665975995096943e+01 -1.622851815807610983e+06 2.762647859797257022e-01 16785 31481 21867 57411
-2.219370110031402632e+01 -1.622851814284081105e+06 3.434067625637599597e-01 16760 31548 38462 52925
-2.254113899937921062e+01 -1.622851814089041436e+06 7.932319750947767201e-01 16672 31458 26227 3361
-2.350843767182461264e+01 -1.622851813786431914e+06 3.640877662491730504e-01 16755 31693 45083 57395
-2.377804269131511816e+01 -1.622851813743897714e+06 6.471551193594893281e-01 16746 31419 56810 10374
-2.408842008617100561e+01 -1.622851813695984893e+06 2.642971347535025828e-01 16481 31446 20643 22148
-2.412775171641581551e+01 -1.622851813692640513e+06 5.961067532499105814e-01 16473 31367 0 0
