# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32215 32215 10291 32215
-1.127702378929813287e+00 -2.895490340806015301e+06 2.395374585507357157e-01 26401 32159 16312 41497
-2.065973509723676216e+00 -2.070024752293610014e+06 7.220704714894745635e-01 23620 32200 18864 47252
-2.989149337129064499e+00 -1.721199387858699309e+06 6.902372299484582641e-01 22152 32316 16217 49815
-4.103673565104484666e+00 -1.476671236845766427e+06 9.356753666704781258e-01 20239 32303 13625 47412
-5.333279257135266960e+00 -1.323221003669312922e+06 1.309960851987828079e-01 18571 32365 13111 45134
-6.552171849218734856e+00 -1.247962238239582628e+06 3.510335227723357931e-01 16867 32336 15897 44472
-7.578968336443441700e+00 -1.210933664362163516e+06 6.768248179420388588e-02 15787 32301 18887 46940
-8.494788399839869442e+00 -1.191761687716176733e+06 8.685661448347495872e-01 14912 32254 23340 49819
-9.265916617350976381e+00 -1.181515575147531461e+06 1.741006099959078665e-02 14116 32296 19035 54170
-1.030918033530914357e+01 -1.172527524159655441e+06 8.382818556484341599e-01 13143 32108 11762 49898
-1.172142209798776236e+01 -1.165580930429603672e+06 2.862988718506721819e-02 11992 32083 10141 43023
-1.312889975207812476e+01 -1.162194261541495332e+06 8.630228620073366885e-01 11036 32148 9688 41629
-1.454662809914418276e+01 -1.160513987240557326e+06 5.647626914592667191e-01 10211 32133 18328 41133
-1.536753503628858297e+01 -1.159947508143342799e+06 1.998967858058158242e-01 9576 31935 17779 48823
-1.637709617762747172e+01 -1.159499258902121102e+06 6.200602020830712213e-01 9017 31927 15591 48363
-1.750051225462564730e+01 -1.159202871261629043e+06 6.055490502311409173e-01 8301 31705 14444 46310
-1.865418453206158489e+01 -1.159022748375491472e+06 4.864607061494718998e-01 7805 31824 17209 45682
-1.963197553171448106e+01 -1.158941021937016398e+06 9.118468937639498950e-01 7338 31776 23003 48169
-2.038531398748375878e+01 -1.158902724596082233e+06 2.586572673319337823e-01 6990 31741 17857 53596
-2.147860720150076119e+01 -1.158864900834196247e+06 9.256206192602469685e-01 6623 31726 17365 48834
-2.251047822040333557e+01 -1.158843832638974302e+06 9.804099911870973738e-01 6373 31793 16893 48622
-2.356406839861682556e+01 -1.158830890908908565e+06 4.249631391034274230e-01 5778 31596 22147 47036
-2.433115105825737245e+01 -1.158825949725959217e+06 4.421249330384419696e-01 5546 31698 9685 52508
-2.596659008559294790e+01 -1.158819255509466399e+06 6.393853282107972991e-01 5004 31558 14608 40876
-2.699345528512007419e+01 -1.158817189099569339e+06 7.745294885822198161e-01 4958 31597 13934 45644
-2.816679694048224647e+01 -1.158815945555254119e+06 6.058821339345633605e-01 4638 31797 22899 45188
-2.886461957198455508e+01 -1.158815475042036269e+06 4.974199402481334076e-01 4354 31670 17239 53960
-2.999733679002833142e+01 -1.158814940728992224e+06 9.291865312725708925e-01 4204 31713 12535 48371
-3.132229219188219460e+01 -1.158814621944147861e+06 2.992342234015932245e-01 4007 31714 0 0
