# level_assignment log_likelihood tiebreaker ID
1 -2.387864974349287339e+06 6.541143609920098134e-01 4
1 -2.054408882884830004e+06 1.988096055273643192e-01 4
0 -4.163746987496631220e+06 9.706113689075140938e-01 4
3 -1.203513615719312336e+06 3.928846320050941726e-02 2
4 -1.320242348149059108e+06 7.773958086217573893e-01 3
4 -1.232267465663351817e+06 4.659646468507811640e-02 2
1 -2.766207404570993502e+06 7.395496232733466124e-01 2
1 -1.983641207582064904e+06 5.500100014557056660e-01 0
5 -1.218245843454951886e+06 7.257441196847929099e-01 0
3 -1.645285693012979580e+06 5.759755147593150770e-01 4
5 -1.260777082119582687e+06 4.193014795537575168e-03 3
6 -1.232433769872392062e+06 6.683368674818197519e-01 4
7 -1.208242986099027796e+06 3.085741207470327208e-01 4
3 -1.642387081752890022e+06 6.148028780862729858e-01 4
6 -1.189202924639987759e+06 8.923817938682214734e-01 0
0 -2.262557263926007785e+06 2.060599826778054255e-01 3
9 -1.179157511359374505e+06 8.614108354087357533e-01 1
1 -1.825689216999097262e+06 9.848068335815456376e-01 4
8 -1.164542434058113722e+06 4.926455700768991308e-01 3
7 -1.160607579456900712e+06 3.406426410009490841e-02 2
10 -1.170609673043234041e+06 8.473192420425168514e-01 3
8 -1.184055786152457120e+06 3.715701234901618299e-01 0
9 -1.167694027040869230e+06 8.236167995396669050e-02 3
10 -1.167812508742941311e+06 1.796569433188111020e-02 3
9 -1.175371355097688502e+06 3.143176202709798694e-01 2
9 -1.181201814830116462e+06 5.603528027375389575e-01 1
11 -1.163371586217687232e+06 1.445213440647217518e-01 4
10 -1.165905459007360972e+06 3.786815132224548019e-01 0
12 -1.160544287434109719e+06 5.072384350641434558e-02 0
6 -1.235896049362860620e+06 8.672203864068861456e-01 2
9 -1.167728021367168520e+06 5.446440819474775985e-01 1
7 -1.192395592557168333e+06 4.903355117918621331e-01 3
14 -1.159095693221247988e+06 5.418294138223150869e-01 4
7 -1.175341601745744236e+06 8.578016275027777748e-01 1
11 -1.161267186556777917e+06 7.053480528586130172e-01 0
8 -1.185731892204288626e+06 3.116650739091652578e-01 2
6 -1.247042731020590756e+06 7.422727797490971113e-01 2
10 -1.165441429674621206e+06 4.784580726574569898e-01 1
15 -1.159338594717972912e+06 6.424431977867905985e-02 3
10 -1.168485824358880054e+06 7.742107369652875271e-01 3
4 -1.377897146291380748e+06 9.269382299512429757e-02 3
4 -1.360224798132087803e+06 4.778174335034420794e-01 4
2 -1.796896738864665851e+06 4.990225151036710716e-01 4
1 -1.938697580312707229e+06 3.760867501843791483e-01 4
2 -1.201940777380649233e+06 2.425176640269492978e-01 3
3 -1.447590433303315891e+06 5.982517326561360704e-01 1
10 -1.171295677369730547e+06 2.154411617339673235e-01 3
0 -4.252739109889009967e+06 1.303525645183006010e-01 0
14 -1.159770403675077716e+06 6.292767747487111318e-01 2
0 -5.657697716176262125e+06 9.919774018074303257e-01 4
5 -1.314057057208845392e+06 3.453141288851176438e-01 4
8 -1.188355439511272591e+06 3.518563447950733836e-01 4
10 -1.168572841228542617e+06 4.327643233702168635e-01 1
7 -1.210694512087793555e+06 7.433077333315176727e-01 1
9 -1.174316769792240113e+06 9.325796796526742982e-01 2
0 -5.444071638394125737e+06 7.805779199124467382e-01 0
9 -1.181389616731408285e+06 3.484995818996602379e-01 2
5 -1.234738064443251351e+06 7.434316264710503219e-01 2
11 -1.165100052056674147e+06 8.771238790213651271e-01 3
6 -1.183285657869212329e+06 6.501003487967260686e-01 2
7 -1.177133097797859693e+06 5.201116470996240970e-01 2
11 -1.165060346660707146e+06 2.479955419399293981e-01 0
4 -1.238488954399588518e+06 5.610773509905875311e-01 1
17 -1.158980795702040661e+06 7.043841192853410593e-01 3
13 -1.159520522250817157e+06 5.192623334141887037e-01 3
16 -1.159022660995312035e+06 6.663534226274314687e-01 4
18 -1.158879465460588690e+06 3.650141107343860547e-01 1
2 -2.019587905859392602e+06 9.959801740374185641e-02 2
12 -1.160662874366193078e+06 7.898442122969040469e-02 3
7 -1.194800151539963204e+06 5.556250696216000207e-03 2
2 -1.864758070741626667e+06 9.786621978467789917e-01 2
15 -1.159305676704771118e+06 4.667064831628340293e-01 1
