# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33012 33012 14011 32468
-8.535890694471101048e-01 -3.040131219812423456e+06 7.725659583652101370e-01 28876 32793 14461 45616
-1.992045239810121604e+00 -4.754680780330796842e+05 3.340073096214188908e-01 25059 32739 17950 46420
-2.945292088257639662e+00 -1.276224924650067842e+05 8.645344933816407895e-01 22062 32721 20747 49547
-3.823124437415151178e+00 -8.694987316519684100e+04 8.328098908227309360e-01 20170 32694 23448 52251
-4.634735623095536106e+00 -7.124251869027657085e+04 1.824563844781438085e-02 19108 32583 23375 55143
-5.500190971198523293e+00 -6.189886146491488034e+04 7.948059118258983258e-01 18034 32757 28063 55009
-6.188511162242836150e+00 -5.765669596592325979e+04 2.715286563471521752e-01 17465 32753 26794 59157
-6.990101503665930416e+00 -5.441980810129190650e+04 2.991487450939991910e-01 16543 32693 23863 57995
-7.883621165494986371e+00 -5.247803350128107559e+04 8.388921927704737769e-01 15701 32811 17102 55399
-9.048690596536950181e+00 -5.105611600091840228e+04 7.689942087428960349e-01 14633 32721 17144 48999
-1.009572936015222488e+01 -5.048084875907876267e+04 4.176158095118314151e-01 13612 32791 15794 48721
-1.121402596947603847e+01 -5.018084615093905450e+04 9.035178531858292228e-01 12848 32995 20976 47702
-1.204583000915712176e+01 -5.006784520788454392e+04 9.897693181412359209e-02 12291 33063 21182 52761
-1.296319266375249946e+01 -4.999997588406604336e+04 2.994335404371536447e-01 11709 32976 21512 52914
-1.386862722660407066e+01 -4.995782962025511370e+04 4.996994446287423841e-01 11308 32868 24956 53187
-1.463751971255192608e+01 -4.993720208860565617e+04 2.901335007016418444e-01 10838 32869 16732 56530
-1.584218325589777621e+01 -4.991940411197269714e+04 9.898751843414437257e-01 10088 32955 19871 48803
-1.674660233235702833e+01 -4.991265163648903399e+04 7.498577464863842579e-02 9760 33126 21083 51620
-1.764779123369533664e+01 -4.990891275612465688e+04 9.359225701809725795e-01 9136 33116 17600 52949
-1.874322374639117683e+01 -4.990645871176193032e+04 3.445693083278726365e-01 8787 33132 17764 49693
-1.977017418244444968e+01 -4.990522977413018816e+04 4.773798282426012229e-01 8224 33233 18039 49907
-2.078674046834099087e+01 -4.990462798978357750e+04 4.318643873966744595e-02 8171 33218 10805 50580
-2.228867924762468533e+01 -4.990428097591431288e+04 1.776094784839603591e-01 7338 33066 18084 43348
-2.317097918756284258e+01 -4.990418565185221087e+04 2.137534772443744346e-02 6912 33116 23161 50628
-2.396459359390755850e+01 -4.990413828624652524e+04 5.952450950095318216e-01 6789 33085 23262 55673
-2.484371369912672023e+01 -4.990410993527503160e+04 7.768322533407759356e-02 6398 33166 29825 55845
-2.548776217042141212e+01 -4.990409824673106777e+04 2.277494481606078328e-02 6145 33041 26755 62279
-2.633963109162426264e+01 -4.990408864174116752e+04 4.940164748009973072e-01 6014 32898 24029 59048
-2.724361104625521790e+01 -4.990408270703737071e+04 4.973360760296299810e-01 5723 32920 0 0
