# level_assignment log_likelihood tiebreaker ID
1 -6.720867646019094391e+05 2.634489554158063740e-01 2
1 -1.700902501884232042e+06 5.891638283071267690e-01 0
0 -6.754083703100960702e+06 4.262702624085479286e-01 0
0 -3.050785550117790699e+06 3.969086597861570809e-01 4
4 -8.536217485740390839e+04 5.505314225694173391e-01 2
5 -6.489600631256392080e+04 7.024596528128470574e-01 1
1 -3.007223814224125817e+05 1.143258504268427345e-01 1
1 -1.642271219682045339e+05 3.786273121946059916e-01 3
3 -6.696317374510908849e+04 2.672148733682613297e-01 4
0 -1.019837360526919737e+07 6.294959836677924692e-01 1
7 -5.402430523011826153e+04 2.834356779975974461e-02 3
7 -5.333193898388274829e+04 7.267382935786416143e-01 4
0 -1.442719100786051480e+06 6.124722548263239474e-01 0
7 -5.201811611853218346e+04 9.270736565796289241e-01 4
8 -5.078280290681048791e+04 4.677219648642738092e-01 4
9 -5.077355129498268070e+04 6.784056035093772863e-01 4
10 -5.007429919535070076e+04 2.324513903026506068e-01 0
8 -5.148148049276959500e+04 4.725346382017968638e-01 4
5 -6.890168341186406906e+04 4.725693702531754137e-01 4
10 -5.032810293021576217e+04 4.356151343802139309e-01 1
9 -5.115017447983349848e+04 6.187149314314714932e-01 3
8 -5.365082334242849174e+04 1.087670662877153333e-01 2
9 -5.204466395015556191e+04 3.083111339725599365e-01 2
8 -5.193615178439048032e+04 1.976825051452060222e-01 2
2 -3.395028481698138639e+05 1.827070037450207463e-01 3
3 -6.548700151788814401e+04 8.847272641311418884e-01 4
13 -5.005327927379620087e+04 9.467393769811578708e-02 3
12 -4.994961094567520195e+04 5.740410862198839226e-01 1
15 -4.991619973563735402e+04 4.300543720565679351e-01 4
15 -4.990824854224560113e+04 6.574382930119417878e-01 4
15 -4.993298147502984648e+04 1.955011900149210557e-01 4
9 -5.232449188658907951e+04 2.863545381303365112e-01 2
4 -5.072304749260015524e+04 1.851474659359721997e-01 2
6 -5.192493749772400770e+04 6.331803185357903763e-01 1
13 -4.996581279379969783e+04 3.354886846509695930e-01 1
11 -5.004229313852835185e+04 1.868729009294778365e-01 4
16 -4.992935578249932587e+04 6.341951085783839037e-01 2
14 -4.992137378637833172e+04 1.641296161831462541e-02 0
18 -4.991119232321915479e+04 6.984712895638907071e-01 3
16 -4.993461393648503145e+04 3.855914085247734158e-01 0
11 -5.038032118134162738e+04 7.138569034871715679e-01 2
9 -5.111773033108957316e+04 1.024397849813293015e-01 1
19 -4.990804328660617466e+04 3.422100771155289767e-01 4
19 -4.990667481557160500e+04 1.016199464275164832e-01 4
12 -5.005607803120833705e+04 9.593731420488056383e-01 2
11 -5.047981291470612632e+04 6.590535919077910032e-01 3
10 -5.096799083367772982e+04 4.971409979754303765e-01 1
11 -5.018016574375081109e+04 1.664869897743956884e-01 1
10 -5.030754029166655528e+04 8.959670703073027154e-01 1
13 -4.996273777164248895e+04 6.846803020324869760e-01 1
20 -4.990595209299214184e+04 7.386023769784167969e-01 0
17 -4.991718094613624271e+04 2.965716081256545289e-01 3
15 -4.992551301580928703e+04 8.382593605210651999e-01 2
18 -4.990639526693872904e+04 9.033634773868381984e-01 0
17 -4.991888029651022225e+04 9.841874523012983378e-01 2
13 -4.998437000340047234e+04 2.296581088714155783e-01 3
7 -5.178641065843617253e+04 7.955019907932219247e-01 1
20 -4.990626552193362295e+04 4.053224982169854052e-01 4
18 -4.990556119578438665e+04 9.943016712413240699e-01 3
11 -4.996495731705925573e+04 1.995241206150701885e-01 0
12 -5.004978238314204646e+04 7.828378004813718594e-01 0
21 -4.990431198407152988e+04 3.017421143064069611e-01 3
21 -4.990466952198500076e+04 8.363516373536258319e-01 3
22 -4.990461325268053770e+04 3.948108906729460021e-01 3
20 -4.990569926466800825e+04 9.163351499360412600e-01 4
18 -4.991111745520215482e+04 2.307895549156163961e-01 3
22 -4.990432808655932604e+04 9.889849713018780131e-01 4
20 -4.990490048371790908e+04 3.078900088440090776e-01 1
22 -4.990425386782055284e+04 1.765923939733433645e-01 4
19 -4.990711880612499226e+04 7.503630178245112026e-01 1
15 -4.994854840427523595e+04 6.902537880393985192e-01 0
11 -5.027996859203269560e+04 5.546657548445734333e-04 2
21 -4.990471889994325466e+04 9.043066034690886434e-01 4
11 -5.016926428152781591e+04 4.250465052795338039e-01 2
8 -5.228964713224511070e+04 4.235005928533441821e-02 2
5 -5.492463075900357217e+04 1.961602496672132379e-02 2
22 -4.990438304272363894e+04 4.193204458911790056e-01 1
25 -4.990413592244475149e+04 2.458631263475080930e-01 3
3 -9.896383209412595897e+04 5.634224461124632821e-01 2
25 -4.990412233086221386e+04 7.547270024718877313e-01 3
18 -4.991037061562633608e+04 8.254097274725702427e-01 1
12 -5.015122130469786498e+04 8.049404060133701355e-01 1
4 -8.118674326753197238e+04 4.420343083592281896e-01 2
24 -4.990408204278736230e+04 8.935973951330390408e-01 4
22 -4.990443254740757402e+04 3.246227093043739798e-01 0
21 -4.990454472273853753e+04 2.682453185679481988e-01 0
25 -4.990411024540420476e+04 3.032241185235058367e-01 0
27 -4.990408295955444191e+04 9.218476473273742311e-01 3
18 -4.990654346379702474e+04 9.959972051589751629e-01 2
27 -4.990409589586274524e+04 4.549630859112351322e-01 3
23 -4.990422167169649765e+04 9.569096015915663500e-01 0
2 -2.758126556429573102e+05 8.472002638562886601e-01 1
26 -4.990408104013568664e+04 2.105288633929455061e-02 4
26 -4.990409863537590718e+04 8.007872090523440733e-02 4
27 -4.990409723955029767e+04 1.037426156180583092e-01 2
26 -4.990407776554695738e+04 5.872818032369941932e-01 0
4 -7.889342793839951628e+04 4.410651070910431848e-01 1
7 -5.446906453685363522e+04 2.456909987962848374e-01 1
26 -4.990409419500990771e+04 6.800040341552592293e-01 2
24 -4.990409346308439854e+04 3.697403896521447852e-01 0
25 -4.990412924925565312e+04 3.522666897861181923e-01 4
25 -4.990413407421797456e+04 9.193588635034490864e-01 4
28 -4.990408249759270984e+04 5.711438779946209632e-01 3
23 -4.990425689904911997e+04 3.433818228871365896e-01 4
29 -4.990407762131460913e+04 5.816470856672886214e-01 3
24 -4.990417769404514547e+04 6.704708937664036750e-01 4
27 -4.990408539304831356e+04 2.365288675625603076e-01 3
23 -4.990409312985183351e+04 4.082435398172353236e-01 3
28 -4.990408643559680058e+04 2.661655733528382473e-01 4
20 -4.990450055217227782e+04 5.276610890420760924e-01 2
12 -4.996050796603763592e+04 6.975224374712610809e-01 0
18 -4.991262433377970592e+04 8.068210712317038791e-01 3
18 -4.990469340484586428e+04 1.142718673438978677e-01 4
3 -8.002015746559925901e+04 3.034185090839420784e-01 0
4 -6.119803224129320733e+04 8.595607476627793453e-01 2
2 -8.412034645727989846e+04 6.265008072368600800e-01 2
3 -8.243067788348674367e+04 4.097123792779207019e-01 0
6 -5.890184737382017192e+04 6.485403454691498482e-01 1
9 -5.222221726416733873e+04 1.608844121548848871e-01 1
3 -7.774542902173688344e+04 7.470741610146407474e-01 2
5 -6.562063289027608698e+04 4.880622743892057969e-01 2
18 -4.990671455941483146e+04 7.759905330766563303e-01 4
22 -4.990445350545195834e+04 1.880701698760142981e-01 4
12 -4.993064488046211045e+04 5.983351322939831074e-02 2
19 -4.990613109337164497e+04 9.607031273465551635e-01 3
16 -4.992968729302832799e+04 2.936560355110664489e-01 0
6 -5.621056380311969406e+04 4.810681831477022219e-01 1
22 -4.990435387593154155e+04 4.693402770162720672e-01 3
5 -5.534069535649720638e+04 7.831238843390224691e-01 0
22 -4.990449916584255698e+04 7.183367731875454076e-01 3
13 -5.005925147800760169e+04 3.824191517929335649e-01 4
10 -5.062342497877866117e+04 1.396416134098039663e-01 0
13 -4.994182797233780730e+04 6.698291349210663270e-01 4
14 -4.995523425771648908e+04 5.652888935921183133e-01 4
18 -4.990942723600381578e+04 8.285234405050472262e-01 2
7 -5.256621886189477664e+04 2.886541646425946905e-02 4
10 -5.057173842578745825e+04 1.333761480328128357e-01 2
4 -7.956181846255768323e+04 5.387303734893574836e-01 0
