# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32218 32218 12648 32218
-9.406643123470681545e-01 -6.655648596160285524e+04 2.339419501375437915e-02 27054 32208 17876 43569
-1.838570229248157162e+00 -4.523926249067898607e+04 7.544773125754816734e-01 24376 32263 17164 48812
-2.880925629218457740e+00 -3.562602938340791297e+04 5.635708818332409997e-01 22174 32270 17676 48266
-3.885166748200744813e+00 -3.067905164450138545e+04 6.599759506344151649e-01 20704 32398 22774 48820
-4.660629065275722738e+00 -2.811814023616821942e+04 4.378309178926726442e-01 19258 32369 18424 53710
-5.726554125917577842e+00 -2.605027329059057593e+04 3.095158255919485679e-01 18106 32430 21146 49808
-6.591279132453106371e+00 -2.511100665990234847e+04 5.417940184905457590e-01 17016 32405 19618 52208
-7.571266657198300720e+00 -2.441834082260475407e+04 7.375542299797515078e-01 15919 32410 13891 50844
-8.848702475493167796e+00 -2.390231345763109857e+04 2.925375622195094949e-01 14650 32211 15700 45220
-9.902694523066413623e+00 -2.366565032409193009e+04 2.142904839390073757e-01 13693 32232 12649 46929
-1.119098109571564237e+01 -2.350399693221090274e+04 5.696111916238864037e-01 12561 32208 12766 44011
-1.241081293675767583e+01 -2.341720374956748492e+04 4.389477055108257919e-01 11546 31965 12972 43776
-1.361096991692875413e+01 -2.337015823279576580e+04 9.228149219395493930e-01 10565 32043 13396 44242
-1.479145104429441737e+01 -2.334687813513474248e+04 2.872798803642799825e-01 9823 32094 21961 44780
-1.552056179842775308e+01 -2.333759966722974423e+04 7.881280838028326130e-02 9379 32087 25202 52388
-1.626579903609046340e+01 -2.333190506009274395e+04 3.046182373453034664e-01 9071 32095 16407 56085
-1.748130791651391291e+01 -2.332571616901145171e+04 7.017411413980085833e-01 8198 31759 14595 47330
-1.864575975176919442e+01 -2.332277955024387120e+04 8.052092627076400388e-01 7668 31823 13219 45678
-1.986831565098946939e+01 -2.332088857119494787e+04 3.937246025757906165e-01 7211 31790 22500 44438
-2.056722584311557256e+01 -2.332024338564095888e+04 9.055893950893442734e-02 6839 31701 31133 53565
-2.113052547742560350e+01 -2.331986957687480026e+04 3.620116198211106306e-01 6609 31702 33869 61638
-2.174556244906398561e+01 -2.331958155667641404e+04 1.832567637096879642e-01 6470 31776 23176 64379
-2.276620762113792296e+01 -2.331923631063817447e+04 3.547715358368064287e-03 6169 31823 12517 54534
-2.420544339288187885e+01 -2.331895835349793197e+04 5.825549866827612888e-01 5565 31742 23907 43640
-2.482968805231277898e+01 -2.331888894035652265e+04 5.368889274347969920e-01 5483 31782 14363 55047
-2.615119687383331026e+01 -2.331879800764896936e+04 8.363289971649409127e-01 5187 31430 25521 45167
-2.674515573456799444e+01 -2.331877255148076802e+04 4.377891209880119816e-01 4847 31426 20896 56302
-2.773679549630197627e+01 -2.331874121352262591e+04 6.503553536128507950e-01 4548 31394 16617 51651
-2.886263545294637467e+01 -2.331872236752892786e+04 2.032816981810835477e-01 4357 31218 0 0
