# level_assignment log_likelihood tiebreaker ID
0 -8.969658352508394455e+04 4.030932871328706257e-01 4
0 -3.319544320976597373e+04 2.344298501172381033e-01 0
0 -1.410252459042612463e+05 7.338816845305299319e-01 4
2 -3.534576458836511301e+04 8.352978220330076198e-01 3
4 -3.012933614343662339e+04 8.868578872235062249e-01 2
0 -6.113528699429404514e+04 4.906350188075953023e-01 4
5 -2.545521362089798276e+04 3.111810144996894900e-01 4
4 -2.707837599001087801e+04 2.557726131134057113e-01 0
1 -6.433770959494020644e+04 3.912621399065499550e-01 2
1 -3.357067178915858676e+04 1.871043839032111578e-01 2
4 -2.593268151459373985e+04 6.105238377968321695e-01 4
8 -2.437176028485572897e+04 9.840657694641151698e-01 1
8 -2.362766615342420118e+04 3.815115250963749816e-01 0
7 -2.424854646258846697e+04 7.605386037023076362e-01 0
10 -2.363053885022819668e+04 7.498099949058477653e-01 1
8 -2.394263880769170646e+04 1.584570831604768110e-02 2
7 -2.483473369175263360e+04 3.823716789487767720e-01 2
7 -2.494611133954237812e+04 2.886853538442372136e-01 0
0 -1.297905481940153113e+05 4.499950643132530348e-01 0
11 -2.346444342831694667e+04 4.416451706696840063e-01 2
9 -2.389771221620580036e+04 1.671050924858278885e-01 4
4 -2.793408097736234049e+04 5.445305380292735364e-01 3
6 -2.532940172655783317e+04 2.452306543880737877e-01 0
8 -2.424333020180082167e+04 6.351955381320878447e-01 0
8 -2.382883568870135423e+04 8.952634721337698887e-01 2
1 -5.959175492010523158e+04 8.081544738088282734e-03 0
8 -2.401480629729814245e+04 6.687533843227488894e-01 2
9 -2.348379536523488423e+04 7.498282545009011812e-01 2
11 -2.348467399887442662e+04 3.845992593043122132e-01 3
8 -2.382524807756799055e+04 4.840543780443982980e-02 4
5 -2.802414084052690305e+04 6.241825839810536403e-01 4
5 -2.656839449256570879e+04 2.178080025520304566e-02 3
3 -3.552596706152912520e+04 4.021089621843554340e-03 2
9 -2.387502366975208133e+04 6.993407961185805766e-01 1
14 -2.333684433091443861e+04 8.564648069243330220e-01 0
1 -3.245222800535215356e+04 3.700345224835402957e-01 2
13 -2.336904571709319862e+04 7.005050899671707576e-01 0
5 -2.792884927488769608e+04 2.191054425788885318e-02 2
14 -2.333601360051749361e+04 3.574593024074260716e-01 0
7 -2.500549974668824871e+04 7.802410195209561472e-01 3
10 -2.361406972668499657e+04 3.048774200991811179e-01 4
7 -2.473742295354977978e+04 1.779763503615409970e-01 1
11 -2.349925250676053111e+04 8.234286406528189550e-01 2
8 -2.416598646827335324e+04 4.525637239932887024e-01 3
5 -2.690605404677904153e+04 1.087791655940950619e-02 1
6 -2.511332168892309346e+04 1.731795312816737376e-01 4
12 -2.339001438835185763e+04 3.803102271454203986e-01 1
1 -4.612917726933400263e+04 9.485937001399744606e-01 3
9 -2.356028831087133221e+04 6.104665704312128849e-02 2
5 -2.571890741276792687e+04 7.590988746949141053e-01 3
1 -5.294174074832086626e+04 3.242578554210417963e-02 3
14 -2.334305023800803610e+04 2.751387595440370482e-01 3
4 -2.538512105054542917e+04 2.710899507615849649e-02 4
5 -2.466222769851165140e+04 9.892938192646588691e-01 1
3 -2.810128577306563966e+04 2.441549286888553827e-01 1
7 -2.497168102667992571e+04 1.802028896990425233e-01 2
1 -5.741881701897873427e+04 1.957981600502893826e-01 1
4 -2.834488828366629605e+04 2.782137898707137680e-02 1
11 -2.336960172536508617e+04 3.700555439158413895e-01 2
5 -2.805279320850375370e+04 3.289879931890222209e-01 0
5 -2.778438587710065622e+04 2.791345371758546245e-01 4
6 -2.574032524763994297e+04 3.005226202035799488e-01 1
15 -2.333056976319020396e+04 9.030222711065025720e-01 2
11 -2.349401885112111631e+04 1.591902069338299308e-01 1
2 -4.184025247242880141e+04 3.084810631064112130e-01 4
11 -2.334496472285412892e+04 3.612892398850352516e-01 2
17 -2.332278129999472003e+04 8.744032038238636062e-01 2
