# level_assignment log_likelihood tiebreaker ID
0 -1.060824851576868095e+05 1.596773640228092150e-01 1
1 -3.993402662911268999e+04 2.114407496085339011e-01 1
1 -3.645293872734856996e+04 9.995438608110085443e-01 4
2 -3.309678701295513019e+04 1.951098297380280400e-01 3
2 -4.333189524310207344e+04 3.580269467916767367e-01 3
0 -3.900893466443031502e+04 9.988747749588862135e-01 1
3 -3.399846323293323076e+04 7.732210463307098713e-01 4
0 -4.672292571994045284e+04 1.834688969298771954e-01 0
3 -3.420392054738616571e+04 1.760958166004655823e-01 4
1 -5.358682623419613810e+04 6.917893605911354382e-02 2
1 -4.921930287304142985e+04 9.655140629014098419e-01 0
0 -4.994149913700448815e+04 2.870334229151789707e-01 4
1 -4.958801648447129992e+04 6.565826853722089851e-01 1
1 -4.600432231354859687e+04 8.471728749118290214e-01 4
2 -3.671038326122229046e+04 2.639256578889606075e-01 0
6 -3.283818948982207803e+04 3.619471138898561202e-01 1
1 -3.711136816839408129e+04 5.284007623952078347e-01 3
0 -1.117467438841564726e+05 6.672948940744350965e-01 1
6 -3.286153196160578227e+04 5.782644772892395757e-01 4
2 -3.487771853921920410e+04 8.870302854806286774e-01 0
2 -3.673444315271598316e+04 9.339922175561243822e-01 1
6 -3.283705358567297662e+04 5.102444343175059904e-01 0
1 -4.758997291047663020e+04 2.914882684199797680e-01 2
4 -3.319837130830253591e+04 6.451833174179316677e-01 0
1 -5.896684674929350149e+04 2.229135884642374776e-01 4
0 -3.713877030669245141e+04 1.948059082795060848e-01 4
3 -3.338736384961967997e+04 4.059388729389015182e-01 0
3 -3.488676202510508301e+04 5.499870127047454815e-01 0
8 -3.283497909983051795e+04 9.366944624528787955e-01 2
1 -4.487353755083247233e+04 1.856184263114793731e-01 4
1 -5.877364873533046193e+04 3.372098543584982622e-01 3
1 -4.192051684852242033e+04 2.022226021603952262e-01 0
6 -3.284021297596752265e+04 1.323527080814183299e-01 0
0 -4.405978447475958819e+04 7.669015822359843970e-02 1
4 -3.325568854943138285e+04 7.095947384920922030e-01 3
0 -3.713294580203547230e+04 4.401848816017963628e-01 2
2 -3.337855353608957375e+04 8.498106673000013211e-01 3
1 -4.336686576311788667e+04 6.230511518118574121e-02 1
0 -4.659204373852858407e+04 5.185769707708975940e-02 1
9 -3.283433589187278267e+04 3.364313491434117037e-02 4
9 -3.283401063942977635e+04 9.094274316164137062e-01 3
10 -3.283367561878399283e+04 1.052040755328995658e-01 3
5 -3.288304268544783554e+04 2.902018257811027624e-01 1
6 -3.284990953650676238e+04 6.974998767640355757e-01 3
2 -3.329100340504910855e+04 1.202893830597623476e-01 3
3 -3.312513585445722128e+04 7.309766948788959384e-03 1
