# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 894 894 198 794
-1.261926754202257195e+00 -4.820443494946178544e+04 3.453884831301836655e-01 664 830 230 958
-2.564682811792637906e+00 -3.775730962465869379e+04 4.945496103422788448e-01 570 786 533 953
-3.234849577735567916e+00 -3.619506595825805562e+04 1.219896865531921656e-02 600 814 664 1277
-3.948609630288165917e+00 -3.425018536594201578e+04 6.900753710503119143e-01 672 950 610 1550
-4.892267836527379288e+00 -3.348114980812899012e+04 4.122057920904804718e-01 651 955 1008 1502
-5.372888771528888441e+00 -3.323112314020577469e+04 1.153780370993464643e-01 906 1357 256 2296
-7.321194849836811791e+00 -3.291278027627464326e+04 7.609160656693472746e-02 531 888 394 1080
-8.327660520768212393e+00 -3.285270152636354760e+04 7.299277505790058296e-01 511 800 224 1129
-9.773844763662193458e+00 -3.284209019123008329e+04 6.822779105045846393e-01 222 346 233 506
-1.062979743714490333e+01 -3.283699334418201761e+04 5.685973972346873850e-01 337 544 45 714
-1.248415616169954490e+01 -3.283442342034113244e+04 7.283150548568251281e-01 61 112 88 92
-1.317607907526370248e+01 -3.283402130059048795e+04 2.726725357857745502e-01 75 122 89 147
-1.398957785161348610e+01 -3.283397721626082057e+04 1.101345058176500802e-01 56 103 121 128
-1.461628838367830241e+01 -3.283397514348415280e+04 3.234722126699038913e-01 106 177 137 232
-1.538818690889868002e+01 -3.283381696664437914e+04 3.630227449421763453e-03 101 190 16 262
-1.686306743719075385e+01 -3.283378181277377007e+04 7.754146454598632721e-01 63 105 57 57
-1.762991077628173642e+01 -3.283374984980659792e+04 9.237618521496200330e-01 12 19 8 8
-1.858835940448052071e+01 -3.283368916155995976e+04 2.536708195191934578e-01 2 8 0 0
