# level_assignment log_likelihood tiebreaker ID
0 -1.016904483833286504e+05 6.227318817010945029e-01 4
0 -5.674056382181167282e+04 2.197578685506234031e-01 3
0 -1.019874250675096118e+05 8.748967252060536361e-04 3
2 -4.669780087817994354e+04 4.042034266979724344e-01 2
2 -4.081717815422668355e+04 1.165128770265670688e-01 4
2 -4.173687911310156051e+04 4.127494016464877125e-01 1
3 -3.910151381172084803e+04 9.071903198286861425e-01 1
3 -4.219249836351239355e+04 6.976113627464376465e-01 4
3 -3.796321475658773124e+04 7.597025560058587867e-01 4
5 -3.293905689689688734e+04 9.909883022855581203e-02 2
3 -3.843344755571803398e+04 5.524030990571104915e-01 3
2 -3.553419025302458613e+04 9.482514769622194528e-01 2
3 -4.103557203618414496e+04 1.950383130835776080e-01 1
1 -5.945755564385707839e+04 5.647947015694282195e-03 3
1 -7.474993426908933907e+04 4.394596432737434694e-02 2
8 -3.291688444467886438e+04 3.169720516002432209e-01 4
5 -3.344488802148900140e+04 5.041622974897208564e-02 0
3 -4.324800548864656594e+04 8.403339578813122657e-01 3
8 -3.292737959292613232e+04 8.973098448664029725e-01 0
0 -1.218859235154337366e+05 3.048268107340586924e-02 2
6 -3.294774368242072524e+04 3.249613376373339246e-01 0
1 -5.475270470993340132e+04 8.346583639622089379e-01 3
7 -3.295752587188305915e+04 9.968480803815961133e-01 1
8 -3.289496613776664162e+04 7.307486552551427650e-01 1
2 -4.167962943783549417e+04 4.471800731798768469e-01 3
9 -3.284501354093462578e+04 4.471361040705135181e-01 2
10 -3.285017368135926517e+04 3.922631455035186510e-01 2
5 -3.300159901998977148e+04 2.738516230038507970e-01 0
3 -3.380905784335342469e+04 8.242511283387301546e-01 3
5 -3.299695651220648142e+04 8.239261820601120334e-01 0
0 -7.700564222282287665e+04 1.513296444260011919e-01 3
10 -3.287390928072395764e+04 5.488729544958081963e-01 2
4 -3.464686598054727801e+04 8.382665583957470412e-01 4
9 -3.284683818550695287e+04 7.974356151392316683e-01 1
10 -3.286644376088044373e+04 2.002556654755014431e-01 2
9 -3.286416668287297944e+04 3.193037548355205923e-01 2
2 -4.568090757667672005e+04 1.632557072272917686e-01 3
10 -3.288034965196485427e+04 7.040508726249240512e-01 4
9 -3.285336914850303583e+04 2.586465265964204008e-01 1
6 -3.329200465271068242e+04 6.567356364195684471e-01 0
1 -3.526467779820530268e+04 3.239864155767477327e-01 3
2 -3.820491410106016701e+04 5.228476745805268194e-02 3
0 -4.858764615132991457e+04 7.175258341118641026e-01 0
10 -3.287064615514497564e+04 2.640076910332039284e-01 4
12 -3.283600735071096278e+04 5.268324658448114706e-01 1
3 -3.370597775163475308e+04 9.542654664439401691e-01 0
10 -3.288419681415807281e+04 6.401439296795397027e-02 2
2 -5.088141363231478317e+04 9.365384561553473652e-01 3
5 -3.338703810273216368e+04 2.741178728276203458e-01 0
4 -3.339690268613958324e+04 7.795850477336111473e-01 0
5 -3.346942622252157889e+04 9.595756143337950128e-01 3
10 -3.286764814686467435e+04 7.195924794147757764e-01 2
7 -3.288479441681486060e+04 2.568031741352827524e-01 2
6 -3.288176487805554643e+04 1.954395032578131186e-01 0
10 -3.284316878304720012e+04 1.761592802331897190e-01 2
8 -3.283431285960871173e+04 5.915394296725977608e-01 4
8 -3.285501191029093752e+04 9.862041948319678619e-01 0
15 -3.283422739194679161e+04 4.442291974711531921e-01 4
8 -3.295560869292512507e+04 6.468164800851897711e-01 2
8 -3.285117350033955154e+04 9.159561148296848643e-01 0
9 -3.286761985253482271e+04 4.973959958943545701e-01 1
15 -3.283422779141446517e+04 8.918674831958531279e-02 4
7 -3.285635003552283160e+04 2.975659144623716834e-01 2
9 -3.288806399236886500e+04 4.468452247177999714e-01 1
8 -3.288806399236886500e+04 2.356166686575549285e-01 1
8 -3.287116613598771073e+04 2.824971434378653612e-01 0
11 -3.283788816900415986e+04 6.559476160068724582e-01 2
11 -3.283602591523124283e+04 4.004432979866763276e-01 4
7 -3.285740416854283103e+04 8.590924476148593669e-01 0
12 -3.283780192830580927e+04 7.010174194764190458e-01 2
16 -3.283392490475158411e+04 7.382932645241099268e-01 4
12 -3.283780229622895422e+04 3.852719886022300533e-01 2
7 -3.285471402374788886e+04 1.322047866095465984e-03 1
5 -3.372057468997653632e+04 6.414311650690036615e-01 3
7 -3.288904968192514207e+04 3.531596246550410267e-01 2
5 -3.364895458259411680e+04 8.604994690825616965e-01 3
15 -3.283402638652405585e+04 8.665433212610034186e-01 4
16 -3.283402666513350414e+04 1.613230537862013758e-01 4
8 -3.288761072290827724e+04 2.431536307596329216e-01 1
16 -3.283402666506039532e+04 2.016700496217400662e-01 4
16 -3.283402666574456816e+04 1.528007885708675961e-01 4
4 -3.375880810745123745e+04 3.210097174025682287e-01 3
9 -3.289574886963126482e+04 8.829541336403753382e-01 2
9 -3.284285673551971558e+04 4.260008873906280247e-01 2
16 -3.283417049886246241e+04 5.662142363485178631e-01 4
9 -3.284536978720804473e+04 5.111094387341363898e-01 2
5 -3.302893004598400876e+04 8.126579190589382495e-01 0
13 -3.283595416770209704e+04 6.683748934844797596e-01 1
5 -3.330941322228593344e+04 8.327179327446748713e-02 3
11 -3.283622326294296363e+04 2.813200785030667284e-01 1
16 -3.283416876451856660e+04 4.699662649653816859e-01 4
12 -3.283756995336052205e+04 4.256199384988271772e-01 1
15 -3.283382413735926093e+04 2.700545948186672263e-02 4
4 -3.414724304521713930e+04 2.458146325266936660e-01 3
12 -3.283697965683223447e+04 2.605803181039738070e-01 2
10 -3.288136199573271733e+04 1.188538601286177609e-01 0
11 -3.283749813600641937e+04 7.184235452231799712e-01 1
17 -3.283370363065019774e+04 5.108983320783566651e-01 4
17 -3.283370363065019774e+04 7.904672446676831443e-01 4
7 -3.283916665620269487e+04 1.193762144793586444e-01 1
