# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33357 33357 11921 33357
-1.026424618534270916e+00 -8.919076437295862706e+04 6.035330435609531641e-01 29410 33430 18199 44211
-1.921152555978486109e+00 -4.590790196157349419e+04 2.607201781719399869e-01 25907 33361 15611 50213
-3.078650961627456883e+00 -3.037030582417031837e+04 7.179524958793024325e-01 23581 33338 15885 48012
-4.177835885025961815e+00 -2.635489571580117627e+04 4.151168652423543604e-01 22486 33497 21169 48379
-5.014182351328632770e+00 -2.518163943952452610e+04 2.068110202337747339e-01 21407 33305 24828 53120
-5.786797761710245069e+00 -2.467919188738930461e+04 1.054078826337686431e-01 20556 33121 17055 56501
-6.973086820274001063e+00 -2.436701180481826668e+04 9.649231515829213013e-01 20088 33121 24938 48946
-7.664422684823738230e+00 -2.429611143120308770e+04 7.591214326153394865e-03 19305 33082 28175 56451
-8.373404748848914281e+00 -2.425972133503605073e+04 4.193633163773641814e-01 18840 33107 16858 59682
-9.622509440628663313e+00 -2.423192136010483227e+04 3.180334247952600890e-01 18414 33149 19148 49240
-1.057028002813081002e+01 -2.422469332340021356e+04 9.678237987363228489e-01 17757 32939 12752 51080
-1.193075127603107966e+01 -2.422135164085984434e+04 5.005670571940784574e-01 16946 32386 10030 44374
-1.337692903529443456e+01 -2.422050365171665908e+04 7.268416860114008671e-01 16418 32307 10351 41768
-1.473845068037456230e+01 -2.422027743042875954e+04 1.310306003227182381e-01 16121 32336 16809 41816
-1.565579610621124473e+01 -2.422022524980861635e+04 3.731312330793269960e-01 15606 32009 14952 47413
-1.679948840426301615e+01 -2.422019992063118480e+04 6.790288054572492238e-02 15148 31563 25581 46191
-1.741216803021215043e+01 -2.422019395306174192e+04 4.412618318699370601e-01 15100 31678 17430 56094
-1.857123727717374706e+01 -2.422018671626555079e+04 6.555251124617216263e-01 14525 31106 23023 48048
-1.932138844152673229e+01 -2.422018488114056527e+04 8.952757107768576361e-01 14468 31273 23798 53652
-2.014384720260580508e+01 -2.422018381691914328e+04 4.184434949504197143e-01 14252 31271 35433 54440
-2.059745913132032769e+01 -2.422018353732903051e+04 5.015322076243244886e-01 13801 30783 18564 65567
-2.184563020885686058e+01 -2.422018307702937091e+04 8.996694645967476811e-01 13634 30577 38391 48510
-2.211287349469369090e+01 -2.422018302212635535e+04 4.208378584311602832e-01 13366 30519 39433 68272
-2.267797211795462431e+01 -2.422018296124616609e+04 6.885580553195501663e-01 13267 30583 43237 69381
-2.316890684989272486e+01 -2.422018293288996210e+04 2.708085151868643292e-01 13090 30515 27947 73120
-2.413225402603296743e+01 -2.422018289845936306e+04 5.946068638154432540e-01 12702 30318 14167 57608
-2.550952326349833044e+01 -2.422018287809309186e+04 1.601730633311174157e-01 12211 29971 8607 43510
-2.707332717882254869e+01 -2.422018287047953709e+04 2.866223802297312995e-01 11726 30361 7629 38333
-2.862503119482975578e+01 -2.422018286868314317e+04 8.236555729585004482e-01 11154 30702 0 0
