# level_assignment log_likelihood tiebreaker ID
0 -5.248864899593136506e+05 9.313831178604086158e-01 3
1 -4.033838498968629574e+04 3.089781115227518971e-01 2
1 -3.997558883551409235e+04 7.819515620750401297e-01 2
0 -4.039442508801139047e+04 1.188587204875645592e-01 1
4 6.070948858174025986e+01 3.203881055033708791e-01 2
2 -3.400484492037582095e+04 8.244313994689317360e-01 2
4 -1.310106310455307721e+01 7.571696677793796626e-01 1
5 -7.013796643463294913e+02 7.090789373590720146e-01 4
0 -3.732520058120647445e+04 1.413769932193940093e-01 0
3 -2.393718255894601316e+04 6.545085077340906388e-01 4
3 -2.613514204046885880e+03 2.917382616206616319e-01 0
1 -5.646835737672527102e+03 1.311507975400116877e-01 4
7 2.396633823615314185e+01 3.637025499594216393e-01 4
4 -6.347432349573559804e+03 3.558001874061700320e-02 4
0 -2.473543090822379105e+06 2.050473011640284726e-01 4
3 -1.077410058987101183e+04 3.106053378383091257e-01 4
0 -1.391958936382029206e+06 6.151542272720353921e-01 0
6 -2.075640894227805688e+01 9.232363487760113507e-01 2
9 2.095215511330411573e+02 6.665413377290708707e-01 1
10 2.123816250574832623e+02 5.533047054012474320e-02 0
6 -1.077863176196517827e+02 2.087440753521775938e-01 1
4 -3.288145947576186700e+03 6.507227523640294331e-01 2
4 -1.103139017607140659e+03 7.077295759107045114e-01 0
11 2.250991950075419084e+02 8.161989216905492228e-02 0
10 2.261582320179595627e+02 4.118814938448664975e-01 2
11 2.277472045913769421e+02 7.630162242066806932e-01 4
10 2.118324432535357289e+02 2.276806551886984276e-01 1
9 1.774267153040742642e+02 1.589604277215439510e-02 2
11 2.347672140705353172e+02 4.827346566772758307e-01 1
11 2.266772507604250677e+02 5.158065759859100652e-01 0
10 2.228864284374867566e+02 3.543934457223905099e-01 4
10 2.357041427780058598e+02 5.999796657601934591e-01 1
8 1.154655081715876008e+02 6.796165878073501254e-01 2
14 2.424158549764324562e+02 9.763590748276955722e-01 4
11 2.289275179725023008e+02 6.233615435184347575e-02 0
8 1.504142142523168388e+02 3.447200493911809493e-01 0
1 -2.423083927530730580e+04 3.151195817908805652e-01 2
12 2.336930019754111072e+02 4.510680250821159643e-01 0
13 2.378341746838392226e+02 5.579130424282787715e-01 3
12 2.326745628588778345e+02 7.789616394209902817e-01 3
