# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31862 31862 10295 31862
-1.117324873383884531e+00 -4.817612864807452570e+04 3.453884831301836655e-01 26017 31899 13405 41176
-2.230323511223966548e+00 -3.723838205256201036e+04 9.356753666704781258e-01 23542 31887 11831 44287
-3.525473179608668239e+00 -3.401692044886476651e+04 6.857884225589394589e-02 21918 31914 13393 42899
-4.677420374634522204e+00 -3.321068029498317628e+04 3.805413570142812674e-01 20906 31945 12073 44323
-5.954876117459130036e+00 -3.293696150621244306e+04 1.338174906668870290e-01 19846 31748 15498 43003
-6.974013301465634029e+00 -3.287112199804781994e+04 3.304963278116326286e-01 19344 31605 13626 45992
-8.175071991017892614e+00 -3.284398461977357510e+04 8.350876610968402947e-01 18568 31712 23556 44470
-8.830995118157309420e+00 -3.283906711200894642e+04 6.116124255162915802e-01 18220 31405 22370 53219
-9.704713671916719520e+00 -3.283579941524590686e+04 3.648610668769780574e-02 17722 31325 28344 52390
-1.033739771045721412e+01 -3.283477819848497893e+04 3.439013788313892150e-01 17854 31259 8107 58004
-1.222418048252326273e+01 -3.283374066538542684e+04 4.005330672708429240e-01 17048 31086 3030 38737
-1.452596997977839877e+01 -3.283358294175117771e+04 5.176810421316844213e-01 15491 28931 15119 31635
-1.528542653249651195e+01 -3.283357608006929513e+04 4.223924302455603907e-01 15270 28953 12155 42727
-1.652251783614485348e+01 -3.283357198959575180e+04 5.464648484900358483e-02 14825 28685 14709 40294
-1.752969542474323816e+01 -3.283357123147528910e+04 7.114185450039607339e-01 15049 28694 25546 42494
-1.806582107997510178e+01 -3.283357106634060619e+04 9.131381497163898464e-01 14716 28660 13622 52457
-1.939071691581084877e+01 -3.283357087485209195e+04 4.810539268578402083e-01 14417 28413 25986 41565
-1.988994540036294012e+01 -3.283357085389308486e+04 3.679744299386293604e-02 14126 28525 32101 53404
-2.042087070879984267e+01 -3.283357084144951659e+04 8.140033388134639836e-01 14008 28643 25868 59727
-2.126524893488938872e+01 -3.283357082911132602e+04 8.745856208744728910e-01 14386 28725 27494 53656
-2.194969617722486888e+01 -3.283357082366849500e+04 8.367238352941438473e-01 14370 28670 34220 56007
-2.246385581877392923e+01 -3.283357082152217481e+04 4.952552767222728747e-01 14397 28791 47310 62355
-2.276515368405044981e+01 -3.283357082068706222e+04 7.477284960968475502e-01 14395 28752 45664 73579
-2.325912482611496657e+01 -3.283357081978829228e+04 5.759761505740642606e-01 14433 28748 18255 72206
-2.461529504547427294e+01 -3.283357081856831792e+04 2.150041355344045613e-01 13849 27592 34872 45494
-2.491557297236147051e+01 -3.283357081844813365e+04 1.788922803104848192e-01 13598 27579 49662 61818
-2.516125952346299144e+01 -3.283357081838699378e+04 9.947880047949109183e-01 13420 27348 64745 76374
-2.534920588019119236e+01 -3.283357081834332348e+04 9.249264801372555356e-01 13436 27015 46890 91112
-2.602310186146901216e+01 -3.283357081821675820e+04 4.149801247638414403e-01 13417 26893 0 0
