# level_assignment log_likelihood tiebreaker ID
0 -7.653870999138915795e+04 1.440075494667957812e-01 0
0 -6.637251149723221897e+04 3.080218922022507910e-01 3
2 -3.368989189529795112e+04 2.186966029500440056e-01 3
0 -5.389788742571255716e+04 8.622187166181911611e-01 4
0 -5.304013283151620999e+04 2.965396416446549055e-01 2
1 -3.500270650469097018e+04 5.229964566920224378e-01 2
1 -4.279643223659686191e+04 4.846894263499847977e-01 2
4 -3.285104726741026388e+04 3.463694346720591621e-02 2
2 -3.301513289675060514e+04 8.742453895988562262e-01 1
2 -3.344330926120716322e+04 8.132576596765519472e-01 1
2 -3.403148630038044939e+04 7.625623051236150030e-01 1
1 -4.761002584806484083e+04 6.537862204869444582e-01 1
4 -3.306532443180768314e+04 8.351798615741889975e-01 2
6 -3.284378855603129341e+04 3.092404430851395380e-01 1
3 -3.380181223219098320e+04 8.743305613838011636e-01 3
5 -3.285509751924138982e+04 8.544035362692504743e-01 0
2 -3.716523245731923089e+04 6.747069244240339048e-02 2
8 -3.283532870270241256e+04 8.845242394845583833e-01 4
6 -3.284053696360391041e+04 9.476901313564600748e-01 3
4 -3.296857219012378482e+04 2.584853710025800666e-01 0
4 -3.314938755970794591e+04 5.634419267046018032e-01 3
8 -3.283697566569381161e+04 8.331838406675617925e-01 1
8 -3.283888555115600320e+04 2.539089528274021124e-01 4
6 -3.285699702616639843e+04 3.154858220895082055e-01 3
9 -3.283552888875942153e+04 5.619277445028325602e-03 3
3 -3.317811479773515748e+04 1.733765407604291875e-01 2
10 -3.283439880556991557e+04 5.398857278898665513e-01 1
11 -3.283357916998628207e+04 3.297975462547700354e-01 3
4 -3.296479979089572589e+04 2.575700372758357726e-01 2
1 -3.949712277287116740e+04 8.359482825928821192e-02 0
4 -3.309216785833117319e+04 4.933086359741960525e-01 0
9 -3.283541042851882230e+04 7.081135131655571513e-01 4
10 -3.283358606660232181e+04 9.809959005293116263e-01 1
10 -3.283375800748483744e+04 8.725336224152897557e-01 4
10 -3.283464016340348462e+04 7.328622118449589218e-01 2
5 -3.287598533033930289e+04 1.871001715507306096e-01 0
9 -3.283511831913510105e+04 5.200814369849420249e-01 1
3 -3.323536803645177861e+04 3.107470854671774002e-02 0
4 -3.310042188546519901e+04 2.492067350152570304e-01 0
9 -3.283489385869480611e+04 4.242624809334809566e-01 3
5 -3.292438640566986578e+04 6.629440214398414355e-01 1
8 -3.283586693208411452e+04 9.759671891471013438e-01 3
10 -3.283468081759527558e+04 7.188630041190273712e-01 2
4 -3.298659240878269338e+04 8.201015296445888225e-01 0
6 -3.284383775039994362e+04 4.071825342652680702e-01 4
10 -3.283452201591309858e+04 3.850234074731045397e-01 2
9 -3.283511192966084491e+04 7.751284693395475989e-01 2
10 -3.283383401444826450e+04 9.279360135851983937e-01 4
8 -3.283471896552148246e+04 9.775939588404313207e-01 2
10 -3.283371530555112258e+04 4.998580605282135214e-01 3
11 -3.283368610761902528e+04 4.734710878735928219e-01 3
2 -3.383764289388928592e+04 2.575130477598350232e-01 0
10 -3.283415382917944225e+04 1.306447107778096473e-01 4
5 -3.283887248246668605e+04 9.434205910203541379e-01 2
2 -3.537968527768237982e+04 7.322540175424065989e-01 0
0 -9.527811246076872339e+04 7.474389773022800387e-01 0
3 -3.337354744384228252e+04 3.852274147148283534e-01 2
10 -3.283469795848068316e+04 9.397650671872881389e-01 1
2 -3.707086843023760593e+04 7.055876955141044959e-01 0
3 -3.353451831757230684e+04 5.555141727011410069e-01 0
12 -3.283357283245994040e+04 3.195897243240430896e-02 1
11 -3.283359274734013889e+04 8.407450339985762522e-01 1
0 -4.371364521472252818e+04 9.688477745445120970e-01 3
3 -3.301662348993661726e+04 3.366102999646723437e-01 0
12 -3.283357797755028150e+04 2.469347689856884742e-01 1
10 -3.283463484635665372e+04 5.686155583126206725e-01 4
3 -3.372055170421801449e+04 5.508769770535635324e-01 3
12 -3.283358025242311123e+04 1.247771810472807080e-01 1
8 -3.283618138949952117e+04 9.519691457904735366e-01 0
4 -3.303618576441043115e+04 2.325034469123326286e-01 4
13 -3.283357337624486536e+04 4.907853614687631705e-01 1
10 -3.283375666282053862e+04 6.989119573634264837e-01 4
6 -3.286604913029724412e+04 7.349915182855829565e-01 4
11 -3.283368656525549886e+04 4.078185084981242881e-01 1
11 -3.283371845151274465e+04 9.636399332327405531e-01 2
1 -4.787497511453668994e+04 9.174718552915667180e-01 4
9 -3.283441736777298502e+04 4.524312640940780783e-02 2
7 -3.284342021112203656e+04 9.211702806562174772e-02 3
14 -3.283357159771498118e+04 6.707440898384451344e-01 1
14 -3.283357165406265995e+04 9.856895959835955123e-01 1
8 -3.283768751469442213e+04 7.776443328821482925e-01 3
14 -3.283357120719914383e+04 8.896479722104420063e-01 1
6 -3.285159425005340745e+04 3.168006805575629414e-02 2
13 -3.283357285672723810e+04 1.066708339220804880e-01 1
10 -3.283366138069981389e+04 9.296335298244384759e-01 2
12 -3.283357933523999964e+04 2.246460671170046330e-01 0
7 -3.283553769885130168e+04 8.116162230323957782e-01 4
13 -3.283357527120727173e+04 5.150200206755493060e-01 0
7 -3.284032735522903386e+04 6.449950662946180024e-01 4
9 -3.283574038852868398e+04 9.327727653017383602e-01 3
9 -3.283440011517468520e+04 9.818962969054827461e-01 4
10 -3.283447020867704123e+04 5.919756181017732377e-02 3
8 -3.283632183121408889e+04 1.300254480830688175e-01 4
