# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 328152 328152 116997 328152
-1.028535339831086359e+00 -6.296076361197356891e+04 3.965839107290803356e-01 271859 327985 155711 433577
-2.050948536748494533e+00 -4.229906332308686979e+04 7.420708508974022122e-02 241541 328014 181919 472603
-3.008424491170639481e+00 -3.335045321362670802e+04 4.307224170344505776e-01 221865 327839 193294 497602
-3.957182047314359963e+00 -2.814698933275356103e+04 7.885680506988279603e-01 206770 327749 173540 508723
-5.028098896563212961e+00 -2.476493830470275498e+04 5.779243131353516416e-01 191376 327968 172803 490578
-6.068846579239767891e+00 -2.290285066381764045e+04 4.769430314907355251e-01 178049 327786 179430 489769
-7.072743164761771339e+00 -2.185808037499776037e+04 4.791361551978934319e-01 166303 327860 197583 495711
-7.997207781197039012e+00 -2.127579979896033547e+04 5.710719016106220458e-01 156426 328075 211795 513138
-8.888463522829095353e+00 -2.092053533558946219e+04 9.132669788692162616e-01 148066 327701 200500 526582
-9.855974178829946197e+00 -2.067552717840023615e+04 8.281831626214848363e-01 138208 327449 202214 515876
-1.079607179014752383e+01 -2.052507725373845824e+04 1.359553243217712648e-01 130142 327994 202314 518709
-1.174086299357355045e+01 -2.043251203858462395e+04 7.909305625542520923e-01 123644 328580 191660 518759
-1.273682505941511423e+01 -2.037150526000271930e+04 3.186715743555900704e-01 115087 328626 192625 508507
-1.370924874895260004e+01 -2.033523738181758745e+04 1.997915187827900216e-02 108478 328918 198633 509333
-1.465421105118969258e+01 -2.031366667890242388e+04 4.823790783783183933e-01 102562 328875 169718 514898
-1.575734711327358006e+01 -2.029843692303154603e+04 3.973165800905813505e-01 96068 328963 151584 488473
-1.691627748395382724e+01 -2.028940976732238050e+04 9.463625915427451574e-01 89093 328962 178111 472917
-1.789424638873773787e+01 -2.028487699451205117e+04 4.638362987085544731e-01 84414 329320 191954 497927
-1.885017824660864960e+01 -2.028220079753822210e+04 5.504345703828952274e-01 79666 329549 192192 514133
-1.983508621056085985e+01 -2.028048109429089527e+04 1.986399784902414048e-02 75101 329841 165029 516709
-2.096772655360702942e+01 -2.027927197280506152e+04 2.775424081552564370e-01 70434 330414 201032 489086
-2.186319742641200037e+01 -2.027872739371233547e+04 1.941849115988893981e-01 66984 330066 184852 524783
-2.290410735431471778e+01 -2.027833137323733172e+04 5.911121741317235667e-01 63741 330688 183282 509213
-2.392465760042725265e+01 -2.027809624159649320e+04 3.848731264130207941e-01 60221 330383 222194 507332
-2.475970594086808774e+01 -2.027797582686867827e+04 8.343900614235728597e-01 57263 330818 223039 546685
-2.566162165927874739e+01 -2.027789212070569556e+04 8.060993980748829557e-01 54925 331065 264309 547779
-2.640342546854610362e+01 -2.027784789062430718e+04 4.841048786937354742e-01 52978 331454 220370 589433
-2.738809445004575593e+01 -2.027780690693063661e+04 1.195950439221995509e-01 50241 331370 160596 545404
-2.859715630364054917e+01 -2.027777733742347118e+04 3.079754951721669909e-01 46922 331128 0 0
