# level_assignment log_likelihood tiebreaker ID
0 -3.334419210146481782e+04 2.756609703275594292e-01 0
1 -5.636191008783433062e+04 2.270831255167880536e-01 1
0 -7.814099933756922837e+04 5.989858333772510868e-01 4
2 -4.099865582329632889e+04 5.044504012085125888e-01 3
1 -3.743380281175818527e+04 7.095272126732519169e-01 2
2 -2.162446908264968442e+04 8.832948140862610931e-01 1
2 -2.607253486750904631e+04 7.225037602482622390e-01 1
3 -3.116810798968410018e+04 8.808150606578400987e-01 1
2 -3.666501525241916534e+04 2.303016822985790579e-01 2
2 -2.880030360833145824e+04 3.026997592774609558e-01 0
0 -1.580045932330364885e+05 7.531201830078870785e-02 3
6 -2.144339696014198853e+04 9.137826723682855867e-01 1
3 -3.071734141731436102e+04 3.350485577792105402e-02 2
8 -2.061127623289771145e+04 5.373464558906898558e-01 3
5 -2.442838188450000234e+04 9.476955216044455899e-01 3
0 -7.007787045574706281e+04 8.214796377098494418e-01 4
5 -2.419653062951161701e+04 3.686859681954463563e-01 4
8 -2.107244931617881230e+04 5.563359623630655948e-01 1
6 -2.272142856982989542e+04 7.460988246578876826e-01 0
8 -2.098689428853020581e+04 3.688407735564672718e-01 3
6 -2.208025177977038402e+04 2.338822231225492487e-01 3
10 -2.061136144668206180e+04 2.394438702551311415e-01 1
8 -2.098117195014952813e+04 1.750975252683879546e-01 2
8 -2.034746085070803383e+04 8.844954537900342473e-01 2
12 -2.042803042173625727e+04 3.295301031245970180e-02 3
10 -2.042163874564364232e+04 7.572637408724408603e-01 3
7 -2.161842356846368421e+04 3.571239729958530229e-01 0
2 -3.783103407461433380e+04 3.839918333394563010e-01 1
13 -2.036171434265822245e+04 3.140982324866152808e-01 0
9 -2.070061223491983765e+04 6.751274620049044217e-02 1
10 -2.051176163256772998e+04 8.589664064290500889e-01 1
10 -2.064407798801637909e+04 8.453762863078966294e-01 4
11 -2.046963698211459996e+04 6.784828938263025577e-01 2
11 -2.035530452835598771e+04 6.761986283605654346e-01 0
8 -2.120799755390939390e+04 4.690936207000404035e-01 4
8 -2.095403773568603356e+04 8.190158146804629169e-01 1
15 -2.030053604295117839e+04 7.850448025115228656e-01 2
0 -6.614580249176235520e+04 2.731472590273389400e-01 4
0 -1.177192776447942160e+05 8.547885371642820473e-01 3
10 -2.053723192657691834e+04 1.798403210731518431e-01 3
1 -4.234218252347874659e+04 2.741268702288027215e-01 1
9 -2.054929464872433164e+04 9.218434499540784088e-01 1
16 -2.029557268578886578e+04 1.239495172667119949e-01 4
5 -2.384649001685844996e+04 2.063974764403858353e-01 4
8 -2.104639652444607054e+04 7.993168091548152887e-01 1
6 -2.136633167466622399e+04 1.081254586764076597e-01 2
15 -2.030886069160280022e+04 5.848170289873849681e-02 0
8 -2.123118410970352852e+04 4.574336901132903810e-01 3
12 -2.042729790359651815e+04 1.751096706008026249e-01 4
14 -2.028283317436187644e+04 4.735028580963804856e-01 2
14 -2.029280547350344204e+04 2.115722359247965978e-01 2
11 -2.046679333112278982e+04 2.471063206997277661e-01 4
17 -2.028767377003418369e+04 4.573697490459611714e-01 2
19 -2.027897584336999353e+04 6.195638773261014087e-01 1
13 -2.034387663381604216e+04 2.348271001102526512e-01 3
18 -2.027896171284352022e+04 5.870526382175711433e-01 0
13 -2.030471181462857567e+04 1.871108633812321176e-01 3
10 -2.053142138502009038e+04 8.617670683716052160e-01 1
