# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 333684 333684 115600 333684
-1.054714649542164429e+00 -4.033562728219606652e+04 1.358569687817015037e-01 293016 333776 163367 438602
-2.043137374310593835e+00 -3.776065324011202028e+04 1.989860114788415679e-01 277579 333558 199297 485496
-2.939881740981785008e+00 -2.297660967206862551e+04 6.063796088357840119e-01 260882 333243 197494 519932
-3.909679366559264402e+00 -4.683880801995914226e+03 7.438794660913229384e-01 228618 333255 193552 518676
-4.896226897158094893e+00 -6.452952957272611911e+02 3.965492355293238208e-02 189630 332850 207482 514598
-5.809651634064059600e+00 -9.194972689122049303e+01 6.704420451366877032e-01 170232 332805 212334 526919
-6.723480567562026167e+00 8.038567311801135418e+01 6.870641894977982389e-01 159625 331985 192445 531616
-7.738680157931568715e+00 1.677487179169554565e+02 8.179973653025878200e-01 149923 332065 199504 516379
-8.692449661445232678e+00 2.053190454670138081e+02 5.800279699432646652e-01 141598 332344 234258 525918
-9.511095222427453422e+00 2.218744982687743459e+02 3.103904505718770857e-01 134892 332102 252819 552508
-1.030355870641250604e+01 2.308079616611017855e+02 3.313320871875405915e-01 129187 331993 220375 571008
-1.125808990159251621e+01 2.367000468669693305e+02 7.790136891268285568e-01 122823 331796 202525 542187
-1.224367203878781574e+01 2.399264237915675722e+02 4.236060422079478971e-01 115759 331968 205643 525146
-1.318465185494452285e+01 2.415273036831923719e+02 1.514886670265423729e-01 109657 332129 177789 527180
-1.426646928931873148e+01 2.424598446309872486e+02 1.891828277214591125e-01 101835 332128 176583 502647
-1.530977806264026242e+01 2.429089513878222419e+02 4.698146383562387118e-01 96053 332287 212363 503688
-1.618099551280878501e+01 2.431020724172688574e+02 8.919345874832955712e-01 91427 333018 223746 538414
-1.706549769299781971e+01 2.432102550522966453e+02 3.941383084362911626e-01 86404 332581 204198 550151
-1.805708194849437831e+01 2.432773667450480275e+02 7.360118331759537558e-01 81675 332105 217486 529988
-1.895364772281457633e+01 2.433094873851283069e+02 7.258846818842025206e-01 77478 332070 190951 543239
-1.999662096680215129e+01 2.433291062953898916e+02 7.629976321144521512e-01 73302 331883 171290 516491
-2.109403668009704447e+01 2.433393524941469934e+02 3.444163465398510926e-01 69232 332167 219609 497144
-2.192111752693781668e+01 2.433433247606332088e+02 2.640412050165671376e-01 66259 331311 218106 544583
-2.284063678085458804e+01 2.433458567592354598e+02 2.188940909128848367e-01 63060 331214 220635 542994
-2.374644653477700373e+01 2.433472435695421439e+02 2.924075455563572845e-01 60500 331598 235080 545884
-2.459693930978590970e+01 2.433479582165502961e+02 8.593128567924526173e-01 58354 331534 200519 560302
-2.562301416467920134e+01 2.433484329022064117e+02 1.805565387262240418e-01 54920 331475 190593 525673
-2.663672258966965956e+01 2.433486727933118630e+02 5.925657847716925275e-01 52694 331704 175038 515968
-2.771290126401317266e+01 2.433488017564928896e+02 9.973297817715192082e-01 50646 332563 0 0
