# level_assignment log_likelihood tiebreaker ID
0 -1.202476922999084927e+05 7.506710027502789817e-01 3
1 -4.210916183372927480e+04 3.371896932926876644e-02 0
2 -2.942822083808966272e+04 3.073168226037787942e-01 3
3 -2.317956575050124957e+04 1.646967208946914507e-02 3
4 -2.199355841394905292e+04 1.485606164446817701e-03 2
3 -2.187133578024287999e+04 7.314134298026438996e-01 3
4 -2.079110631991496484e+04 8.891478495554554495e-01 3
3 -2.216485762464884101e+04 1.284365700470305738e-01 4
0 -1.095803308705471572e+05 8.034050382419648528e-01 1
4 -2.260469108836491068e+04 1.981497620713764396e-01 3
0 -6.929878386091106222e+04 1.026564452181411013e-01 2
5 -2.050470618578108406e+04 8.173012015448150036e-01 4
0 -3.475504511195456143e+04 5.691568088207830112e-01 1
5 -2.119965178045621724e+04 4.798859592438944888e-02 4
1 -4.341708887000635877e+04 9.658499839256354802e-01 3
5 -2.128258147232806368e+04 3.976585837089655073e-02 0
5 -2.137410711894314591e+04 9.129057201479402472e-01 0
6 -2.031604086965731040e+04 4.803662627159203113e-01 1
4 -2.178827399703137780e+04 6.403297498854542136e-01 4
10 -1.989570421123865162e+04 2.580834003790162257e-01 4
6 -2.015941764651708945e+04 8.193115956539452904e-01 0
7 -2.020994029735938966e+04 3.809647711772095602e-01 1
7 -2.029046153091554152e+04 5.095261169930269674e-01 2
6 -1.997918151851747825e+04 5.310882886648021772e-01 2
11 -1.988753314549645074e+04 5.294350254780521015e-01 0
3 -2.105133666056676884e+04 1.190872984229223164e-01 2
8 -2.016791999233555907e+04 5.213196645178008737e-02 3
2 -2.331373606619940256e+04 4.760438949582281309e-01 4
13 -1.985644037936317909e+04 8.983052974985787920e-01 2
8 -2.011704155396248098e+04 7.023658917742319208e-01 1
4 -2.202014292477077106e+04 7.034370348731880940e-01 2
4 -2.251120268173483782e+04 9.365732350118215199e-02 1
0 -1.315846306566259591e+05 2.127769648561450566e-01 1
4 -2.244064044954249403e+04 4.402228221996793422e-01 1
6 -2.009282636822063432e+04 7.730453183958843066e-01 1
13 -1.984810176294533449e+04 6.389393412250674587e-01 0
2 -2.325318185910304237e+04 7.751326541743519538e-01 1
13 -1.984554998711782537e+04 1.869491186238265434e-01 2
13 -1.985223537383929579e+04 1.481923964613298950e-01 1
11 -1.987431440237659626e+04 9.062923574916645908e-01 3
14 -1.984658440353139304e+04 2.537563437101935104e-01 1
15 -1.984382051709413645e+04 9.281052858274012607e-01 2
8 -2.006733147939173068e+04 1.229829043828783650e-02 0
15 -1.984977518344356213e+04 5.593978375586415863e-01 4
4 -2.138813957113537617e+04 2.177055057267374139e-01 4
11 -1.988896071273142661e+04 9.058227246921282116e-01 1
4 -2.201020582743140039e+04 3.032618146011496485e-01 3
17 -1.984399305106276370e+04 4.661946908685505320e-01 3
9 -2.003043568026826688e+04 9.574201542901316087e-01 0
3 -2.142786428189788057e+04 8.762979710312670534e-01 4
16 -1.984504874831326742e+04 1.997425703681189602e-01 2
8 -2.010886600950550201e+04 6.175455283549199370e-01 0
5 -2.123156012392658886e+04 6.131458495497812411e-01 1
3 -2.474403748492421437e+04 4.457276139307404517e-01 0
12 -1.987762901267363850e+04 4.189485204385672290e-01 3
17 -1.984366126470972813e+04 7.694127662608147844e-01 4
12 -1.986872137908781224e+04 1.737060422929608550e-01 2
12 -1.988701938481998150e+04 8.017769666555735197e-01 4
17 -1.984242195470647493e+04 9.309403581681379158e-01 0
11 -1.987345768935196975e+04 6.171210904380617368e-01 4
15 -1.985030514912259241e+04 4.464431348763584495e-01 0
18 -1.984305930858335341e+04 4.763844710077869693e-01 3
9 -2.003662856633155025e+04 2.547899987398928867e-01 0
7 -2.016349942129727060e+04 1.342544661934255146e-01 1
17 -1.984393199758308765e+04 6.058496326802669252e-01 2
18 -1.984301637923063754e+04 3.911467725079282864e-01 2
9 -2.002101962649534107e+04 1.342976662670744004e-01 4
18 -1.984256829122774070e+04 3.432700452084525011e-01 0
21 -1.984128990844228247e+04 1.798622296351637673e-01 1
17 -1.984380844033962785e+04 5.866311644032603523e-01 4
17 -1.984278732552922884e+04 7.901556582167401643e-02 4
20 -1.984173956796076527e+04 8.226626354394808160e-01 4
12 -1.988444752687867731e+04 6.409466608837696144e-01 2
4 -2.106497839907421076e+04 3.280686061364616185e-02 4
5 -2.089601580554907196e+04 9.728137094653298567e-01 4
10 -1.989192343085286848e+04 9.712223022720469778e-01 4
13 -1.986443328817971269e+04 8.908141002578595646e-02 4
22 -1.984128600942336197e+04 4.538363091248143188e-02 3
19 -1.984200418013530725e+04 4.181726025745201025e-01 2
2 -2.822511260843131095e+04 9.211716548939472560e-01 4
16 -1.984548589455229376e+04 4.315269161535884024e-01 2
11 -1.990975879040516156e+04 2.032632369498656999e-01 1
14 -1.985771642619273916e+04 6.438231831413698814e-01 2
15 -1.984514270525948814e+04 4.657277796522890645e-01 3
20 -1.984184237787952225e+04 5.121873662543752204e-02 4
20 -1.984170820021474356e+04 6.917239993003274634e-01 4
9 -1.986243134373273278e+04 6.630585122239622820e-01 1
21 -1.984150698304419348e+04 5.317346610021078668e-01 2
13 -1.986278534556387240e+04 6.849372058453582213e-01 0
16 -1.984497909531404002e+04 1.031506710411953520e-01 4
13 -1.986509906959030923e+04 5.233035391240411505e-01 2
11 -1.987729047258039645e+04 4.327430855088003625e-01 1
24 -1.984125370733114687e+04 3.864918974194569423e-01 3
25 -1.984125057887478033e+04 2.370644776659440733e-01 0
20 -1.984174478981076390e+04 8.975174610572409506e-01 2
14 -1.985709745091649529e+04 9.536417088006685638e-01 3
26 -1.984121965773694319e+04 9.063667361255133281e-01 0
21 -1.984148014400646207e+04 4.727714980937792744e-01 3
1 -3.844823808954386914e+04 4.445263720886115377e-02 3
15 -1.984869270086630422e+04 2.103634170643923218e-01 2
12 -1.986449118896189248e+04 5.580051150176000840e-01 2
0 -1.266739842031175504e+05 1.304589667675967735e-02 2
