# level_assignment log_likelihood tiebreaker ID
0 -1.246017948372961400e+05 1.596773640228092150e-01 1
1 -5.369829762251693319e+04 6.436316155527801453e-01 0
0 -4.551007262552918110e+04 5.363356969125117057e-01 0
3 -2.456126399090274208e+04 8.360764398030144928e-01 0
4 -2.551532182557673514e+04 8.886064232686243791e-01 4
1 -4.830103642366742861e+04 4.371001980962621603e-01 2
3 -2.937806159024630324e+04 9.153539147688980471e-01 3
1 -3.220306037410970384e+04 5.125182442171303254e-01 0
3 -2.565387143106753865e+04 3.027153065093983741e-01 4
3 -2.810667219000244222e+04 4.490443783272013434e-02 2
5 -2.462528924179652313e+04 3.977114015694206695e-02 4
2 -2.454744228131761338e+04 3.952884753950228758e-01 4
5 -2.454030483989320055e+04 9.214050793157684272e-01 3
7 -2.425132779000184746e+04 3.455075316260440843e-01 1
8 -2.423717541302340760e+04 5.876038593203600779e-01 4
0 -8.580812906786598614e+04 5.688907125560049849e-01 1
4 -2.452539301639975019e+04 6.751665398469286483e-02 1
6 -2.436586776842503241e+04 5.347354707865599188e-01 2
6 -2.435397587612674397e+04 7.057596486841660743e-01 0
6 -2.439952720380640676e+04 8.957852146396757531e-01 4
4 -2.489100385776095209e+04 5.581480293763076972e-01 3
4 -2.435008232921676972e+04 4.776730406065863854e-01 2
10 -2.422630933942398769e+04 5.384501032083840455e-01 1
9 -2.423104255323347388e+04 7.871530877479133714e-01 4
8 -2.423749599565380777e+04 4.744794064790767152e-01 2
11 -2.422103568759572227e+04 9.695014271397610628e-01 4
11 -2.422273821313329245e+04 2.393442541610646401e-01 4
11 -2.422237118870548875e+04 2.567865121142441365e-01 0
12 -2.422086291004668237e+04 4.595541412606873877e-01 1
11 -2.422285858617188933e+04 2.924932931266176483e-01 3
12 -2.422087197208686848e+04 7.082828173861205334e-01 0
12 -2.422078106050652059e+04 3.116270617874832283e-01 0
11 -2.422217937935623195e+04 9.668056108788308789e-01 0
1 -3.559072604597784812e+04 3.129642244852233190e-01 1
9 -2.424087377740086595e+04 8.463296886481029846e-01 4
9 -2.423739099537210132e+04 5.647153487270193395e-01 1
8 -2.422898953474722293e+04 6.375455361455992787e-01 4
5 -2.454640195132006920e+04 5.361969550166531540e-02 1
14 -2.422031538858167914e+04 6.049473029070995267e-03 3
2 -2.630214694596258778e+04 4.172428883384612930e-01 2
13 -2.422036080686049900e+04 4.303531470177715534e-01 3
11 -2.422308168014012335e+04 1.369775664906068557e-02 1
13 -2.422041700751356257e+04 4.743758245371765270e-02 3
3 -2.936008144270909906e+04 3.534075732164065897e-01 4
14 -2.422031089687057829e+04 8.685836809777082168e-01 1
3 -2.927864768753612952e+04 3.690266853887020915e-01 2
16 -2.422020465632592823e+04 4.574084070215747033e-01 1
15 -2.422029616901514237e+04 1.901430332252442290e-01 1
0 -1.656236378034827067e+05 1.157060451446607630e-01 3
17 -2.422019446720290580e+04 8.173116175197403521e-02 0
16 -2.422019147705989963e+04 9.438549135276497193e-01 1
18 -2.422018454105584533e+04 4.823274932768980561e-01 0
5 -2.433223127543058945e+04 8.555750742009855525e-01 4
4 -2.473043328290525824e+04 4.409661873551158351e-01 4
7 -2.425701095223853918e+04 6.021638938672086994e-01 4
15 -2.422030153010329377e+04 1.443347770058522883e-01 1
16 -2.422020496156232548e+04 8.931305727494969204e-01 0
9 -2.423822494991334315e+04 1.117162542107908441e-01 3
9 -2.422194937999009198e+04 9.996781364516991175e-01 3
16 -2.422018922845155612e+04 6.935443279622860446e-01 1
16 -2.422022263480969559e+04 6.039860629563237326e-01 0
8 -2.425111454277275334e+04 9.709230104351525004e-01 2
