# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32131 32131 11652 32131
-1.013049962612566191e+00 -6.762440868180687539e+04 2.014877685222393189e-01 26673 32260 18555 42784
-1.858972924854991993e+00 -4.977769163549745281e+04 3.385223664947529798e-01 23888 32263 19937 49377
-2.771244507763941378e+00 -4.239615683823844302e+04 2.066715041225819505e-01 20974 32192 20185 50876
-3.699962953777590435e+00 -3.802375032971741166e+04 9.020432137983434018e-01 18653 32273 18911 51289
-4.697827026764994862e+00 -3.520915125611519761e+04 2.833554114155996118e-01 16841 32279 15263 50116
-5.874470775555019841e+00 -3.325365637045392941e+04 5.869260659103386207e-02 14924 32312 21204 46626
-6.674647611126302671e+00 -3.250743077770909440e+04 2.876256477465374273e-01 13937 32215 22519 51958
-7.519435057565192260e+00 -3.201504038541856426e+04 3.990444714244328894e-02 13198 32069 22085 53093
-8.403100777319554737e+00 -3.165274285380382571e+04 2.766391634698650570e-01 12295 31935 27054 52756
-9.087054155094524077e+00 -3.147017514913716877e+04 7.981895759733188545e-01 11605 31896 22199 57333
-1.003849405119590266e+01 -3.129723100329762747e+04 3.343164556869835380e-01 10949 32024 25222 53067
-1.079512212369308521e+01 -3.121030967234664422e+04 4.700313604456033967e-01 10530 32064 21032 55855
-1.177307004481576946e+01 -3.113695362312703946e+04 6.325677103922238143e-01 9818 32099 11648 51995
-1.323293120486662211e+01 -3.107481506163249287e+04 8.475426470273142790e-03 8810 32091 13948 43187
-1.435369242847654547e+01 -3.105128741466824795e+04 5.641936768900808197e-01 8307 32145 24320 45115
-1.499262690839948320e+01 -3.104312311872031933e+04 7.387154180430975936e-01 8088 32219 13901 54903
-1.634186660350002995e+01 -3.103152099075874503e+04 8.854317812963998779e-01 7406 31956 19926 45121
-1.717018342442858270e+01 -3.102770425684897054e+04 9.338656587687736987e-01 6864 31922 19293 50485
-1.813432125807995376e+01 -3.102490491582680261e+04 8.294155786976261657e-01 6711 31965 21959 50341
-1.897326428544709742e+01 -3.102338524113121093e+04 9.059135005774265892e-03 6320 31986 13507 52561
-2.030783667653920688e+01 -3.102193643373844679e+04 5.406642301280906171e-01 5897 31987 14736 44744
-2.141080645223124534e+01 -3.102137149312233305e+04 1.543392943100919956e-01 5455 31812 12984 45688
-2.265004164671848486e+01 -3.102098034400367033e+04 6.415163272847368425e-01 5191 31783 9930 44293
-2.410348809589947550e+01 -3.102073524752533922e+04 8.468042191740041691e-01 4652 32029 13490 41320
-2.521391159278863370e+01 -3.102065188878659683e+04 2.508341481309945831e-01 4488 31837 23787 44682
-2.586497407828215955e+01 -3.102062367188379721e+04 8.335409886258913215e-01 4300 31837 24980 54967
-2.666404830771114476e+01 -3.102059579477948137e+04 9.866689888848944046e-01 4096 31653 23363 56007
-2.754470271127884828e+01 -3.102057420129616366e+04 3.017181282915781804e-01 3996 31435 38098 54162
-2.792318445544025707e+01 -3.102056659059448793e+04 2.376866925851925938e-01 3948 31501 0 0
