# level_assignment log_likelihood tiebreaker ID
0 -1.267663501048160979e+05 3.798980599434820249e-02 2
0 -1.362400143118494307e+05 5.716440573496965882e-01 3
0 -9.756279847349409829e+04 2.301303479683649567e-01 1
3 -3.789248063821610413e+04 7.037863053268358371e-01 0
2 -4.793805528373196285e+04 7.364440195354604590e-01 0
4 -3.808691299794089718e+04 2.548041856050085596e-01 3
3 -3.773984593252877676e+04 3.270443228867202512e-01 1
1 -6.003736582531700697e+04 8.572134801403517024e-01 0
4 -3.460345597612338315e+04 5.024189757576160709e-01 3
2 -3.631242054322147305e+04 5.833584960014550624e-01 4
5 -3.192285112966074666e+04 7.231996837579834914e-01 3
7 -3.238694868644818416e+04 6.362186327816203857e-01 2
2 -3.470115577555233176e+04 9.802104229084873666e-01 2
5 -3.295222329734037339e+04 8.695232409864845913e-01 3
8 -3.141278580290982791e+04 5.471652859168127936e-01 4
1 -5.160330664507567417e+04 3.419658200270856985e-01 0
3 -3.716388039782179112e+04 9.675760243675222971e-02 0
7 -3.242480685380368232e+04 8.876328012562522130e-01 3
1 -4.711748928273320780e+04 7.517191827199688481e-01 0
5 -3.504908887507085456e+04 1.562074274276978869e-01 0
5 -3.379863818537759653e+04 6.435008728822302349e-01 3
9 -3.118622204863061415e+04 9.372716937544502969e-01 2
8 -3.192377495002579963e+04 1.156974887486923731e-01 1
9 -3.110836658719363913e+04 4.390950865235918599e-01 1
7 -3.179256958852551543e+04 5.410966136687677119e-01 2
11 -3.116497451681265375e+04 4.770793691457222430e-01 4
1 -4.659501871405947895e+04 7.478264290328745512e-01 2
12 -3.112582905778908753e+04 8.346781614143564676e-01 0
10 -3.131353144065361630e+04 6.772140003385130891e-01 4
11 -3.120046697077585486e+04 9.132018496716565181e-01 0
14 -3.106127587157263770e+04 3.427584341742564433e-01 2
10 -3.131934388471491184e+04 8.342043548458821789e-01 0
13 -3.107196545370597960e+04 6.493054046667984247e-01 0
14 -3.105167930372897536e+04 6.113305411947879131e-01 1
4 -3.802771060537121957e+04 9.818565798254635935e-01 4
1 -4.811442354086865089e+04 1.244049738030061913e-01 4
16 -3.103334913652727846e+04 9.642413174595318992e-01 0
16 -3.103086800752306954e+04 1.492369245340571804e-01 1
17 -3.102901742312316492e+04 4.424600949058685728e-01 1
15 -3.103154519794917360e+04 5.906152662150317145e-02 3
15 -3.102695182272441889e+04 6.596442763354791738e-01 0
11 -3.119823106158786322e+04 9.584962815838409256e-01 4
18 -3.102306704028815875e+04 8.062786404032109555e-01 1
12 -3.110828104604692635e+04 8.983708920353450367e-02 1
14 -3.105394471078021161e+04 2.725012758937476742e-01 1
8 -3.182687592013490212e+04 8.275537181863549252e-01 0
11 -3.118733517480382943e+04 3.134701991352115136e-01 0
11 -3.118814393893459419e+04 7.844852920871164814e-01 0
14 -3.105406795608816537e+04 7.130291725729086538e-01 0
