# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32217 32217 11377 32217
-1.037176165222997826e+00 -6.266507989746489329e+04 6.824928764421123173e-01 26660 32227 15168 42408
-2.063346251372997209e+00 -4.186003103749641741e+04 5.183585749964905176e-01 23723 32162 19437 46050
-2.934181274122662941e+00 -3.361008463821100304e+04 4.848934265597751869e-01 21818 32296 18570 50431
-3.933295477045357647e+00 -2.811890634698937356e+04 5.691387440621205052e-01 20252 32184 17678 49693
-4.964799984236606178e+00 -2.487365488971607920e+04 9.243187974590529876e-01 18853 32172 16359 48824
-6.052303801748934120e+00 -2.291594811042420406e+04 7.033602174279756092e-01 17597 32239 14636 47539
-7.218287927981116070e+00 -2.173350427042454248e+04 2.368954046583810480e-01 16333 32186 17948 45757
-8.158177425871748767e+00 -2.120181538277859727e+04 1.317569192033687109e-01 15211 32368 19990 48910
-9.059011963049730554e+00 -2.086741466753827626e+04 9.429309627895527957e-01 14268 32223 19329 50941
-1.002985557643083325e+01 -2.064042444644507486e+04 4.160204775278138478e-01 13432 32325 14755 50580
-1.124658510072101514e+01 -2.047650425769816502e+04 9.041496417374794703e-01 12436 32146 14767 45995
-1.237338549547480859e+01 -2.039278530135962501e+04 9.914873682119714760e-01 11626 32029 18437 45632
-1.328545130455656320e+01 -2.035061349652841091e+04 2.994742188126764959e-01 10932 32044 20078 49161
-1.418694301956434956e+01 -2.032323348072837689e+04 7.773362865986221948e-01 10179 32009 20048 50909
-1.512271003295833260e+01 -2.030697318184037431e+04 5.923391810665042945e-01 9687 31985 21826 50701
-1.597412776487402120e+01 -2.029613690453289382e+04 6.580677428216609171e-01 9144 31996 19207 52484
-1.697906320562162108e+01 -2.028880425656616717e+04 3.768173392446232950e-01 8694 32168 19559 50275
-1.792635932717027103e+01 -2.028439525045167102e+04 6.853624649894599630e-01 8239 32148 19964 50586
-1.886010282751846034e+01 -2.028196330575263710e+04 7.590792932980803265e-01 7650 32165 20136 50860
-1.979082305166423694e+01 -2.028034308006437277e+04 6.868744432014386447e-01 7243 32164 15755 51192
-2.095794923749955530e+01 -2.027916843886872084e+04 1.322137720695093499e-01 6662 31813 6795 46732
-2.279364277695798435e+01 -2.027830761343435006e+04 3.143735768480677706e-01 5985 31882 12354 38514
-2.391960267795777995e+01 -2.027805820373695315e+04 8.538328222275181068e-01 5806 32041 13774 43737
-2.506374195613153688e+01 -2.027791955723769570e+04 5.311662003021244693e-01 5409 32041 19197 45181
-2.592847966619892830e+01 -2.027786044420307371e+04 2.280863048943517768e-01 5083 31814 15702 50370
-2.708350488180801463e+01 -2.027780556380897906e+04 6.946425577855118716e-01 4805 31901 26228 46960
-2.768774185112012987e+01 -2.027778967313554313e+04 1.620115429401022475e-02 4617 31975 17864 57562
-2.884820949521876798e+01 -2.027776918055812712e+04 5.985300158470878706e-01 4356 31544 26450 48777
-2.947998426900946711e+01 -2.027776230056649001e+04 9.254924868750580291e-01 4324 31418 0 0
