# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32319 32319 11193 32319
-1.054836564715545322e+00 -6.005719831885099848e+04 2.468145499941158949e-01 26986 32362 15163 42484
-2.082979234233803822e+00 -4.139668697696077288e+04 8.709778034892765586e-01 24579 32403 18741 46531
-2.997910799587865327e+00 -3.584139795527176466e+04 2.381369442873120523e-01 22867 32417 19300 49813
-3.949101052441847948e+00 -3.365379563180170953e+04 9.520618276317125428e-01 21216 32427 20232 50537
-4.869327207801946500e+00 -3.282633400451618218e+04 9.065773906837950591e-01 18436 32481 18065 51561
-5.915231543224116706e+00 -3.092958256105965120e+04 6.861088913489473695e-01 16754 32567 17626 49544
-6.946676755849708229e+00 -2.855216215782957079e+04 7.499434498942245120e-02 15496 32560 15940 49057
-8.062855554387541090e+00 -2.683982861898054398e+04 2.488699293402297508e-01 14348 32510 22746 47482
-8.813411540726750815e+00 -2.609559603318095833e+04 1.391207310580577783e-01 13696 32589 22057 53848
-9.711614143881329042e+00 -2.544167952595688257e+04 9.511235955266679198e-01 13118 32600 16074 53397
-1.089982662744147390e+01 -2.489156180317973485e+04 4.016478914689858293e-01 11910 32462 14193 47721
-1.209783393999429002e+01 -2.458199035200666913e+04 2.345731533442618755e-01 10833 32338 9411 45745
-1.362933411320176091e+01 -2.439334967557962955e+04 4.699764358173870726e-01 9804 32243 15137 41338
-1.463364379018742945e+01 -2.432363779610813435e+04 3.755034504720476396e-01 9250 32189 22526 46236
-1.536853301092767232e+01 -2.429278341982536222e+04 8.159856084595173975e-02 8946 32213 21628 53381
-1.627715839842557344e+01 -2.426573840404423026e+04 2.083444828232048351e-01 8386 32125 15488 52526
-1.748443870687454549e+01 -2.424550285568205800e+04 1.598363814882483858e-01 7673 31987 18524 47059
-1.842090152712867379e+01 -2.423654505602432255e+04 5.410693323447508529e-01 7354 31966 22252 49869
-1.923839130530494756e+01 -2.423084965397188353e+04 4.224261420461478123e-01 7029 32218 28923 53603
-1.987324349261510292e+01 -2.422802125727109524e+04 8.786083302170576426e-01 6954 32214 34762 59608
-2.043128077735755355e+01 -2.422608987207588507e+04 1.491626913311705493e-02 6609 32211 20557 65209
-2.157798523047700812e+01 -2.422355805712509755e+04 2.532585052965847794e-01 6097 32349 9211 51762
-2.324461033343287752e+01 -2.422168120819651813e+04 1.654808906013620629e-01 5671 32484 19452 41348
-2.401429386094223162e+01 -2.422123017599128798e+04 8.045989003733350353e-01 5543 32497 17578 51306
-2.508118106879742371e+01 -2.422080676135302201e+04 3.146907397318869370e-01 5231 32621 16006 49554
-2.620298097617508049e+01 -2.422051889981381464e+04 7.583252351829238291e-01 4892 32703 6936 48076
-2.804769283322174189e+01 -2.422029609989124947e+04 1.586996956701253736e-01 4346 32724 11278 39010
-2.926843298466516785e+01 -2.422024832910401165e+04 1.877672473204573811e-02 4164 32245 6867 42890
-3.101499041047039995e+01 -2.422021205257381371e+04 6.382250370892466051e-01 3859 32226 0 0
