# level_assignment log_likelihood tiebreaker ID
0 -9.952310192196969001e+04 1.440075494667957812e-01 0
1 -7.316081523836298402e+03 9.234559193908172814e-01 4
2 -3.175525845705769370e+03 5.639154020057236538e-01 0
0 -9.200415730742295273e+04 3.472447014681351307e-01 4
1 -4.627177716447566490e+04 7.175417716021472714e-01 4
2 -1.871365334409187653e+03 6.226416932405953730e-01 4
5 -9.572761897799364306e+02 7.002430119529720054e-01 3
5 -1.052881316243058336e+03 1.089459189338399803e-01 1
6 -8.776337659356984204e+02 7.771916028726266745e-01 4
6 -7.525321422945521590e+02 5.591015898236655346e-01 1
6 -7.980014009904905379e+02 8.891343122775052787e-01 1
5 -6.775966369252818140e+02 7.206313631650791418e-01 3
6 -8.941903454720973059e+02 6.364270326646570552e-01 3
6 -7.317205584440798702e+02 3.878782916631201005e-01 2
10 -6.162044921128992883e+02 3.196879048200518270e-01 2
8 -6.993054045378837600e+02 5.533044062471600966e-02 4
8 -6.459263773831950175e+02 4.613660416127691732e-01 4
8 -6.872130079261061155e+02 6.728215821971272881e-01 2
7 -7.652151160713009403e+02 8.663542171190814767e-03 0
3 -2.332297479559503699e+03 6.896555224699986164e-01 4
1 -5.071919073098045919e+04 8.098298013575997434e-01 3
8 -6.935094273271931797e+02 8.100674585437155351e-01 1
10 -6.209311815675296202e+02 2.487629357562362031e-01 1
9 -6.130839736595839895e+02 5.419647869532769890e-01 4
12 -6.111049080864602274e+02 5.119113069435559105e-01 4
5 -8.700770638131089072e+02 9.893004266162503946e-01 4
1 -1.180625445814503109e+03 7.981055401885503997e-01 0
6 -7.623210081247093513e+02 2.948760121986674920e-01 4
4 -1.271921830296886583e+03 6.951650429948955656e-01 3
13 -6.084842436816538793e+02 4.409600954840321441e-01 1
15 -6.085401700959235995e+02 2.905164754328103394e-01 2
15 -6.087228182731585093e+02 5.765034509357163106e-01 1
1 -8.512004058675312990e+03 1.413554556210812052e-01 4
