# level_assignment log_likelihood tiebreaker ID
0 -1.363437241466718842e+05 4.513768526463266539e-01 2
1 -4.917976987135063973e+04 5.078928919071969972e-01 2
1 -4.836429449153426685e+04 4.419055214162079803e-01 1
0 -6.468202634645997023e+04 1.018713657403020646e-02 2
3 -4.064952191745671735e+04 4.463245330890560636e-01 0
2 -4.065573443617043085e+04 4.914103048439201760e-01 3
4 -3.369245746866659465e+04 1.208124618790682170e-01 3
2 -3.602377634842589032e+04 9.030769941597625028e-01 3
5 -3.324022470755675749e+04 2.439887306468121672e-02 3
2 -3.882858370580159681e+04 2.499450241002372231e-01 1
5 -3.347250137474601797e+04 1.874656913404102732e-01 1
4 -3.296130751304948353e+04 4.713204029910154080e-01 0
6 -3.306934387293871987e+04 6.987625024019638031e-01 3
1 -4.191379128348286031e+04 8.775568616959361634e-01 1
4 -3.413190369171555358e+04 8.825801027974636837e-01 2
8 -3.152419793903964091e+04 9.866163525869594553e-01 1
1 -6.346316858871654404e+04 9.222183997434879599e-02 2
8 -3.176417555596742750e+04 8.474490922668811432e-01 4
2 -4.487877831471624086e+04 4.923909235344507418e-01 2
1 -5.020380797988933045e+04 3.665045671921651760e-01 1
11 -3.115562885779812859e+04 1.793210196713652671e-01 1
11 -3.121985397232601827e+04 3.414675958325972260e-01 2
6 -3.323378164872643538e+04 3.333819077877105408e-01 4
0 -7.946559906800804310e+04 3.899456138091517143e-02 4
2 -4.790362495708290953e+04 5.684354525185806306e-01 0
1 -5.623761378927354963e+04 4.335187915726537167e-01 0
2 -3.799115140520523710e+04 2.352920923399070829e-01 1
5 -3.393819977089769236e+04 7.842988826883238174e-01 4
8 -3.163612266544142767e+04 9.315041817447671235e-01 2
7 -3.206345000649944632e+04 9.400293218253494842e-01 1
13 -3.108263018653055042e+04 6.771066106356482539e-01 3
14 -3.103492247898514688e+04 1.073097314839965288e-01 1
14 -3.104589572188912280e+04 9.873429980516827964e-01 3
15 -3.102580250470661849e+04 2.915115998372812545e-01 3
15 -3.104521759411288076e+04 2.760598622715089157e-01 3
10 -3.127522995663358597e+04 4.556226121391651063e-01 2
13 -3.105326208841651896e+04 4.156613223748894526e-01 0
10 -3.114234477774274274e+04 1.739054051787042587e-01 2
10 -3.117016669912636644e+04 9.589332224990414488e-01 3
3 -3.697936271636118909e+04 5.043021839660727368e-01 4
2 -4.732569076835837768e+04 8.237299476970396661e-01 2
12 -3.111266241644188631e+04 5.722090200545499883e-01 2
