# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 329555 329555 121047 329555
-1.001427298047160352e+00 -6.830623036184764351e+04 9.565224376756313873e-01 273277 329589 150634 439271
-2.066814547612577879e+00 -4.747867775291942962e+04 4.238850210733481338e-01 235529 329755 176788 469479
-3.044942960129212395e+00 -4.093247290265165793e+04 9.899762973578960512e-01 205273 329815 188606 494700
-4.011344081821391683e+00 -3.710400158647985518e+04 9.807631282248900906e-01 183780 330156 184929 507084
-5.019535720436770099e+00 -3.466848950792615506e+04 1.310478497119074159e-01 167244 330147 189032 503190
-5.999813735692319128e+00 -3.324223526715876505e+04 8.790665452146074754e-01 153618 330143 180644 506736
-7.029400026156626069e+00 -3.235094200255449323e+04 7.516101232344791772e-01 141793 330464 190758 499650
-7.994472273780890426e+00 -3.184186565677983526e+04 7.004085873431361575e-01 132124 330419 183767 509175
-9.012467083254001921e+00 -3.151392617894407886e+04 3.413213329794121398e-01 123346 330759 182889 503109
-1.002368520253421558e+01 -3.131844848937232746e+04 5.629603852772892963e-02 114544 330284 199913 501859
-1.094866579423816866e+01 -3.121082314127631616e+04 7.119665962707221185e-01 108037 330585 182343 518100
-1.199034361862532450e+01 -3.113320186301554713e+04 6.351696031813909293e-01 100904 330207 192191 502852
-1.295436941735471947e+01 -3.109038904629684112e+04 7.576064090682100849e-01 95796 330072 181763 513676
-1.399096151855977155e+01 -3.106198060205894944e+04 9.549417515545961521e-01 89703 330314 170507 502929
-1.506761257913564656e+01 -3.104492490670278858e+04 5.700573002054206695e-01 83775 330136 203834 495871
-1.596294002028221115e+01 -3.103628958701044758e+04 2.783808651852610061e-01 79362 330708 222008 524739
-1.683057127697133026e+01 -3.103071975583689709e+04 8.255793215611256786e-01 75690 330571 219480 543977
-1.774307538415114038e+01 -3.102700613053399138e+04 1.953066975041565234e-01 71877 330749 222675 541099
-1.863683722492719141e+01 -3.102466443360647099e+04 8.503686233250805637e-01 68091 331300 212535 542429
-1.957715932339814202e+01 -3.102313283788197441e+04 6.988671428050106105e-01 64759 331480 189936 536222
-2.061287388679079058e+01 -3.102207884413950887e+04 9.298332813221203350e-03 61716 332220 174381 517187
-2.169480197288164902e+01 -3.102143858623965934e+04 7.620152956033947600e-01 57847 331833 170939 499875
-2.276335445208996688e+01 -3.102105717437203930e+04 8.524128068804005531e-01 53871 331303 197559 495897
-2.368828644515016535e+01 -3.102086545628605745e+04 6.997246279369004895e-01 51787 331432 202632 522670
-2.463876411157320234e+01 -3.102074045735996697e+04 9.991976892510836539e-01 49689 331346 213315 527643
-2.554951789680105279e+01 -3.102066511191222889e+04 8.813641293657361597e-01 47185 330824 206394 537807
-2.650953270897588254e+01 -3.102061544835254244e+04 5.231963777038256547e-01 45273 330922 207063 530961
-2.745438836743272404e+01 -3.102058405968362422e+04 4.978205709381171573e-01 43132 331586 173814 532327
-2.856658261109157593e+01 -3.102056013011703544e+04 5.613862509739945272e-01 40911 331413 0 0
