# level_assignment log_likelihood tiebreaker ID
0 -4.037628499945764634e+04 2.756609703275594292e-01 0
2 -2.038326310914560236e+04 7.704743316196297487e-01 3
2 -8.680220851824738929e+03 5.355482379049262276e-01 1
2 -3.202059735845636169e+04 7.557689385807778160e-02 4
1 -3.238525818019122016e+04 8.039879111468062334e-02 2
3 -9.732200559561617411e+03 3.734139280969462904e-01 2
0 -2.498780194671777077e+06 3.896339115942364373e-01 4
5 -3.378336543304729958e+02 7.632945608873014098e-01 1
3 -9.314255558059143368e+03 9.315616782312061139e-02 1
2 -2.521580463669061373e+03 5.941550090016711749e-01 4
6 1.333286725505087844e+01 4.499067385659181184e-01 1
6 4.595294245877984451e+01 5.961824048934689646e-01 2
0 -4.075787934697131277e+04 2.937585794522512006e-01 3
7 1.396906745299754675e+02 8.417443632401453435e-01 4
7 1.355121112764731777e+02 8.841547314804644175e-01 0
9 2.314462028104383080e+02 4.716261350890820214e-01 4
8 1.897547819424838451e+02 3.066474045639927537e-01 0
5 9.499962243427563635e+01 1.797556729230214145e-01 1
6 5.757273585254141324e+01 4.563977012476678752e-01 4
9 2.267424606728544063e+02 6.682992975012899128e-01 1
0 -4.896922143231822411e+05 4.067883650096870696e-01 4
10 2.318267909707280410e+02 9.414933181459784750e-01 4
10 2.308138344199806511e+02 7.173052015010491500e-01 2
0 -9.788232252635013720e+04 5.399204748383737984e-01 1
11 2.395462894382484933e+02 8.835492387809122938e-01 3
4 -1.900651823325231362e+03 5.805445032044115328e-01 0
10 2.313350847528530494e+02 9.825360632221488144e-01 4
0 -1.996501702335139038e+06 6.434808232381558080e-01 3
11 2.414508593175824558e+02 9.100767142864185644e-02 2
2 -3.620416737575330626e+04 5.566907799779932109e-01 0
3 -2.224287027094333098e+03 7.623284147734443739e-01 3
5 1.890307066070213295e+02 9.068553794029010628e-02 3
5 -1.147022346675122009e+02 3.714080972428777105e-01 0
10 2.367822219363560237e+02 9.335170959642246080e-01 0
7 1.970715229203389924e+02 6.857317349224025804e-01 2
14 2.424104641153001580e+02 9.628385925150404479e-01 0
7 2.041961822823108719e+02 3.258275288560238403e-01 4
11 2.388048218415520694e+02 7.455309445283462289e-01 1
14 2.429119172939866189e+02 5.301492683987447663e-01 2
14 2.424184518343367643e+02 8.445877004059373361e-01 4
2 -2.254073815172770628e+04 4.937214088769015241e-01 4
6 9.953263679901132832e+01 3.341854868724443151e-01 1
9 2.204298913970558829e+02 1.047365135450367343e-02 0
14 2.424777778167855331e+02 3.567768753936878534e-01 0
3 -7.465635833413796263e+02 6.633885199788025488e-03 1
8 1.939056390217271257e+02 3.366596794346897736e-01 4
11 2.379155850426577103e+02 3.682975319637551981e-01 1
1 -3.958536503832413291e+04 4.647600912464232015e-01 4
2 -3.476705066728744714e+04 8.178986126550302771e-01 4
14 2.428270883382284069e+02 1.839584142418990709e-01 1
17 2.433468534822209790e+02 9.635287694545309201e-01 1
3 -1.574279687153606937e+04 4.786690796121165770e-01 1
10 2.392088300414990272e+02 5.383922251137827075e-01 0
16 2.432371949618842564e+02 1.436890698108994613e-01 3
13 2.429045720859801065e+02 7.671409991752318192e-01 0
16 2.431199837481629515e+02 4.535503033629151304e-01 3
14 2.425808237686981101e+02 5.042793748222806904e-01 0
8 2.158510680060036577e+02 9.333276664573170178e-01 0
15 2.429050261315815078e+02 1.897205941123378814e-01 1
9 2.336852544902536692e+02 9.787765584369861882e-01 1
2 -2.411336803949601290e+03 6.645732910724405640e-01 2
11 2.368796842314389437e+02 1.868584574508140306e-01 4
10 2.367235172195128428e+02 6.027681811247782573e-01 4
16 2.432283883710258579e+02 8.789067870826841045e-01 1
12 2.400644038376531739e+02 4.352370955638384942e-01 4
18 2.432995552553316543e+02 6.402952124826413183e-01 1
5 -1.712061333311925182e+01 7.695686224681147491e-02 2
10 2.368129101980132702e+02 3.858312964775746923e-01 1
5 -3.060076235364509216e+02 1.833935589266159349e-01 1
1 -3.607377641418825806e+04 3.982481678073477860e-01 3
1 -3.715458174159697228e+04 5.370220207173740379e-01 3
17 2.432630858653152472e+02 5.921217117901633742e-02 0
20 2.433352932372617943e+02 8.640941723038932931e-01 2
18 2.432953670850120034e+02 8.620966371488181235e-01 1
9 2.190726545521104072e+02 1.316887724900404621e-01 2
22 2.433472695789720888e+02 9.228399277849556048e-01 4
18 2.433226880979515272e+02 1.950564521486795044e-01 0
19 2.433300761913687893e+02 7.621516178145747444e-01 1
9 2.190869941131265932e+02 2.339843401798190337e-01 3
24 2.433486004119436075e+02 6.649869073789543839e-01 2
23 2.433466882596673599e+02 8.206481398948022310e-01 3
12 2.423372534534324245e+02 2.220689581582653283e-01 1
12 2.417423954269619344e+02 7.128614212943654715e-01 3
19 2.433336680673879187e+02 8.306481136989063430e-02 3
20 2.433326129095166266e+02 7.815928620076706412e-01 1
25 2.433483882307357931e+02 3.827108360864648895e-01 0
23 2.433483893855817541e+02 2.798136080551625327e-01 1
22 2.433482882182262586e+02 1.700512557379130207e-02 1
22 2.433456455919986752e+02 8.749171814899616706e-01 1
18 2.432988993628756589e+02 2.211238781873615666e-01 0
27 2.433488274889658385e+02 4.120268252250651742e-01 3
20 2.433441317387631102e+02 3.986773555216078790e-01 4
19 2.433242987323314992e+02 8.292376153481640921e-01 2
26 2.433486677986815607e+02 8.371392014055869524e-01 3
1 -3.294577952660107258e+04 1.237166375535636575e-01 4
23 2.433472798670537713e+02 2.443595855372437953e-02 3
16 2.431178397051771753e+02 9.945859405914652118e-01 4
12 2.429272723703773238e+02 3.798599253685714383e-01 2
16 2.431764026167674047e+02 9.122052476686626221e-03 3
18 2.432939020953863007e+02 2.346266695953129200e-01 1
28 2.433488684886904707e+02 9.769051615902633046e-01 2
8 2.047181199829757361e+02 3.733451889139504098e-01 4
8 1.909846934155144140e+02 7.676976370838666242e-01 0
28 2.433489141497383343e+02 7.665485935803043605e-01 3
19 2.433263278550292625e+02 7.952617665781822609e-01 4
29 2.433489011130000108e+02 5.926686514353047830e-01 2
28 2.433489048671159196e+02 2.784013428502166154e-01 0
26 2.433487466595956903e+02 5.883516634312294658e-01 0
28 2.433488890431901268e+02 4.399555875867360299e-01 3
25 2.433487472889436560e+02 6.237101828934674685e-01 0
27 2.433488677454231208e+02 8.601272396814008125e-01 1
26 2.433487551132500641e+02 3.289119984011562581e-01 2
29 2.433489260401386503e+02 6.225847505496293621e-01 3
27 2.433488427989628917e+02 5.964848776239835004e-01 2
28 2.433488736872895117e+02 2.470488805017856393e-01 0
26 2.433486728961750316e+02 9.218250176508462346e-01 0
21 2.433436033258109887e+02 1.850623501532271398e-01 2
26 2.433486943442921415e+02 5.376262854394534552e-01 4
23 2.433484357738827271e+02 2.335250436027806187e-01 3
29 2.433489034438447902e+02 3.860486918336110129e-01 3
15 2.430294153941506181e+02 7.254145269116991646e-01 4
23 2.433469329735795554e+02 8.364713110197374846e-03 3
12 2.427705245384198633e+02 3.860924898971875713e-02 3
6 4.116709749355307224e+01 3.856228475925447263e-01 0
17 2.433069436737083038e+02 6.606750384069491888e-01 4
7 1.699409922259201267e+02 1.309981739333727357e-01 3
25 2.433487549295912800e+02 9.278157254215075866e-01 1
14 2.423672132040777285e+02 3.798732679498119658e-01 1
2 -3.526847999091051315e+04 1.172172304925211961e-01 3
9 2.357924594905903177e+02 9.039403135741193029e-01 4
9 2.278704900204446915e+02 3.942414735963879480e-01 1
22 2.433450194403224032e+02 2.908579689048576000e-01 1
24 2.433480070204381889e+02 1.317264257246107961e-01 3
3 3.116554794717045240e+01 1.061204263357465455e-01 4
11 2.417228025657231285e+02 9.561414817469588989e-01 2
18 2.433094694550312624e+02 2.469384070416476562e-01 3
3 9.666407726593405414e+00 3.645728931407714035e-01 2
28 2.433488763095801062e+02 1.820260198562967391e-01 3
15 2.430053938449305235e+02 8.999773186966608662e-01 4
27 2.433488473786139821e+02 3.526073200310922973e-01 3
4 -2.286983162133636824e+02 3.468236817857739407e-01 1
9 2.179973636775422392e+02 1.431018801856845102e-01 4
23 2.433486956087009503e+02 3.689294392254633959e-01 0
27 2.433488607737787675e+02 6.752446026374444576e-01 0
5 -3.877156633566260666e+02 5.814365101863572249e-01 4
28 2.433488721685980067e+02 7.548716113706901987e-02 1
13 2.420871450349099518e+02 2.589789850990661946e-01 0
8 2.258249291866309818e+02 1.268810017178623184e-02 2
18 2.433344676667185809e+02 5.218270904986829217e-01 4
13 2.419587706607952384e+02 5.977946711132718915e-01 0
15 2.433052257002300962e+02 9.558754999352068182e-01 0
2 -2.937526568985576523e+04 4.358017071474201698e-01 0
16 2.432573440152890498e+02 1.837407902309706742e-01 2
