# level_assignment log_likelihood tiebreaker ID
0 -1.442809430105519132e+05 7.506710027502789817e-01 3
2 -3.228512410574709793e+04 1.899221457350211417e-01 1
0 -4.892223434957826248e+04 2.393795643845551269e-01 4
3 -3.316623083691643114e+04 4.649478663230424691e-01 1
3 -3.420427132790206815e+04 5.930271811705724039e-01 3
4 -3.021547296182756691e+04 9.820035998688448897e-01 0
5 -3.248974952194382058e+04 7.945093407765657645e-01 0
5 -3.211758335261713364e+04 7.054802485523334887e-01 4
5 -2.820899436930956654e+04 7.367462287593875558e-01 0
2 -3.292637162435408391e+04 1.540794707568353683e-01 0
4 -3.015753176759233611e+04 9.108226001353330048e-01 2
1 -4.654858291567736160e+04 2.674750587153547077e-01 4
3 -3.276657815406231384e+04 7.062476650100152353e-02 3
6 -3.020407519957003387e+04 3.963012900777636571e-01 0
4 -3.340922736863607861e+04 4.912192404308415306e-01 3
6 -2.743458578270852740e+04 5.117700523134800505e-01 2
6 -3.038836586744203305e+04 1.773558822786327482e-01 3
9 -2.534354378646589612e+04 1.837724881394846577e-01 3
9 -2.543229327379502502e+04 7.084286200660279142e-01 0
6 -3.024133660474338467e+04 4.591502055034113461e-01 2
8 -2.458249016102739552e+04 7.548917573221177735e-01 2
7 -2.848768153235043428e+04 5.825559750517337321e-01 0
7 -2.641798309848016652e+04 8.173697678307630943e-01 4
11 -2.474315705855934357e+04 2.817595909908864327e-01 3
9 -2.587905154086069524e+04 3.173258244121250349e-01 3
0 -3.710989771424467472e+04 2.995164112685478885e-01 3
8 -2.555476702046376886e+04 1.939196828745554657e-01 2
0 -1.091578661517711880e+05 9.945860882381092338e-01 4
7 -2.649365181146861141e+04 2.132298575020687703e-01 3
11 -2.457833203119591781e+04 6.637394539435028662e-01 3
7 -2.725137573422492278e+04 6.674436255706266419e-01 2
12 -2.438227116937823666e+04 2.905466172327317853e-01 4
8 -2.609950146805576514e+04 5.444767715146703324e-01 0
11 -2.437672785233499599e+04 2.271591146271632056e-01 2
1 -3.727704370285329060e+04 7.254483973914982453e-02 1
3 -3.404546442084138107e+04 6.778182425061659577e-01 4
14 -2.435508045170568221e+04 3.028822381260366514e-01 4
4 -3.349046050478524558e+04 5.628659018919218715e-02 2
13 -2.433739638583321721e+04 9.457244799151019732e-02 1
12 -2.431903873146246769e+04 9.384637769310568700e-01 1
1 -5.765187500850926153e+04 6.143448227180035026e-01 4
2 -3.930790427423944493e+04 7.278052149679572480e-01 1
13 -2.443700786227735080e+04 2.196978701062516359e-01 3
9 -2.449131243527214974e+04 8.749371934809860862e-01 2
7 -2.840549405198188106e+04 3.776431951217215643e-02 4
14 -2.432984127677570723e+04 6.996109925523378292e-01 0
14 -2.434916929523474391e+04 9.794134047262479381e-01 0
12 -2.440369969357200534e+04 7.915788117618407504e-01 2
15 -2.425394638449867489e+04 2.797873127197651466e-01 3
2 -3.345007941046735505e+04 6.706446812251929401e-01 0
15 -2.430205256542386633e+04 9.831165046003228492e-01 2
13 -2.435406830148986774e+04 3.831159102270191852e-01 3
7 -2.714804144860075758e+04 9.607819540591333585e-01 1
13 -2.441736473462350841e+04 4.711962646663809817e-01 1
19 -2.423131245736552955e+04 9.587014071076178645e-01 1
17 -2.424070653569422939e+04 5.267975180849127081e-01 3
11 -2.448863138953247108e+04 4.553108452326335986e-01 3
0 -1.059027917594473838e+05 8.765072940336815499e-01 2
4 -3.295575957110297168e+04 3.342796161670467114e-01 2
11 -2.477934755893034890e+04 5.139702611145290367e-01 2
20 -2.422502876240110345e+04 1.208656745139657929e-01 2
3 -3.533856436803973338e+04 4.663951727440810435e-01 0
17 -2.425090657766665390e+04 4.105467467877161880e-01 3
14 -2.431419326941814506e+04 7.614820725971712667e-01 0
21 -2.422431328118594683e+04 3.429078663582449948e-01 3
22 -2.422323287038667331e+04 4.994787044871567550e-01 0
21 -2.422373871157279791e+04 8.671916990305224282e-02 3
10 -2.510738291203620611e+04 2.794998923342705832e-01 2
22 -2.422283103515187395e+04 4.856181323563300012e-01 4
7 -2.621472784132372180e+04 7.090209645985217080e-01 3
24 -2.422103610996144198e+04 5.518921735350224012e-01 1
21 -2.422445974633167498e+04 1.806137717967519762e-01 0
23 -2.422109637341833877e+04 4.171496184240497396e-01 0
22 -2.422285019559409557e+04 4.996391309144869175e-01 4
17 -2.424322922291397481e+04 1.369908875098970746e-01 4
11 -2.477508203127118031e+04 7.245252311196244133e-01 3
22 -2.422310788532785955e+04 7.740493138715021093e-02 1
2 -3.341546292371007439e+04 9.391331353966136941e-01 4
22 -2.422240366006313707e+04 7.497304926677694770e-01 1
24 -2.422106214275406819e+04 9.677320780805155342e-01 1
26 -2.422043822824092786e+04 2.125649870009769515e-01 3
17 -2.424988665315098842e+04 6.004141420980761978e-01 2
18 -2.423780866636044811e+04 8.819180332783107534e-01 0
25 -2.422076009533081742e+04 4.508992017400741403e-01 4
27 -2.422039541324947277e+04 4.917323758803148204e-01 4
18 -2.423761467300071308e+04 2.581345543963435851e-01 0
22 -2.422190030271175419e+04 9.727849361557958652e-01 3
29 -2.422024285175748082e+04 9.151368867671794138e-02 0
29 -2.422024168534562341e+04 9.344343220700140895e-01 0
28 -2.422025414236475262e+04 2.278137677568441433e-01 1
27 -2.422039665269861871e+04 6.670209115915248788e-01 2
29 -2.422019615486662224e+04 9.510125148434281916e-01 3
27 -2.422028874466443449e+04 6.523904556278878886e-01 3
27 -2.422041230829984124e+04 9.396322040656750474e-01 3
28 -2.422024657415850379e+04 9.904283975765784120e-01 4
29 -2.422026669078974373e+04 9.938326705173191611e-01 0
27 -2.422029314344498562e+04 9.463728245162235098e-01 2
27 -2.422032655116491878e+04 2.447193543260167692e-01 0
28 -2.422030482719496649e+04 5.380892305230806638e-01 2
24 -2.422123985090952192e+04 8.627668062522529935e-01 2
27 -2.422026298556166512e+04 5.468377105128716664e-01 3
27 -2.422039308281080957e+04 7.092445497291358647e-01 3
17 -2.424525290305934323e+04 6.010389361787494833e-01 3
18 -2.423970476018278350e+04 5.999563546413135828e-01 2
29 -2.422020849644605187e+04 8.743439585286199023e-01 2
29 -2.422021282520888417e+04 4.387320932533372297e-01 2
21 -2.422392279609769321e+04 2.848410109361114717e-01 4
16 -2.426554238617192095e+04 4.533041512368702897e-01 4
24 -2.422109638548481598e+04 2.564619078984280987e-01 2
7 -2.503779375410839930e+04 3.602566191859215006e-01 1
29 -2.422025956866439810e+04 8.032774487210738723e-01 4
16 -2.426653106937429402e+04 7.529208127250425209e-01 3
1 -3.346749940663427697e+04 9.875420959265932552e-01 0
0 -1.073205642860636290e+05 7.495693075411039019e-02 4
29 -2.422024643860311699e+04 4.329003893145841886e-01 3
22 -2.422235036270140699e+04 6.215215594494611917e-01 4
12 -2.426110982474338743e+04 6.150262958565116955e-01 1
22 -2.422275418087639991e+04 5.740617004550346847e-02 3
7 -2.766202190984700792e+04 4.903031854812732737e-01 3
5 -2.929118574836976768e+04 1.349792715619087535e-01 4
1 -5.539289439873898664e+04 7.318345909554672124e-01 0
17 -2.425199565147181420e+04 9.584752167048495863e-01 3
21 -2.422144098236745776e+04 1.446232102420883514e-01 1
0 -4.581523803186175064e+04 5.238685748649807294e-02 3
