# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 331810 331810 119891 331810
-1.016402228551961162e+00 -4.903669737514152075e+04 2.575879938554465759e-02 277541 331613 162370 440278
-2.014096305877828286e+00 -3.049669823851592446e+04 2.342771125919602682e-01 250004 331438 174221 481826
-3.030283194758161880e+00 -2.479109147306190425e+04 6.300411732125834607e-01 226351 330751 195704 493641
-3.959836391857689097e+00 -2.266090232019903488e+04 6.858192813618424477e-01 208724 330412 190016 513637
-4.954568325751793623e+00 -2.146714186819415772e+04 4.941667579663490684e-01 192845 330620 177226 508750
-6.005824969002557800e+00 -2.077580429672783066e+04 8.194991437829420022e-02 177523 329929 183046 496312
-7.003443766697587058e+00 -2.039840973855879929e+04 3.712854006976029630e-02 165319 329720 197254 500880
-7.939236583607910624e+00 -2.018657099363317684e+04 9.051988392206938849e-01 154853 329651 200179 513976
-8.885419540546722672e+00 -2.005738700826447894e+04 7.972185453491760221e-01 146064 330268 180551 517804
-9.935839955527725920e+00 -1.996866869580759521e+04 6.420804492194851498e-01 136095 330460 184304 499864
-1.093372320630685124e+01 -1.991821698332426604e+04 7.996919164833391491e-01 127338 330647 206639 502908
-1.182936868753150783e+01 -1.989050723173580627e+04 7.896476429984411460e-01 120584 331195 192677 524742
-1.283115258596604669e+01 -1.987090586704007364e+04 2.421991174147510584e-01 112649 331221 177256 512588
-1.388932780374277343e+01 -1.985869258329222066e+04 8.439424133360997615e-01 105975 331366 193117 497540
-1.483883229543575766e+01 -1.985212091274967679e+04 7.182265428654281969e-01 99002 330969 201872 511288
-1.577211521220237955e+01 -1.984807030444416159e+04 1.432336699617009490e-01 94209 330831 202659 519483
-1.671670060434002281e+01 -1.984549190812629968e+04 2.512369026317102794e-01 88924 330743 214477 521843
-1.761187714387633463e+01 -1.984395637772615373e+04 7.665415086682463297e-01 84374 331037 206051 532592
-1.856426590167835400e+01 -1.984291913560939429e+04 6.097225434998635452e-01 79866 330898 173243 524360
-1.966531603855286292e+01 -1.984218229358989629e+04 5.724256478347261590e-01 75066 331063 170150 499288
-2.073709442550693893e+01 -1.984177799829490687e+04 4.485775892321122171e-01 69647 330752 157348 495250
-2.187426528247427626e+01 -1.984152793287427630e+04 7.112240904684483667e-01 65269 330100 177253 481108
-2.287287057176468963e+01 -1.984140107570549662e+04 1.608705991458009577e-01 62046 330310 178900 501227
-2.390128280658352011e+01 -1.984132466106495121e+04 3.025113861916463587e-01 58360 330559 204605 503139
-2.480672268473036368e+01 -1.984128213152798344e+04 9.500558071808556937e-01 55877 330638 237008 528913
-2.561960394390449736e+01 -1.984125796606605581e+04 2.910314542834578355e-01 53899 331168 214307 561841
-2.658530896627098628e+01 -1.984123850321828286e+04 9.369224690817006262e-01 51341 331335 176843 539310
-2.769360795766271366e+01 -1.984122518492253221e+04 4.159148804164116697e-01 47994 330457 211307 500980
-2.856447933385068083e+01 -1.984121882941084550e+04 2.955953647053744526e-01 46203 329810 0 0
