# level_assignment log_likelihood tiebreaker ID
0 -3.177863507988552738e+04 2.756609703275594292e-01 0
0 -7.600058302310598083e+04 3.984571216945738681e-01 4
1 -3.575209527736491145e+04 5.217798545038596636e-01 0
0 -7.287498181146458955e+04 4.392238548839066392e-01 4
0 -7.915816335907299072e+04 2.757736676911237694e-02 2
4 -2.128239137292471423e+04 6.917809208119684028e-01 0
2 -2.747081017437215996e+04 6.266565487282456104e-01 4
2 -2.288182908313289226e+04 7.400215765858952910e-01 4
6 -2.062433923713082913e+04 3.328357300642393879e-01 3
0 -3.560871601238765288e+04 9.284255790097353245e-01 0
5 -2.082009492178213259e+04 8.624241017112064256e-01 4
2 -2.345507390509652760e+04 7.330052622406663110e-01 1
6 -2.037629212995694979e+04 3.769511356955250747e-01 0
6 -2.045541975148934216e+04 3.606804782507956331e-01 0
5 -2.126667961472552270e+04 4.270978812858124141e-02 0
4 -2.075356718518852722e+04 2.808943819760627569e-01 2
5 -2.088193100764119299e+04 8.566060283111232021e-01 4
0 -7.750477805750117113e+04 2.976373712650018932e-01 2
10 -1.994388420343485632e+04 6.151505048619343441e-01 1
4 -2.170742264400251588e+04 9.085152705721739608e-01 4
3 -2.331743058529685732e+04 8.720678686998084572e-01 1
9 -1.992149056531298265e+04 7.699124865122010108e-01 3
10 -1.996797614823659751e+04 6.658399280374954765e-01 3
10 -1.995089402444191001e+04 4.561471551238163169e-01 4
11 -1.990052800334261701e+04 2.946648710733730803e-01 1
9 -1.991483569456765690e+04 7.391312545749678664e-01 2
2 -2.541080848563742620e+04 4.106880542450641047e-01 1
0 -4.274927031293408072e+04 1.638609176102514275e-01 4
11 -1.988276195947203814e+04 6.289619534224755171e-01 0
9 -1.996001044010410624e+04 3.463904122496439530e-01 4
4 -2.093471528220804248e+04 3.666346418392583129e-01 2
0 -4.260791175212381495e+04 5.720007093848129553e-01 3
8 -2.018272199261272908e+04 7.910142305665281981e-01 2
6 -2.004156973188926349e+04 6.672967760980244023e-01 1
15 -1.984336809463976533e+04 6.457097049290965174e-01 3
3 -2.258785187322254933e+04 5.243174437943043387e-01 0
12 -1.988634497022366122e+04 5.963530837963330056e-01 1
0 -4.800735055432931404e+04 9.439556194742481088e-01 2
5 -2.050566143560158889e+04 9.299812120936576942e-01 2
14 -1.985282137192249502e+04 3.755157114964959852e-01 4
16 -1.984647981369182526e+04 6.916480865144075674e-01 1
16 -1.984597404189264853e+04 3.720711425439182651e-02 3
17 -1.984546023668762791e+04 1.720641011396302489e-01 4
8 -2.006814774558173667e+04 7.959143101611374505e-01 4
2 -2.545449782899988350e+04 4.103736406113611679e-02 4
11 -1.990889947438139279e+04 5.292423999471487228e-01 1
18 -1.984340971839457779e+04 3.302061011251568590e-01 1
18 -1.984229712133465000e+04 8.693155339600503462e-01 2
12 -1.986220081916419076e+04 6.320934618522893178e-01 2
19 -1.984238394270528079e+04 8.517948632067052772e-01 1
3 -2.439220683237124467e+04 1.196634343174885901e-01 0
18 -1.984382597308685945e+04 9.488794023208050321e-01 3
5 -2.123043058828941503e+04 1.194405462725013911e-01 1
18 -1.984300776992279134e+04 3.497640980445877457e-01 2
16 -1.984212671856917950e+04 2.905457233198677769e-01 0
8 -1.990938755736883104e+04 4.138609021021726897e-01 0
12 -1.987329695629367416e+04 2.750017673107523208e-01 4
13 -1.986220464558553795e+04 1.033925506201749944e-01 3
18 -1.984335271466327686e+04 8.542336352344733763e-01 2
17 -1.984378502494332861e+04 2.675287738240574378e-02 1
17 -1.984436132260797604e+04 4.988330833954086052e-01 4
3 -2.302579065923624148e+04 5.201351712789907822e-01 2
11 -1.989575722964497618e+04 2.387367073834753550e-01 2
19 -1.984277046500299184e+04 5.560841335380317663e-01 3
23 -1.984136617901799036e+04 5.093502278088557489e-01 4
8 -1.999485990283314459e+04 4.570439377014883231e-01 3
9 -2.000882938388334878e+04 8.043479347735039975e-02 4
22 -1.984152463207241817e+04 5.497870736571941475e-01 0
9 -2.002073004412000228e+04 9.078382801267836921e-01 1
3 -2.472239635693687160e+04 6.187532885448452369e-01 1
19 -1.984288630468038900e+04 4.667520921704857995e-01 0
12 -1.987690767573526682e+04 2.447874513398810570e-01 0
