# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 327914 327914 113946 327914
-1.051878602204066038e+00 -4.508025376128435892e+04 1.674029047010368032e-01 282124 327357 148157 430312
-2.113439649044801971e+00 -7.227059641923900926e+03 6.112918318208666602e-01 247568 326961 158715 463865
-3.181136871560878099e+00 -1.777110782422408420e+03 5.084517442280646060e-01 211459 326960 178949 474756
-4.158337310261915221e+00 -1.179287578394670845e+03 3.449807646918578996e-01 196493 326428 164484 493035
-5.249933003914962981e+00 -8.752163096158549251e+02 4.806743444183863012e-01 183100 326573 180403 480621
-6.231048835489250592e+00 -7.439652082532866189e+02 3.843028404481101390e-01 172057 326931 155356 495473
-7.380501190292522828e+00 -6.697806294091185464e+02 6.744349748309101944e-01 160526 326956 173581 473363
-8.383517551000263524e+00 -6.394718814870456072e+02 6.759198312592220592e-01 150212 327444 195826 489405
-9.304385281642815642e+00 -6.249905707503539816e+02 7.670948815752653971e-01 141594 327470 195407 510733
-1.026739363469778432e+01 -6.168672020478476270e+02 9.383524136654042280e-01 133866 327003 190143 510456
-1.125564495124831055e+01 -6.126767719745217846e+02 6.184843923272331789e-01 126046 326250 195171 503992
-1.220728681414992600e+01 -6.105063262411617870e+02 5.091245679303233462e-01 118678 326243 189379 509351
-1.319729116006601011e+01 -6.093357388303707012e+02 1.038437296583363950e-01 112871 325952 188552 503694
-1.418090602974408831e+01 -6.087319275070515232e+02 4.614459781805860805e-01 106903 326288 168245 502207
-1.526870228413248043e+01 -6.083975405184438614e+02 4.237089505467027117e-01 100809 326549 168250 483356
-1.632051936064888054e+01 -6.082406309433094975e+02 5.032166201916892234e-01 95085 326344 188337 483740
-1.726722115320338702e+01 -6.081691808354929663e+02 6.376865849887496385e-01 90371 327093 150577 504445
-1.846258799847218768e+01 -6.081239700056913762e+02 2.311504691168875247e-01 85188 327100 189604 471623
-1.937918139371264203e+01 -6.081070405376142389e+02 5.681903994081692888e-01 81370 327253 169865 507720
-2.046828617629480718e+01 -6.080968086548085694e+02 9.858869580468101468e-01 76759 327053 165480 491925
-2.155212456343345551e+01 -6.080918670854256334e+02 2.251940432879022680e-01 72965 326726 211531 485884
-2.239323838052288096e+01 -6.080898697286098695e+02 6.025205198907138682e-01 69817 326721 185559 531920
-2.344330194759022135e+01 -6.080885345957132131e+02 5.441196126747250839e-01 66625 327092 204485 506308
-2.435520544571146928e+01 -6.080879411203479776e+02 2.664684651913130087e-01 63902 327443 213189 525582
-2.526282751609817723e+01 -6.080876115025419040e+02 6.780706615577833940e-01 61253 327858 188871 534702
-2.630115925461966597e+01 -6.080874136443642328e+02 7.144726872315785293e-01 58887 328273 213230 510818
-2.718174503479557558e+01 -6.080873230387038575e+02 5.083787365004290848e-01 56422 328344 181939 535234
-2.825620036939141144e+01 -6.080872666920867005e+02 4.278551996076873642e-02 54056 328742 213951 504335
-2.912156133725360974e+01 -6.080872427463659733e+02 4.203624265143535155e-01 51935 329590 0 0
