# level_assignment log_likelihood tiebreaker ID
0 -4.256048746670931723e+04 2.756609703275594292e-01 0
2 -3.407438881524064345e+04 3.844754493856548938e-02 1
0 -5.986352798113903555e+04 1.013053290500869341e-01 3
3 -3.430486870577887021e+04 4.413352714529166221e-01 3
2 -3.693310739237585949e+04 3.051906201531373042e-01 3
3 -3.300425205053520767e+04 4.105952298844392501e-01 3
4 -3.325638046310824575e+04 6.631702719144012548e-01 4
0 -7.757486360469428473e+04 9.182990322123285587e-01 3
3 -3.436453744308635214e+04 9.375664963889465131e-01 2
1 -3.358311012971270975e+04 4.374663416701010110e-01 0
6 -3.289604395984123403e+04 7.056164632864542208e-01 0
5 -3.289629113643331948e+04 4.912981853505046237e-01 1
7 -3.284155482674574887e+04 7.738209678827635551e-01 2
1 -3.864451328533434571e+04 4.572429314205160855e-01 0
2 -3.349031801515880215e+04 8.269721869034919459e-01 4
2 -3.746431573053496686e+04 7.890658158987192694e-01 1
5 -3.292908691489259945e+04 4.699908093523806341e-01 3
6 -3.288001636848785711e+04 7.490617174956784030e-01 4
1 -3.407452332592717721e+04 9.971458331246557671e-02 3
2 -3.491781425151918666e+04 6.645296105828097932e-01 0
7 -3.284656049516670464e+04 8.963335481500749324e-01 3
10 -3.283383352425258636e+04 4.781342438015445118e-01 4
11 -3.283367387295164372e+04 2.025042183215734481e-01 1
4 -3.284842045299975871e+04 9.879841294657738526e-01 2
8 -3.283950500938604819e+04 7.445849773609509725e-01 1
3 -3.337106432402511564e+04 4.967168631747872487e-01 3
8 -3.283813620831519074e+04 1.785439636993693124e-01 0
3 -3.406898795248914394e+04 2.675646065084285041e-01 1
3 -3.345344856840553985e+04 2.310596927961907354e-01 3
5 -3.295315347057962208e+04 3.504920272769458944e-01 1
11 -3.283396485063909495e+04 9.297940891534273167e-01 2
1 -4.420542831873307296e+04 2.604337916427823529e-02 2
10 -3.283380947553931765e+04 1.485632456377317112e-02 3
5 -3.284103946383625589e+04 9.795347345078129209e-01 1
13 -3.283362029433202406e+04 2.032637841840370108e-01 1
14 -3.283359371511604695e+04 1.719945629467938275e-01 2
5 -3.289530359527697146e+04 4.165644235510974625e-01 4
15 -3.283357181261124060e+04 3.784009065477628719e-01 4
2 -3.453950960866348760e+04 3.444498264086293116e-02 2
11 -3.283358828509218438e+04 6.498844886200653148e-01 1
15 -3.283357854644836334e+04 8.303099005201894367e-02 2
14 -3.283357554997601255e+04 6.844573103019544469e-01 1
14 -3.283358484790100920e+04 9.592926777374412017e-01 4
0 -6.994430632066259568e+04 4.072916904632033486e-01 0
11 -3.283362804458025494e+04 9.506931581667812381e-01 1
7 -3.283629586778842349e+04 6.822548240405765796e-01 4
3 -3.395948896002060792e+04 7.647473340320960489e-01 4
6 -3.287055630333256704e+04 8.806967884525018775e-01 3
9 -3.283445058854050149e+04 8.449685840952917415e-01 4
14 -3.283358850901471305e+04 5.866555467569050109e-01 3
13 -3.283360962728768936e+04 3.983116569125310091e-01 0
15 -3.283357209664665424e+04 8.860186491726125269e-01 3
7 -3.284922344836336561e+04 6.890505653039729062e-01 1
14 -3.283357872763809428e+04 8.748190462617273511e-01 3
10 -3.283474301926168846e+04 3.363524844040121087e-01 2
11 -3.283360705447828514e+04 2.003027008140959297e-01 0
15 -3.283357085301825282e+04 7.135055219025164819e-01 1
15 -3.283357193659366749e+04 4.468254796036928711e-02 3
7 -3.283940270387021883e+04 8.338352884588662306e-02 4
15 -3.283357453558326961e+04 8.579339990070820043e-01 3
19 -3.283357090230469476e+04 8.617284902140073255e-01 3
10 -3.283373634588343702e+04 7.782319689610011082e-01 1
15 -3.283357515048248024e+04 9.897371592508172333e-02 0
10 -3.283448926925819251e+04 2.064286981301205817e-02 3
16 -3.283357285771426541e+04 2.707246029177217128e-01 2
10 -3.283395350073892041e+04 6.128218311157740406e-01 1
15 -3.283357313080754830e+04 5.008608396328465551e-01 1
3 -3.433666242077258357e+04 5.951725626535616653e-01 1
21 -3.283357082869163423e+04 9.454632650053282905e-01 0
20 -3.283357085360775818e+04 4.916962585857432289e-01 3
8 -3.284265493877005792e+04 3.430770073691262190e-01 0
14 -3.283357996743560216e+04 2.731006862734951524e-01 1
17 -3.283357085019029910e+04 1.681839698069378386e-01 3
15 -3.283357113964094606e+04 3.715960292540874121e-01 1
16 -3.283357185103895608e+04 5.174156768324388311e-01 0
20 -3.283357085554601508e+04 8.891994527713010799e-01 2
15 -3.283357551927294116e+04 6.583718690048400157e-01 4
17 -3.283357099545322853e+04 4.459511367611104227e-01 3
19 -3.283357087221633265e+04 4.834963859972276623e-01 1
20 -3.283357085987106257e+04 3.843240807786291180e-01 3
24 -3.283357081967424165e+04 7.966735395025351107e-02 3
24 -3.283357081888114044e+04 9.082656999387117569e-01 0
20 -3.283357083395156951e+04 5.356240050866962754e-01 3
25 -3.283357081925557577e+04 6.164433256801800098e-01 1
27 -3.283357081848036614e+04 5.903332334878879095e-01 2
26 -3.283357081863448548e+04 4.910168505029565700e-01 1
24 -3.283357082099954278e+04 8.443777667982788060e-01 2
29 -3.283357081810199452e+04 6.901947258734143498e-01 2
26 -3.283357081881840713e+04 6.941908882860068353e-01 4
29 -3.283357081809285592e+04 3.159955418721226428e-01 0
23 -3.283357081987832498e+04 8.902991250187165528e-01 4
22 -3.283357081858877063e+04 6.982293631563158964e-01 4
23 -3.283357081829222443e+04 8.243995838361417583e-02 2
27 -3.283357081837926671e+04 9.010643145120003084e-01 0
19 -3.283357086461746076e+04 4.946955264994357115e-02 4
28 -3.283357081817121070e+04 1.044757453693456739e-02 3
25 -3.283357081836866564e+04 4.172968356270952972e-01 3
19 -3.283357082650890516e+04 8.170577767061484309e-01 2
29 -3.283357081810290401e+04 8.145673501759136403e-01 3
25 -3.283357081938393821e+04 2.674747525236459422e-01 3
27 -3.283357081843033666e+04 5.357084362076264261e-02 1
23 -3.283357082141528372e+04 7.586767832080979490e-01 1
24 -3.283357082055958745e+04 9.028889187659316917e-02 0
27 -3.283357081842048501e+04 3.518460365882454255e-01 1
24 -3.283357082038308727e+04 5.249592962432275689e-01 1
28 -3.283357081813078548e+04 8.477836897515942383e-01 4
23 -3.283357081975886103e+04 2.484061719333992002e-01 4
24 -3.283357082043871196e+04 1.916416786382153237e-01 0
22 -3.283357081907043175e+04 1.691671678419588432e-01 0
24 -3.283357081940318312e+04 1.661340318499994473e-01 2
24 -3.283357081984270189e+04 3.568450054159459928e-01 3
20 -3.283357082882000395e+04 8.682497372425704851e-01 4
27 -3.283357081813117838e+04 8.023770045095114378e-01 3
13 -3.283357152125242283e+04 7.339188589558104381e-01 4
2 -3.669291936138254823e+04 9.383678283961371935e-01 1
3 -3.332020124941597169e+04 1.408400373070402001e-01 3
14 -3.283359332758097298e+04 1.221051960678979642e-01 3
10 -3.283481872344950534e+04 5.223055562398863927e-01 2
20 -3.283357082453321345e+04 8.005725963604295448e-01 3
27 -3.283357081840871251e+04 1.951486528723394287e-01 3
12 -3.283360505860200647e+04 6.216938630599067039e-02 1
9 -3.283527453181714372e+04 6.093981385197593248e-01 4
7 -3.284690355265648395e+04 2.624795736828668957e-01 2
1 -4.760361004279730696e+04 2.005118195828603511e-03 2
27 -3.283357081817205471e+04 5.960105059143724904e-02 3
29 -3.283357081810940144e+04 9.169762017216068761e-01 4
14 -3.283358943613297743e+04 1.225162747536410746e-01 0
24 -3.283357082081112458e+04 7.626749265147872991e-01 1
28 -3.283357081814059347e+04 7.735946349026292523e-01 2
21 -3.283357082861568051e+04 6.553722224788622874e-01 1
26 -3.283357081864024804e+04 9.183654718387996851e-01 4
15 -3.283357110554755491e+04 8.037048967031275026e-01 2
0 -7.198518174988277315e+04 6.603642811616360353e-01 1
1 -3.429928502444069454e+04 7.002490020978885399e-01 3
20 -3.283357082234909467e+04 9.020367091123375758e-01 4
5 -3.300319861023622798e+04 5.103208097990572512e-01 1
15 -3.283357869682025921e+04 7.532127276906978031e-01 1
18 -3.283357100243636523e+04 4.663859028917061167e-01 2
8 -3.283833556690977275e+04 9.419052889046033439e-01 0
11 -3.283392300378085929e+04 1.771760301166516172e-01 3
4 -3.337647726290018909e+04 3.095775303222833563e-01 3
25 -3.283357081888956600e+04 2.310032804063531786e-01 1
4 -3.284695835979164985e+04 1.525489116737158701e-01 4
4 -3.332284378937425936e+04 2.446646138346924571e-01 0
2 -3.344149209199684265e+04 7.264763674766346879e-01 3
26 -3.283357081864472275e+04 1.620816757319487600e-02 1
29 -3.283357081811616081e+04 8.965903075021106616e-01 1
20 -3.283357082048926532e+04 4.977567888503902083e-01 2
29 -3.283357081808602379e+04 7.381375440582065295e-01 1
2 -3.716964139186081593e+04 4.223517186336769313e-01 2
7 -3.283567522467456729e+04 2.169853275119945912e-01 4
14 -3.283358960901512910e+04 7.275829500489030544e-01 2
24 -3.283357081854329590e+04 3.989429076561751275e-01 3
24 -3.283357082036626525e+04 1.958124445391430934e-01 3
21 -3.283357082639196597e+04 8.412405601696888446e-01 3
22 -3.283357082803134836e+04 6.181091882343299204e-01 0
15 -3.283357760144374333e+04 6.167449786504801690e-01 2
26 -3.283357081875845324e+04 4.088275267175110472e-01 3
14 -3.283359506775770569e+04 1.736907234317599732e-02 2
23 -3.283357082238807925e+04 9.887313765428373813e-02 3
28 -3.283357081819320592e+04 4.093642254468698449e-01 3
29 -3.283357081811037642e+04 9.678517535450755771e-01 1
9 -3.283402025116820005e+04 8.055078926675456330e-01 4
10 -3.283359075554976880e+04 1.138808000996710396e-01 4
7 -3.284305348923094425e+04 3.639132012314689746e-01 4
0 -8.772607062781995046e+04 9.013333390194963046e-01 4
6 -3.283586483839221182e+04 9.004788284586422442e-01 4
11 -3.283374693101498269e+04 6.299563829480504529e-01 1
4 -3.304243519377733901e+04 1.006839809650170031e-01 2
17 -3.283357096088256367e+04 2.012249037659810114e-01 3
10 -3.283453757625905564e+04 4.289593140358510248e-01 2
27 -3.283357081847399240e+04 1.553497497472225986e-01 3
12 -3.283358216873106721e+04 5.086108326635031540e-01 4
28 -3.283357081811695389e+04 8.241352776755529463e-01 3
19 -3.283357087932791910e+04 2.362085103427524757e-01 1
17 -3.283357107112426456e+04 2.841384120254710766e-01 1
27 -3.283357081847261725e+04 7.365828033794589169e-01 4
22 -3.283357082430517039e+04 8.478602324826709502e-01 0
29 -3.283357081810045202e+04 8.125904280171738492e-01 3
28 -3.283357081819917948e+04 9.768947575099091729e-01 4
19 -3.283357081943475350e+04 3.447095135783211362e-01 1
28 -3.283357081816743448e+04 2.681622693618123665e-01 3
18 -3.283357089631141571e+04 5.631203961039378536e-02 3
18 -3.283357090226584114e+04 3.805709491452674564e-01 1
4 -3.288581196910963627e+04 4.883594965856236092e-02 4
7 -3.284019008789811778e+04 5.050143061511596088e-01 2
11 -3.283387069437526225e+04 6.318163530552661777e-01 0
2 -3.384210601094879530e+04 8.315867191933530300e-01 4
6 -3.284552243331113277e+04 6.970546250403324429e-01 4
16 -3.283357265301887674e+04 4.564837420658325873e-01 1
17 -3.283357136562072992e+04 5.269476946200093437e-01 4
17 -3.283357091540991678e+04 1.899852816855004400e-01 1
