# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31312 31312 12002 31312
-9.626257893068738136e-01 -4.390729211848428240e+05 8.046135773545488590e-01 25670 31332 13801 42167
-2.070909786685009024e+00 -5.207074430477574060e+04 7.159981300008106953e-01 21784 31312 18486 44090
-2.948366372047135364e+00 -1.102084906649569166e+04 3.126809739296581014e-01 18372 31291 17506 48554
-3.967256612639837421e+00 -1.296914779040111398e+03 1.552363583378797429e-01 15449 31368 16553 47811
-5.024071254278352328e+00 1.404065562148298909e+02 7.492833288163289751e-01 13232 31440 16958 46874
-6.039729557029626328e+00 3.141056938759110153e+02 1.986108056574922842e-01 11742 31240 13550 47153
-7.269285385627292762e+00 3.486910700277227306e+02 2.711443041077572502e-01 10678 31022 14212 43782
-8.385482702923487963e+00 3.559076880310412889e+02 7.412709408965794111e-01 9937 30735 19034 43777
-9.228785885727120331e+00 3.578079522243210704e+02 2.036790826252347919e-01 9495 30872 7916 48531
-1.096811834639466454e+01 3.589696175082531795e+02 9.492235845396574945e-01 8611 30937 11181 38347
-1.218083948189033627e+01 3.592015581429677695e+02 9.925348747471333111e-01 8239 31043 28253 41154
-1.259063854176956809e+01 3.592393683084271743e+02 2.613241580419511934e-01 8063 31091 5509 57096
-1.479131903017658090e+01 3.593515381848588959e+02 4.692691109729876242e-01 7503 31319 22923 36652
-1.529389713250727212e+01 3.593619286056999726e+02 9.894816955431990912e-01 7239 31399 34390 53690
-1.576331738750408107e+01 3.593679241799238753e+02 5.871934159618193982e-01 7169 31461 40613 65211
-1.625596776513641117e+01 3.593723720367412398e+02 8.194752523850716841e-01 6974 31263 35469 71244
-1.696457576404593226e+01 3.593762625113707259e+02 3.312080750571107929e-02 6708 31331 23552 65795
-1.799063903924140106e+01 3.593796438607345181e+02 9.817510982780373041e-01 6379 31276 16840 54104
-1.914779466614067971e+01 3.593815946538732078e+02 7.958284346764017414e-01 6253 31413 22463 47683
-1.991421871700011437e+01 3.593823581720654374e+02 4.258135125127329168e-01 6071 31498 24726 53330
-2.069449051496431835e+01 3.593827886269081091e+02 7.885519936917830819e-01 5918 31546 17083 55637
-2.186465661689165785e+01 3.593831499334037858e+02 4.418177784895475635e-01 5298 31182 19592 47623
-2.275945915824349797e+01 3.593832648720695602e+02 4.556154233484360772e-01 5154 31211 23816 50169
-2.351793206241078238e+01 3.593833343850231472e+02 7.207448485321954479e-02 5074 31197 33201 54363
-2.403313536105197912e+01 3.593833567307623866e+02 8.489726905079347796e-01 4835 31173 26690 63731
-2.490928057874558021e+01 3.593833905390277437e+02 2.853852333412474906e-01 4691 31088 21446 57134
-2.589018790331199327e+01 3.593834060768284644e+02 7.800461312824357174e-01 4265 31049 25838 51867
-2.660216562428022868e+01 3.593834128508914318e+02 3.255701282029764276e-01 4232 31076 11815 56272
-2.812375836981753707e+01 3.593834228189614919e+02 9.076096680579794906e-01 4062 31043 0 0
