# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31837 31837 10854 31837
-1.068977637511775880e+00 -5.046116030230252363e+04 8.146972029913504554e-02 25225 31834 17261 41564
-1.955865719213286891e+00 -1.135736347698314785e+04 2.221208717984063108e-01 20838 31824 18901 47826
-2.888517163549763733e+00 -1.661874194209976167e+03 5.057870448961534482e-01 17506 31955 19860 49624
-3.809134922781078458e+00 -2.558208396250405769e+01 7.971345365457906951e-01 15267 31989 19721 50604
-4.754781661705169249e+00 2.549789788203466969e+02 3.757291324842260138e-01 13780 31818 21123 50435
-5.632305544049369672e+00 3.239639395750796211e+02 7.594264761306736000e-01 13056 31812 27288 51812
-6.290974328394006498e+00 3.424322436447689029e+02 6.182543913949416492e-01 12214 31691 25295 57502
-7.120757325614485822e+00 3.516697829189828894e+02 3.685581501969449891e-01 11599 31757 21216 55844
-8.090262948521317554e+00 3.561775521412968146e+02 6.445036654011653265e-01 10857 31874 26670 52280
-8.779369574977748059e+00 3.574559214466943331e+02 1.145177995201541732e-01 10474 31843 22359 57211
-9.721965424882668572e+00 3.584742847465391833e+02 3.340511300957601515e-01 9879 31826 23038 53369
-1.057035092877126736e+01 3.588567231926952559e+02 5.344623439477769189e-01 9542 31630 18362 53791
-1.164086957416225232e+01 3.591042002116914773e+02 7.640447539673193011e-01 8947 31598 15994 49188
-1.275640157300384026e+01 3.592305549578272235e+02 8.410501585576849459e-01 8618 31709 19130 46771
-1.365679611075468891e+01 3.592823231942987832e+02 7.740124887025245926e-01 8328 31809 27987 50232
-1.426203152344558056e+01 3.593065512613593455e+02 3.842027763274078467e-01 8367 31915 36928 59389
-1.475802954970259329e+01 3.593251805729605053e+02 5.879399729212195780e-01 8348 32016 53730 68312
-1.502197318379936775e+01 3.593332997976061733e+02 8.817351392740698790e-01 8159 32083 66842 85181
-1.528361546462939380e+01 3.593398051209042023e+02 8.827597131380985340e-01 8269 32161 88131 98350
-1.541185555691462028e+01 3.593427754920080588e+02 8.550520791349216498e-01 8183 32175 36384 118661
-1.658882499368550967e+01 3.593640125830905845e+02 2.827016625874296252e-01 7863 32291 17921 68270
-1.790870835118956705e+01 3.593756541520235146e+02 3.575197205831821545e-01 7246 32369 35383 49637
-1.827662243667897002e+01 3.593772229107129306e+02 8.337895705293258963e-01 7226 32398 32646 67147
-1.900878826616210304e+01 3.593795444293880337e+02 9.218917285538377193e-01 7015 32433 27321 64440
-1.987307506550832414e+01 3.593811157780031635e+02 5.450964265652160634e-01 6818 32469 23092 59154
-2.081666081831918191e+01 3.593821288874908078e+02 8.496852244238081164e-01 6461 32524 29770 54975
-2.144763194698406750e+01 3.593825838223039000e+02 5.475909199234447328e-02 6260 32437 26427 61575
-2.230050295693698459e+01 3.593829335963468452e+02 9.965281658138218646e-01 6009 32455 15257 58234
-2.361933324025878278e+01 3.593832186379955829e+02 7.623702629358854177e-02 5537 32415 0 0
