# level_assignment log_likelihood tiebreaker ID
0 -5.040353608165536571e+03 4.030932871328706257e-01 4
1 -7.551146585975495782e+02 9.130961314689461927e-01 1
2 -9.903740360156498923e+01 7.974704667382361833e-01 3
2 -7.473906257974860523e+01 4.838795128379120292e-01 4
2 -9.045592922562690319e+01 9.241008972094481022e-01 4
3 3.407911318118260624e+02 4.175747701684581759e-01 2
3 2.849574956296070809e+02 5.087516630440080956e-01 2
3 1.753625704943148094e+02 8.907689543797363552e-01 3
2 2.449224750126452932e+02 9.555968556812108883e-01 1
0 -7.854747926120255215e+03 2.872814473052569539e-01 0
3 2.253228046705851852e+02 3.148146422191486216e-01 1
3 1.807837486592489427e+02 1.022372933763446845e-01 0
0 -1.212714568742446318e+03 5.345359381261580722e-01 1
5 3.470877900554968960e+02 1.641948719047981453e-01 1
1 -9.143274144847962361e+02 5.503806447421986103e-01 2
0 -1.850010814482512069e+04 6.797666696974751233e-01 3
7 3.560300811482191534e+02 1.998045997226831003e-02 2
0 -6.419481638710753032e+03 8.327247997096643983e-01 1
0 -2.536410141478360401e+03 7.644903660257950095e-01 3
5 3.449954801860916405e+02 9.335189698529498814e-03 3
4 3.330737948754645572e+02 1.305548313011746231e-01 0
3 2.079321428394566169e+02 7.740830764498234373e-01 1
2 -1.572934080009056856e+02 7.562360850997507100e-02 0
4 2.947525499519515506e+02 6.919686237957449748e-01 0
2 1.367497316225607733e+02 1.531571936243614762e-01 3
8 3.585720301564961119e+02 8.387801350374016751e-01 4
9 3.584783068661749894e+02 8.231401453595901252e-01 3
6 3.550307167725484305e+02 3.011527606152782366e-01 3
8 3.575248988480047956e+02 6.983214990224047014e-01 2
2 1.612560954474330401e+02 2.246922596425550978e-01 0
11 3.592386473575525088e+02 1.764642922076394838e-01 2
0 -4.223131487906389521e+04 8.014836778151080976e-01 0
10 3.589702353346580708e+02 7.078171155221420208e-02 1
12 3.592688915317758074e+02 8.520521772446468800e-01 4
4 3.183758724727463232e+02 1.966510319138699003e-01 0
4 3.255780451152423325e+02 4.907866355412061621e-01 3
5 3.552009092804470356e+02 7.487432465787825508e-01 3
