# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31691 31691 13162 31691
-8.891165638136870886e-01 -6.223550677917239227e+03 7.150433572321085451e-01 26969 31609 15811 43443
-1.899127801367384683e+00 -4.734928791195530380e+02 6.595294924050207896e-01 23732 31621 15244 46410
-3.004831576102446000e+00 2.629032372423951074e+02 6.025139270469183073e-01 20002 31582 14227 45756
-4.161243799072566141e+00 3.462218665384519909e+02 9.038253887161687983e-01 16234 31510 18809 44672
-5.034637434112222643e+00 3.538192797550879618e+02 4.430620799240893026e-01 14418 31460 23931 48795
-5.762415757294724550e+00 3.566945777216489546e+02 8.473892311391209020e-01 13741 31615 20856 53971
-6.715881260322518642e+00 3.587743644435549868e+02 4.047632940192312234e-01 12530 31491 16571 51037
-7.833046777835102503e+00 3.596380885458961529e+02 2.224319142970680174e-01 11531 31618 18136 47031
-8.788856905485815219e+00 3.598797537352405698e+02 7.202608219165647085e-01 10887 31672 19146 48773
-9.727774143650172789e+00 3.599693173058303159e+02 3.716332761079614855e-01 10313 31650 16916 49471
-1.079635341242990343e+01 3.600073688649159180e+02 2.575410945335136481e-01 9536 31511 8889 47274
-1.240926364099467349e+01 3.600236645016593116e+02 9.529118214886561633e-01 8536 31423 9825 39464
-1.376490290060156774e+01 3.600272879348360675e+02 7.564510978435357025e-01 8030 31099 14043 40264
-1.481425571317431888e+01 3.600281926059980151e+02 5.166232939226882426e-01 7419 31085 14545 44354
-1.592113712564690431e+01 3.600285402273177624e+02 1.004880300731819491e-02 7006 31205 13239 44887
-1.712597506069426601e+01 3.600286763135561614e+02 6.188638060767109872e-01 6639 31159 17394 43661
-1.805148986707450476e+01 3.600287147223480133e+02 6.696728132228995101e-01 6277 31229 7845 47592
-1.978034116362627870e+01 3.600287348243463725e+02 8.019976812626032903e-01 5574 30922 20641 38540
-2.042878604542302412e+01 3.600287367319979239e+02 5.531979695720440349e-01 5357 30972 23566 49924
-2.119271314682883300e+01 3.600287380462862075e+02 6.269998352610081649e-02 5387 31139 22896 53206
-2.204409586250231712e+01 3.600287388911311837e+02 8.890404912524552117e-01 5213 31182 23653 53046
-2.286165689028142722e+01 3.600287392241738189e+02 9.037828581964868491e-01 4870 30540 33344 52567
-2.334098854184802718e+01 3.600287393151101583e+02 9.409919213402025140e-02 4781 30493 20294 61931
-2.445074368350743654e+01 3.600287394261504232e+02 8.433977297433656872e-01 4310 29508 7049 48969
-2.629887837471810741e+01 3.600287394761386395e+02 9.256165336126914722e-01 3986 29777 6174 36674
-2.799068736034318050e+01 3.600287394852825287e+02 1.671321607172592816e-01 3728 29798 7518 35318
-2.947966221032979917e+01 3.600287394873318476e+02 2.562297358306042661e-01 3342 28907 7031 35780
-3.103830473705179926e+01 3.600287394876813778e+02 1.403846475427921459e-01 2962 28736 7651 35118
-3.250686429893029583e+01 3.600287394877342422e+02 7.660395320240954709e-01 2342 27491 0 0
