# level_assignment log_likelihood tiebreaker ID
0 -3.752206443965101789e+04 1.440075494667957812e-01 0
0 -7.538186307442094403e+03 4.483433588600744257e-01 3
1 -9.378569683381672917e+01 6.627114545869385864e-01 2
0 -1.359084770082208706e+04 2.780410366960487933e-01 1
1 -1.517312744180980530e+02 6.541139800725155329e-01 1
3 3.436588216920836771e+02 7.383138288267261373e-01 4
2 2.716586893643874419e+02 7.553466047004749884e-01 3
3 3.337439477302459068e+02 4.627216087472909578e-01 1
2 2.745777320160050863e+02 7.765355549407582103e-01 4
0 3.442696980804140026e+02 2.309748668216600187e-01 0
2 3.050671824935948280e+02 2.361585591416622276e-01 3
0 3.355827704220197347e+02 2.261025253397206392e-01 4
4 3.536837950065862515e+02 4.686915434780848377e-01 4
4 3.511612084199725814e+02 6.409858661401405255e-01 4
0 -1.122260954546595167e+04 6.369155780897935992e-01 3
1 -2.589169833223989372e+03 7.458870157367674114e-01 0
1 -6.752932569310241888e+02 2.311501841805298496e-01 0
7 3.599099855436833764e+02 8.412682333010792490e-01 4
7 3.597103559052784476e+02 4.838517341167225538e-01 4
3 3.513568738501015787e+02 2.963392809404465922e-01 0
3 3.197884726301766705e+02 9.494000453023705433e-01 0
1 -2.622326004427401585e+03 9.692900173804697150e-01 1
3 3.549900008574407480e+02 5.413843508775224578e-01 2
6 3.594608449127591712e+02 9.474240813815080209e-01 1
6 3.595313253535305762e+02 8.448812303841429783e-02 1
0 -1.280842251947756995e+04 5.594953625712874024e-01 1
4 3.514826357045769214e+02 7.348647182139651513e-01 1
9 3.600215480493837958e+02 9.080272623181677716e-01 2
6 3.593577831270537217e+02 4.698006537931648241e-01 4
0 -1.223319391253992944e+04 5.974240657976941614e-03 0
8 3.599845296376099100e+02 9.817365074490860266e-01 3
6 3.594254232434327037e+02 3.127018170350996940e-01 2
5 3.571134527216882475e+02 2.479124702686519299e-01 4
5 3.600193147542047427e+02 4.455415339585950818e-01 3
7 3.597146943662696117e+02 8.680242777726128178e-01 3
9 3.600031196940370819e+02 8.329525716093930665e-01 3
7 3.599123701899429193e+02 2.298728181236459611e-01 1
6 3.592944013699183188e+02 5.049528741318784486e-02 2
10 3.600278488462690802e+02 7.633146831659516351e-01 4
9 3.600101064474639543e+02 2.552647945590061362e-01 3
11 3.600281481980999843e+02 3.301347980754037320e-02 4
5 3.581184582335810660e+02 2.587094651657037003e-01 1
12 3.600285016220276475e+02 5.175926961080206112e-01 4
0 -1.883216802786518383e+04 5.789187254392959003e-01 2
5 3.570390376198253080e+02 9.022448347029330407e-01 0
4 3.548350290644535789e+02 1.335409149814315022e-01 3
1 -2.327151103254952886e+03 7.648406026911089839e-01 1
4 3.542577674685124407e+02 6.023093112495003787e-01 0
10 3.600276591988494488e+02 7.074822347684648349e-01 4
11 3.600278250761256231e+02 7.553956311484173458e-01 4
6 3.596529460085424148e+02 9.406580487770951349e-01 1
8 3.599831218600663192e+02 3.496370403548387795e-01 3
1 -3.641066538951091047e+02 8.973297174427026235e-01 1
3 3.527464834123564970e+02 4.340349678371465125e-01 1
1 3.146426581031813043e+02 6.649345006323443830e-01 2
9 3.600166994400965450e+02 4.485727318692556698e-01 0
7 3.599014446585582618e+02 3.885523415016595150e-01 0
7 3.596998042813949041e+02 1.939647400506221697e-01 0
5 3.594596022185766060e+02 9.156231551488307474e-01 1
3 3.285070581615825631e+02 1.116004365201760662e-01 4
1 -1.581321129331298891e+02 4.904793779105380835e-01 3
2 1.799830022892298302e+02 9.009626991004935359e-01 4
5 3.570039833728029635e+02 5.991055921359702552e-01 4
2 1.975044943637805375e+02 1.128423610196500615e-01 1
7 3.597182447634810387e+02 3.615989293147361394e-01 1
7 3.597552944342354522e+02 9.328215336108451883e-01 3
1 -1.753372420525127609e+03 3.723085091670308988e-01 0
4 3.591880503770781843e+02 1.630518743208142496e-01 4
7 3.597008146320157493e+02 4.135959691241413577e-02 1
0 -1.809639976253391069e+03 5.725340471754574168e-01 4
8 3.599538100050774005e+02 8.093098461809291599e-01 0
0 -2.427787478662237845e+04 2.903077058218102025e-01 0
6 3.597226830055049049e+02 5.935575091372564671e-01 1
2 2.937593080447835518e+02 1.226686386324482569e-01 0
3 3.418354294246919380e+02 2.482342721047516854e-01 0
8 3.599516657954225138e+02 4.098125961694947250e-01 1
6 3.598969232458438228e+02 6.317222345095346858e-02 1
3 3.537982326679762650e+02 8.679174064661695498e-01 2
