# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32356 32356 11394 32356
-1.039742633225335444e+00 -1.477680907040910824e+04 2.164587051053402378e-01 30231 32400 13168 42759
-2.204223755488329495e+00 -2.243215420384415665e+03 1.760423125264477529e-01 28415 32241 20866 44404
-2.973971550348338155e+00 -7.076565678177130394e+02 2.497527920627768960e-01 27751 32241 19971 51541
-3.924995875194536410e+00 1.668017397189901203e+02 6.565128693082971090e-01 26731 32175 21260 50718
-4.801657537922033647e+00 5.049267673184216392e+02 4.622799489117301319e-01 26133 32092 13762 52025
-6.109331565544370513e+00 7.028985663297671636e+02 4.423143753707501347e-01 25230 32159 17891 44984
-7.036280250897465116e+00 7.467646315970423530e+02 3.504462517909061603e-01 24305 32188 15058 48834
-8.201125869849345662e+00 7.660835454743764785e+02 3.441490756475396040e-01 23331 32190 23078 46426
-8.916819638616921395e+00 7.715985059092836309e+02 8.317218420767780174e-02 22357 32203 23298 53940
-9.764569169816889271e+00 7.754075534738358328e+02 1.151939647244240028e-01 22007 32259 23657 54243
-1.060304133780080704e+01 7.776567336311200052e+02 9.351921007728417057e-02 21512 32335 27933 54720
-1.129083901596850126e+01 7.787595095312524336e+02 6.570275663006540645e-01 20977 32123 20791 58580
-1.232484337844969247e+01 7.797708304567186133e+02 7.679771923124147914e-01 20510 32178 20119 52020
-1.327760751417162055e+01 7.802713045853140557e+02 8.591315254417013492e-01 20223 32302 22085 51432
-1.413130229450555575e+01 7.805203386367916210e+02 9.123839718818586020e-01 19977 32271 32455 53194
-1.464792238476484698e+01 7.806167051165385828e+02 4.926032656470606952e-01 19591 32259 23830 63070
-1.562248093463481524e+01 7.807710059401651961e+02 7.308115692263781327e-01 19464 32326 20387 55145
-1.661781637763775166e+01 7.808669380038616055e+02 4.879134274375051539e-01 19257 32447 12641 51522
-1.799441212556219938e+01 7.809508246333183479e+02 8.388569014541865654e-01 19144 32622 6505 44206
-1.981527257623040583e+01 7.810152201966670873e+02 4.643967683908259425e-01 18869 32664 20890 38764
-2.045771944200935621e+01 7.810274915954349808e+02 5.142162982105136226e-01 18776 32772 23360 53034
-2.128694399495895695e+01 7.810410468129800847e+02 4.115744106241631672e-01 18638 32874 27443 55599
-2.200679767067767045e+01 7.810496107424187358e+02 2.575668660106851804e-01 18116 32677 39477 59464
-2.243921961737912696e+01 7.810528475084569209e+02 1.935899759095267569e-01 18008 32514 33455 71366
-2.320601395070386985e+01 7.810581930775615547e+02 1.851900591628218573e-01 17944 32446 22085 65253
-2.428537684326697033e+01 7.810633393814115379e+02 2.740271873471683550e-01 17817 32368 36202 53817
-2.470731890103486350e+01 7.810647718808914988e+02 9.551418559820663567e-01 17406 32310 33736 67848
-2.541767470996331824e+01 7.810668334067079286e+02 1.797511288960667031e-01 17319 32249 31116 65341
-2.617012811207005285e+01 7.810684555356685905e+02 4.007844060288764387e-01 17193 32263 0 0
