# level_assignment log_likelihood tiebreaker ID
0 -2.960991845225856741e+04 4.030932871328706257e-01 4
1 -1.268642234341459698e+03 1.049301361253218538e-02 3
1 -2.564051684533989828e+03 1.289375398386009008e-01 3
0 -6.943382769160950556e+04 7.746429219930596188e-01 1
0 -1.560117971070081330e+04 9.632392112528866956e-01 0
3 1.128954666078547007e+02 8.324938692637171567e-01 2
2 4.215524774975666560e+02 3.458006350250673877e-02 1
3 3.640472469023620761e+02 8.394631929721637839e-03 0
4 3.536150569155205403e+02 3.123980712143127336e-01 2
0 -2.974774761972541455e+03 5.963904125790975286e-02 1
6 7.750932104173532480e+02 3.292275559805828977e-01 1
5 5.535170813360217608e+02 7.111513441191448237e-01 0
1 -2.940900694630899579e+03 7.857493668125182795e-01 2
7 7.572538486880105211e+02 4.710042017290751448e-01 1
6 7.242433250616180658e+02 1.729192376499853190e-01 1
1 -3.650197080653792909e+03 4.431945551063591893e-01 0
7 7.619042257762923782e+02 1.185771881514714465e-01 0
8 7.731133444669424080e+02 6.386191143163687522e-01 1
9 7.725330083969520274e+02 4.495156181150292141e-01 1
11 7.779274488462009458e+02 6.906388087859176572e-01 4
9 7.752108076949716633e+02 2.972103494432010162e-01 3
3 4.511244172303848927e+02 3.041898996002766475e-01 0
11 7.781531707425737068e+02 8.610029967419681185e-01 4
9 7.744173198652065366e+02 2.809683902110648446e-01 4
0 -3.877645823483851564e+04 3.577520175830817273e-01 2
0 -1.046299066974413436e+05 8.488450814620511764e-01 2
14 7.806742644017110706e+02 3.823498268909717446e-01 1
4 3.472051269290453774e+02 9.174141618720823566e-01 3
6 7.262851201539195927e+02 5.919730932690352443e-01 0
10 7.792399649739976439e+02 3.585660769866789721e-01 1
1 -1.918048846056661205e+03 1.046021232488388575e-01 1
1 -4.981125698792643561e+03 6.381479877443024806e-01 1
10 7.772001032751986713e+02 6.967248702985209263e-01 4
12 7.793641458798206259e+02 7.242072777308266041e-01 2
8 7.704003483424185106e+02 3.762675091213020240e-01 4
4 4.824041314554430073e+02 4.661672871174270538e-01 1
5 7.048467373886027190e+02 7.553584632926528819e-01 3
6 7.272076460421255888e+02 5.882007405112471554e-01 4
1 -7.950349208716537760e+03 8.941460391998425905e-01 2
11 7.783866631458708980e+02 6.465308493646834131e-01 1
4 7.420238708323934134e+02 2.565212960870421610e-01 4
11 7.776569348285577234e+02 5.914448228251752981e-01 3
6 7.059996972193059719e+02 2.398016113470634869e-01 2
4 6.308731000050665898e+02 1.020649709286991363e-01 2
0 -5.725922537194297911e+04 5.179106527690441331e-01 2
2 -1.161652396501526482e+03 5.299903068640245962e-01 2
5 5.554468891276093245e+02 6.152246640073727457e-01 2
17 7.808618862521680057e+02 1.214707202646495982e-01 1
2 7.008836396682189616e+02 4.006016028112995286e-01 3
8 7.715411891101300625e+02 5.191750587678678475e-01 4
10 7.806586995742691215e+02 6.880156474483327678e-01 2
18 7.809783252558746653e+02 6.703191533028766136e-01 0
5 7.603261811994640311e+02 5.737667245639207492e-01 4
16 7.806458903940601886e+02 8.457716229363216875e-01 2
10 7.782336139207382075e+02 3.869313242024957633e-01 4
9 7.746036011910304069e+02 8.855600123933773382e-01 3
10 7.758947625091418558e+02 2.398402213974300534e-01 3
9 7.730350826236457351e+02 2.397457869638914829e-01 1
12 7.795036467545005507e+02 1.247093179385709016e-01 2
7 7.703675384887899327e+02 1.251345795427538654e-01 1
15 7.805613104925904508e+02 8.662946351821247948e-01 2
5 6.365179804775696084e+02 3.294926229228732906e-01 4
7 7.541261618007332572e+02 9.166630841610314828e-01 3
15 7.805852968481714242e+02 7.132100206412332888e-01 2
5 7.083555624478474328e+02 6.281490001389788969e-01 1
14 7.805140023789185761e+02 6.631795724276190462e-01 4
10 7.767691992834400025e+02 7.240626077365254487e-02 4
12 7.793425393401746533e+02 7.397028907935048192e-01 3
18 7.809186992326010568e+02 8.194248135864627969e-01 0
6 7.547046774958459991e+02 9.849777407748551150e-01 3
7 7.538297996049731182e+02 2.186177739182753044e-01 1
18 7.809255627625626630e+02 2.985717153649994904e-01 0
10 7.754248296952412147e+02 5.210377157161015793e-01 2
17 7.808164453921207269e+02 5.352533789996596347e-01 0
15 7.806846037013026489e+02 3.236953857158467729e-01 0
12 7.797381841281156767e+02 1.856502691901198432e-01 1
3 -3.234330043554596159e+02 4.455567215241422740e-01 3
14 7.802941896945876579e+02 1.032099861685057268e-01 1
10 7.758367878919935947e+02 6.073227898057673713e-01 3
6 7.170573489395808338e+02 3.441731690298492352e-01 4
19 7.809756091186025060e+02 9.294294826017357458e-02 0
19 7.809817987744662560e+02 5.408437405621521199e-01 0
18 7.809040221290946420e+02 1.716647076292811824e-01 1
17 7.808486197664669817e+02 9.084706758742899790e-01 2
19 7.809565902065488672e+02 8.627887195909220708e-01 1
16 7.808232022127950813e+02 3.470101494313166390e-01 3
19 7.809527272874236132e+02 9.591845049282446967e-01 2
20 7.810274814837182475e+02 5.515850977596450377e-01 2
19 7.809978568583752576e+02 6.970181256437957273e-01 4
21 7.810374577679391450e+02 3.813027567332865075e-01 0
22 7.810560438049496952e+02 6.127012411955180815e-02 1
20 7.810242337621393744e+02 9.790772662658815406e-01 4
20 7.810490668036113675e+02 3.335304684963986688e-01 4
20 7.810631140968980617e+02 6.833398137173607445e-01 4
23 7.810547568667362839e+02 7.542523403693044415e-01 1
23 7.810652504809861512e+02 7.849085565329571024e-01 1
22 7.810415321932212009e+02 8.887693858903771282e-01 0
17 7.808369782297883148e+02 1.542216038412736745e-01 3
22 7.810446498125287462e+02 6.160806570767201062e-01 4
19 7.809675001058021735e+02 9.224051837546919375e-01 3
25 7.810625006204938927e+02 8.121528343612460787e-01 0
22 7.810516777321754489e+02 4.708093570983999943e-01 2
27 7.810668334188954987e+02 6.970236834402285808e-01 4
28 7.810672281063336868e+02 2.932383424320894605e-01 0
13 7.804309604970926557e+02 1.089915608641184828e-02 3
27 7.810661769206069494e+02 6.865974202914015834e-02 0
11 7.796723102343958089e+02 5.033746445496865007e-01 3
29 7.810687544210720716e+02 9.132773008875408882e-01 2
28 7.810682111047353828e+02 7.463872997224676453e-01 1
26 7.810663703054848384e+02 3.572971286964822801e-01 1
27 7.810655310749220916e+02 6.105500165402166779e-02 0
26 7.810655733946708779e+02 6.530109041403765469e-01 0
26 7.810653546235857903e+02 6.812019058038703001e-01 1
29 7.810687091466745642e+02 9.073615029611790117e-01 0
24 7.810603310461767705e+02 5.889865419762326804e-01 2
29 7.810713865275392891e+02 1.481974887578332567e-01 0
27 7.810648419320127687e+02 6.894871509947401167e-01 0
8 7.696098126102519927e+02 2.227289294231935834e-01 3
6 7.336311328072559945e+02 8.365780238688731441e-01 3
21 7.810456840871960367e+02 4.795997531625972865e-01 4
28 7.810670725349236818e+02 3.379831763067540074e-01 0
25 7.810719645923181815e+02 1.433145491001643623e-01 0
27 7.810686927563756399e+02 6.524108434697887260e-01 2
26 7.810634723846183078e+02 2.920056432381760159e-01 0
26 7.810650294602967278e+02 2.656370418668200228e-01 1
20 7.810223584412340188e+02 5.822060671465396631e-01 4
12 7.791760457371461825e+02 9.113912465044285982e-01 3
27 7.810681957991575928e+02 6.637834603282960488e-02 0
26 7.810645559877203823e+02 1.283616418552688820e-01 0
21 7.810549352451165532e+02 1.906316654927131538e-02 1
29 7.810700237681838871e+02 6.320854491013284671e-01 0
1 -1.190203647144496608e+04 1.594224563267054307e-01 3
29 7.810691839599548985e+02 6.181310543210701836e-01 1
23 7.810597024161706941e+02 7.985066116942879377e-01 1
21 7.810513450677088940e+02 2.637193538929289427e-01 1
18 7.809017118060990015e+02 6.549612679398268966e-01 0
11 7.810132993257659564e+02 2.969597450130612160e-01 1
2 -2.009947556443350436e+01 3.155977033793926911e-01 3
23 7.810557074728824318e+02 8.377899064468297130e-01 2
9 7.724349998546307461e+02 8.673795939512672637e-02 1
15 7.810070334972637056e+02 2.014456403308471089e-01 0
25 7.810592459696415517e+02 7.294185499576499865e-03 2
7 7.570219215350134618e+02 3.241421165839852847e-02 3
11 7.786289124451989210e+02 5.260341289869918668e-01 4
14 7.802750905370443206e+02 8.437875837733618267e-01 0
0 -3.423923799792943100e+03 6.435284457950711801e-01 3
0 -4.050601635319734214e+03 4.934782733892166817e-01 3
3 -6.263398578887623671e+02 6.051567187529354186e-01 3
5 5.569571555840425390e+02 1.826166118174618602e-01 4
5 6.101205631299311563e+02 1.818838814530447656e-01 1
11 7.777842708543946628e+02 2.894574753972734352e-02 1
1 -1.290281287092705315e+04 4.054771614207209884e-01 4
22 7.810470735461688037e+02 2.599946814034286291e-01 2
26 7.810647719543960648e+02 8.236823445056049575e-01 2
26 7.810636474624419634e+02 6.583535974565559723e-01 2
10 7.787114293587012526e+02 3.390018555787725485e-01 3
21 7.810349523331871069e+02 9.166924175106760941e-02 0
0 -2.655565873320026731e+04 8.236412272558788494e-01 3
8 7.688436037940207370e+02 9.857436499731692114e-01 1
4 2.004495394444620047e+02 5.164687941692462925e-01 4
28 7.810668768126631676e+02 1.240568836574402756e-01 2
15 7.809257489387925943e+02 9.487283432185862342e-01 0
10 7.776040563357863675e+02 6.048659855977980282e-01 3
2 -1.252501673714919974e+02 4.680828870923017249e-01 4
3 4.910890465762207100e+02 9.877660076888864493e-01 4
12 7.789271110304293870e+02 8.715211399282848381e-01 3
12 7.787756995630352321e+02 7.726608394097627119e-01 3
9 7.733751527348122181e+02 1.591101002733692482e-01 4
12 7.796801847641437462e+02 7.142816213438152317e-02 1
17 7.807720963442984612e+02 2.011443664640908124e-01 0
1 -4.563911623092045375e+03 7.612064876963537952e-01 4
13 7.799004981406661727e+02 1.998880396665145831e-01 3
3 -5.382259876528429459e+02 5.418995871523489827e-01 4
14 7.802782218928923612e+02 9.034805392454681172e-01 1
14 7.802824804793986004e+02 5.714062763027932812e-01 1
19 7.809546581479896759e+02 9.234462592980854367e-01 2
19 7.809746739626577892e+02 9.028233812279428117e-01 2
19 7.809751040762876073e+02 6.809045858020273956e-01 2
15 7.809904292345390786e+02 7.290021140020862545e-01 0
4 4.836141455681010939e+02 6.096431126115453569e-01 4
0 -5.348655128878307005e+04 9.644339603368726754e-01 1
9 7.749321273131794214e+02 9.840026601409866958e-01 4
4 4.915443339416970048e+02 8.300836096157830912e-01 1
20 7.810205288391389331e+02 7.536749867930836455e-01 2
10 7.798190523436185231e+02 6.488486009899613327e-01 4
1 -1.989028445588700606e+03 3.827239225674106127e-01 1
0 -7.507428503214850207e+04 9.636423591415077539e-01 1
4 2.805826973216618399e+02 8.684520141055136477e-01 1
11 7.792523078188087311e+02 1.326308059448511045e-01 0
8 7.711316155222632460e+02 2.931274114458326530e-02 0
22 7.810561351429063279e+02 5.266120581113333809e-01 2
0 -4.612749663632310694e+04 1.108939738078076331e-01 1
27 7.810667754296841849e+02 3.100977200037071113e-01 2
28 7.810671745930941370e+02 7.672446164593027529e-01 2
3 -2.899554721207774719e+02 8.518239024714757690e-01 1
3 2.174024495838814630e+00 8.905791016846349439e-01 1
1 -6.462203409248129901e+03 4.110838109779342275e-01 4
3 -3.541011399816009657e+02 3.934151378994857340e-01 4
5 7.280859502258850853e+02 4.602237348489075508e-01 1
5 5.885575448874207041e+02 5.495989781187722301e-01 1
16 7.807647288194131079e+02 4.449924606677319039e-01 3
28 7.810692358620995037e+02 1.060390394303425410e-01 2
13 7.802380656991357455e+02 4.200168960738015489e-01 0
13 7.800258410302542416e+02 6.162186243651528450e-01 0
26 7.810695050034335054e+02 6.380671407337066281e-01 2
11 7.802171316744744445e+02 5.165282570597180545e-01 0
22 7.810603130661406794e+02 5.783594201649583377e-01 2
1 -4.811919635994976488e+03 7.687354620744027978e-01 4
8 7.729993646042962609e+02 9.242386424405826251e-01 0
17 7.807882103048958697e+02 9.652118796046723626e-01 3
6 7.270810871086764564e+02 5.747488753867280309e-01 4
