# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31782 31782 12636 31782
-9.291336392804375732e-01 -1.751252539503559092e+04 6.018498078970608844e-01 28988 31771 18368 43196
-1.793512547845764971e+00 -3.486790631659337578e+03 3.039207721802381634e-01 27038 31819 15149 48866
-2.953379155997866157e+00 -6.273633388510518216e+02 8.544282406299803512e-01 25634 31817 15377 45954
-4.041768118336764637e+00 3.146105613261322560e+02 6.759738880372268000e-02 24482 31796 17424 46226
-5.019000554388222568e+00 5.848297043411018876e+02 5.170948653915123927e-01 23833 31827 20878 48203
-5.865042553251059942e+00 6.870903616054094982e+02 2.366860392344989350e-01 23344 31841 21777 51537
-6.733995634236540795e+00 7.341148472270979255e+02 3.920819631530777505e-01 22550 31643 27381 52210
-7.396614703047192485e+00 7.508439656019904760e+02 1.282395830353078026e-01 22347 31677 21544 57548
-8.380039545133170620e+00 7.614011316360736146e+02 6.327941240035687143e-01 21620 31591 13152 52095
-9.730710234037655226e+00 7.657176919319770150e+02 8.710622339174610707e-01 21321 31628 7467 44089
-1.143091234044634774e+01 7.670862602819950098e+02 7.883495807384679477e-01 20711 31574 13399 38466
-1.248125383870245209e+01 7.672812882118232665e+02 6.139397206846153310e-01 20380 31644 6039 43997
-1.436038734396018413e+01 7.673725326337082606e+02 7.761821750494736216e-01 19883 31665 17138 37306
-1.515393034970633579e+01 7.673810811406519861e+02 9.977291097084748372e-01 19780 31718 10666 47674
-1.661196112243029788e+01 7.673872612781067346e+02 6.220863066374584527e-01 19320 31577 18085 41938
-1.746342401147551371e+01 7.673882492820150674e+02 1.085525189457231393e-01 18975 31405 20297 48852
-1.834873524648818588e+01 7.673886537051417918e+02 1.568491371484914132e-01 18703 31007 22121 50665
-1.918673393326769983e+01 7.673888562686311161e+02 9.563250015567708040e-01 18650 30900 19561 51701
-2.016026932352492196e+01 7.673889436205445236e+02 8.640539182395172713e-01 18446 30933 22599 50016
-2.096581655349409701e+01 7.673889732686795924e+02 6.825173684028840171e-02 18403 31010 30120 52812
-2.154762152627277771e+01 7.673889838281363609e+02 9.903117968485579681e-01 18160 31145 31810 59877
-2.219567894325790647e+01 7.673889889532197230e+02 5.998767635953418109e-01 18053 30886 38245 61461
-2.269027452846849968e+01 7.673889911695630417e+02 6.155532507819886368e-01 17759 30794 20716 66864
-2.385360312608290556e+01 7.673889935491431515e+02 7.184547440038037136e-01 17601 30407 18600 50137
-2.484569731233256817e+01 7.673889941615869930e+02 5.331124079130198368e-01 17247 30419 9181 47446
-2.643337763921290318e+01 7.673889943927762261e+02 1.721396794325489310e-01 17277 30411 7644 39015
-2.799967916869657714e+01 7.673889944483569252e+02 9.261698490566072639e-01 16931 30225 14026 37302
-2.897950491899415226e+01 7.673889944558281968e+02 5.201777636604977273e-01 16477 29551 14829 42931
-3.003806273465674792e+01 7.673889944593429391e+02 4.730856499448528041e-01 16502 29408 0 0
