# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30849 30849 10400 30849
-1.078853351220732337e+00 -2.150673917188783889e+04 8.063475138956455179e-02 29557 30960 12876 40329
-2.209551476169430373e+00 -1.013984733387419328e+04 1.495583477779347803e-01 28146 30905 10700 42823
-3.564422627999840110e+00 -5.670990767221673195e+03 7.644565662581506160e-01 27105 31081 9840 40919
-4.952262176955470885e+00 -3.027988195027693564e+03 2.224198958794751102e-01 26166 31162 12551 40204
-6.103503571503442693e+00 -1.660618813316589240e+03 6.939416833451271804e-01 25730 31192 12120 42629
-7.341088438567809682e+00 -7.235124627680801268e+02 7.249371511361705211e-01 24703 30730 19678 41875
-8.111639346488061619e+00 -3.652744580938738181e+02 1.178149332298288471e-01 24202 30629 26787 48879
-8.733245615905071091e+00 -1.446104415582515799e+02 2.721979944570811494e-01 23816 30525 15821 55621
-9.974812764692837064e+00 1.504223430422388503e+02 2.210034066449218237e-01 23328 30561 16790 45390
-1.096967784321990358e+01 2.763277483605580755e+02 9.094984724206978122e-01 22667 30606 25363 46206
-1.159084604877749491e+01 3.143978443442738921e+02 1.459321256373031783e-01 22192 30594 17253 54302
-1.272877211224991179e+01 3.515076845344648859e+02 8.359473404118972217e-01 21371 30494 13519 46711
-1.395161364095080181e+01 3.682965548810641963e+02 8.233080472605123212e-01 20794 30518 14218 43259
-1.505621733751922697e+01 3.737011057441878847e+02 8.470203731210800280e-01 20426 30722 14162 44202
-1.618457898137052453e+01 3.763846205859955489e+02 3.599153686546570641e-01 19510 30246 11198 43708
-1.751739144392050918e+01 3.777258503164803756e+02 9.376187209349780005e-01 19094 30082 16286 40556
-1.843585556424630667e+01 3.782171218235251899e+02 6.395763158651939229e-01 18709 30187 22281 45378
-1.916361915092425150e+01 3.784684027830197692e+02 2.383108253674466326e-01 18357 30291 31505 51068
-1.967045021906004720e+01 3.785855722294855354e+02 5.554680976885438826e-01 18008 30272 25429 60003
-2.053558132124859981e+01 3.787288765370906845e+02 6.797571882731993087e-01 17677 30386 16001 54813
-2.175276535796831467e+01 3.788834174627821767e+02 7.950679517370637939e-01 17644 30725 7364 46763
-2.352002210265023407e+01 3.790170297273477900e+02 9.547136244514575765e-02 17723 31107 7297 37827
-2.509794891413386608e+01 3.790893777684260613e+02 3.496429909713434370e-01 17770 31141 13000 37810
-2.616018831270014644e+01 3.791177409687721820e+02 4.872847892292243160e-02 17247 31249 15983 43607
-2.716363029907238413e+01 3.791358505056885519e+02 1.106653949498017653e-01 17204 31566 19473 46913
-2.805010367947250671e+01 3.791482548666266439e+02 9.221744693989326891e-02 16996 31700 26642 50522
-2.870799438013214910e+01 3.791554803619797553e+02 9.181217539831436625e-01 17211 31866 37713 57879
-2.915915701651548630e+01 3.791591283127595489e+02 7.314224001294202804e-01 17078 31948 15728 69028
-3.061166371258635621e+01 3.791704545097516075e+02 4.747527364353578694e-01 16930 32179 0 0
