# level_assignment log_likelihood tiebreaker ID
0 -4.109914171441318840e+07 8.173102352296803819e-01 1
2 -4.163037385532352328e+07 5.677729968814265726e-01 1
0 -4.567051069150348753e+07 8.334358657206163423e-01 0
1 -4.294054429258832335e+07 4.851377574034504425e-01 1
2 -4.130850345786314458e+07 5.104876146104571077e-01 0
4 -4.036948938615404069e+07 5.701216225900035406e-01 4
1 -4.260268207718662918e+07 8.208833232919127143e-01 0
0 -4.370331638871525228e+07 1.871331438043129236e-01 3
5 -4.031465756538395584e+07 3.433147031331617027e-01 3
0 -4.424381161037658155e+07 6.124751672400350344e-01 0
6 -4.013383695686770231e+07 7.000700622370333859e-01 4
1 -4.185813226146932691e+07 4.666992901088901080e-01 4
1 -4.208950195975852758e+07 8.734801087082108006e-01 3
8 -3.995065649546105415e+07 8.138230833386954632e-01 2
7 -3.997136714309789985e+07 1.604777439584860188e-01 2
3 -4.057603264272430539e+07 8.669734078181098313e-01 3
9 -3.984589359972026199e+07 6.852164541802476805e-01 3
3 -4.092804776347941160e+07 6.042122192867387387e-01 3
5 -4.026405372542125732e+07 6.493496595852277231e-01 1
9 -3.982993437991305441e+07 4.390980941125716686e-01 1
7 -3.972784784071765840e+07 9.788288343323947593e-01 2
1 -4.254592647928830981e+07 6.342419549094042708e-01 3
11 -3.969782704226808995e+07 6.366603906506878019e-01 2
2 -4.065837076432166249e+07 6.495615616847353335e-01 1
0 -4.231460389518852532e+07 6.272097403939053128e-01 0
1 -4.086599274813371897e+07 6.600975465562061162e-01 3
9 -3.984299174914306402e+07 3.612217552229637363e-01 1
13 -3.964030757049980015e+07 2.302339751539470569e-01 0
12 -3.968899510727836192e+07 3.288883804037183722e-01 2
13 -3.962724221896536648e+07 6.879726003529933465e-01 0
4 -4.034879914277552813e+07 9.854383172440434047e-01 2
4 -4.043337135869336873e+07 7.874177839281666369e-01 4
3 -4.068085201122274250e+07 7.962241319873799572e-01 0
6 -4.008120269184029847e+07 4.167099338613655668e-02 0
5 -4.019852358723364025e+07 6.441551611330541549e-01 1
15 -3.959502499037941545e+07 3.456932124812550633e-02 2
7 -3.999140957947187126e+07 2.575790810369060768e-01 4
15 -3.956332244527033716e+07 5.261980569216628822e-02 0
5 -4.014938594841933995e+07 7.205940137474026175e-01 3
16 -3.956320078087374568e+07 7.126101402928424200e-01 4
2 -4.055808492629794776e+07 9.510636266422887175e-01 0
0 -4.581055048035067320e+07 4.158034452146621707e-01 3
15 -3.954929726230735332e+07 1.668978968899596516e-01 4
4 -4.053058608116176724e+07 9.618999226689315396e-01 4
16 -3.957019650072056800e+07 3.830048844232436522e-01 3
2 -4.161442897504078597e+07 3.278420637347816413e-01 2
8 -3.991255888265383989e+07 8.829642303390070612e-01 2
15 -3.956584804601022601e+07 7.175564497447670664e-01 4
16 -3.956405565064812452e+07 5.791568516292523450e-01 0
15 -3.959302324171043187e+07 8.657814110620101200e-01 2
4 -3.994386180953086913e+07 8.172169741573946933e-01 3
17 -3.953853173576688766e+07 3.618389685601143824e-01 2
12 -3.967179328895496577e+07 5.669419753664168837e-01 3
17 -3.952001153772034496e+07 2.454127956343796768e-01 4
16 -3.956665563507374376e+07 6.381530702420853407e-01 1
18 -3.952712052388968319e+07 9.748167937212084411e-01 4
13 -3.963589368653505296e+07 6.092786441760522642e-01 3
13 -3.964059987007383257e+07 7.754019667001728067e-01 3
18 -3.952822548595353216e+07 8.266899777956235873e-01 3
17 -3.955043608614303917e+07 9.784896899801949210e-01 3
19 -3.951168971066323668e+07 6.151792842873092804e-01 2
16 -3.954805949692735821e+07 7.971783654507618166e-01 4
22 -3.946953406302298605e+07 4.739145968266637032e-01 4
13 -3.963037054619832337e+07 6.711030030667400892e-01 0
14 -3.961970537370425463e+07 6.810598932433578057e-01 4
15 -3.957483532856594771e+07 2.562435729715211163e-01 1
22 -3.945595211239298433e+07 5.510939604008967541e-01 1
11 -3.973926220125412941e+07 3.531446652445735523e-02 0
23 -3.946613281859851629e+07 4.840599775428008900e-01 2
12 -3.965422639682929963e+07 3.207557947170831536e-01 3
1 -4.135601031291504204e+07 5.919285501245471481e-01 3
15 -3.954265703933047503e+07 2.083482963060792059e-01 1
24 -3.944846460510902852e+07 6.481828155150808346e-01 2
24 -3.943216106877601892e+07 5.204345054385911551e-01 2
21 -3.947223098848797381e+07 6.873670493226615719e-01 1
24 -3.944289102037187666e+07 1.892136330023799218e-01 1
21 -3.948535725815545768e+07 2.289747476013013205e-01 3
25 -3.944872889078243822e+07 9.592123003748411758e-01 0
13 -3.958629130846037716e+07 5.992930891018621864e-02 1
23 -3.946438361460161954e+07 7.817812984981589164e-01 3
27 -3.942475863828760386e+07 2.968781926048507103e-01 3
26 -3.944119563591618836e+07 9.560882035304544280e-01 2
24 -3.943622797625522316e+07 7.038180021991046198e-01 1
26 -3.944535527956216037e+07 5.470185196144301543e-01 4
28 -3.942359066874844581e+07 9.218396434627238456e-01 4
14 -3.960804698538246751e+07 2.702280326496812046e-01 0
16 -3.954312169028797746e+07 4.329511574408830277e-01 0
27 -3.943180640301525593e+07 6.232631884349493223e-01 1
29 -3.941943565215580165e+07 7.518186692888022549e-01 1
27 -3.942907071679960936e+07 3.624162292769946003e-02 1
27 -3.943719892450556904e+07 2.574547484818811016e-01 1
26 -3.943829804350285232e+07 9.491927647158888703e-01 3
27 -3.943428422503735870e+07 9.529000643876642807e-01 4
26 -3.943695692250296474e+07 3.795864748119944648e-02 0
23 -3.946703960960339755e+07 2.692464095204684105e-01 2
27 -3.943286902984425426e+07 9.983942238104275280e-01 0
20 -3.947525336385401338e+07 7.814419519413922099e-01 0
26 -3.944348219937643409e+07 5.306433333322519985e-01 4
20 -3.949890441684559733e+07 5.761358547151161913e-01 3
23 -3.946861651015596837e+07 6.448541715029589838e-01 2
28 -3.943042072710263729e+07 7.614491724166738695e-01 0
22 -3.947987071710211784e+07 8.905260968479136174e-01 4
25 -3.944859147321253270e+07 5.063279984560701275e-01 3
19 -3.947297909016575664e+07 7.878118786817360775e-01 3
28 -3.943178440173847228e+07 4.720322379269026869e-01 1
21 -3.948734070904975384e+07 3.327102648574833399e-01 2
0 -4.918310156865283847e+07 4.380788292099767056e-01 4
13 -3.963603431366905570e+07 2.888396462304321233e-03 0
26 -3.944047057924402505e+07 5.301938853164818166e-01 1
19 -3.951071503625570983e+07 1.368282538007151994e-01 2
29 -3.942466613205600530e+07 4.521814204664655890e-01 2
14 -3.959076306075780839e+07 5.972478431719068226e-01 4
2 -4.146530002052888274e+07 5.383409265169456503e-01 3
29 -3.942471156645689905e+07 1.823468684141396068e-01 1
4 -4.021120811421599984e+07 1.673316752367522420e-01 4
16 -3.956238772600390762e+07 6.803099011505808758e-01 0
15 -3.959289644293028861e+07 3.509545695378096242e-01 3
4 -4.038228555034050345e+07 9.712265483225515084e-01 1
4 -4.046295232313786447e+07 4.301455963056355358e-02 1
20 -3.950258017273614556e+07 9.564549424673538525e-01 0
3 -4.032914635817763209e+07 5.507541987990443033e-01 1
25 -3.944646148026019335e+07 7.820424526602547388e-01 0
21 -3.947672625865010172e+07 4.436332901775900117e-01 2
27 -3.942118223736393452e+07 7.596567557628096656e-01 4
14 -3.960887907617035508e+07 5.747704736587255780e-02 3
3 -4.054398664093374461e+07 2.780238676149995314e-01 3
16 -3.952736785422802716e+07 2.084739644597828345e-01 4
10 -3.962654553724783659e+07 3.889615641802516288e-01 2
12 -3.966713058542743325e+07 8.044818477489013020e-01 1
