# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33874 33874 11067 33874
-1.107979264952922538e+00 -1.861941784651529451e+04 1.959484170509790957e-01 31434 33913 10888 43975
-2.471870393081628592e+00 -7.651369905287197071e+03 9.843703950637492373e-01 29101 33954 18696 44064
-3.338145853656495632e+00 -4.895180712322960972e+03 4.829975789691888233e-01 27957 33883 20210 51455
-4.276351614629395392e+00 -2.791182407807201344e+03 7.648384068276580239e-01 27089 33994 15607 53168
-5.487973291024665023e+00 -1.058553216513268353e+03 1.442927194808946434e-01 25847 33760 16363 48559
-6.570138290239531997e+00 -1.802608206219031501e+02 2.940121236411776251e-01 25208 33913 16103 49110
-7.677846296803060966e+00 3.470042008943373730e+02 9.359408827240600637e-01 24483 33930 15799 49017
-8.801537021759878954e+00 6.093580718349741119e+02 5.057177583938714527e-01 23491 33676 14207 48474
-1.001332329191429515e+01 7.196826267378345392e+02 7.434964796071247273e-01 22754 33877 19088 47155
-1.092345051496244501e+01 7.512434371055776410e+02 8.531856275741134255e-01 22145 33825 12023 51852
-1.235186474649300692e+01 7.689956037421770816e+02 2.403402191307922320e-01 21097 33668 12030 45020
-1.364714607129034185e+01 7.751249674152829812e+02 5.041018963771405348e-01 20340 33851 18046 44982
-1.456595144897626781e+01 7.773192109443083382e+02 1.923185055956886380e-01 19782 33715 23158 50759
-1.536212163285550147e+01 7.785132626751434373e+02 2.473717795976426714e-02 18976 33313 33086 54833
-1.588881421014137274e+01 7.790586648597638941e+02 3.521055175825629213e-01 18902 33086 24417 63972
-1.685368485731458321e+01 7.798909407738485697e+02 8.794358197333305149e-01 17740 32104 10306 55152
-1.847985884392460676e+01 7.806472071678083466e+02 3.828223540900985711e-01 16847 31237 11090 41036
-1.976274841625054179e+01 7.809096184338851572e+02 7.548522522342189234e-01 15924 30952 14291 41724
-2.082899129594945364e+01 7.810247999524760871e+02 6.251689139718567823e-02 15482 30812 9365 44059
-2.232976932875026677e+01 7.811156401604603161e+02 1.100731754893418124e-01 14420 30432 14020 39249
-2.335698524632045192e+01 7.811477771483682773e+02 8.222688455453239786e-01 13646 30281 12257 43644
-2.460623301901277316e+01 7.811723230609200073e+02 7.570437856628693396e-01 12909 29747 10687 41381
-2.593034035262130388e+01 7.811878793991502334e+02 1.490614210987466492e-01 11835 29274 15313 39291
-2.687681890718137367e+01 7.811964183902048262e+02 7.956080007665018439e-01 11870 29278 27125 43950
-2.738690066631150444e+01 7.812008762129927391e+02 2.339850867728918149e-01 11664 29307 41839 55799
-2.770252478842711241e+01 7.812033620387036308e+02 5.047299631780948204e-01 11466 29285 55166 70476
-2.797047231681648682e+01 7.812051566334375821e+02 1.802372054769111331e-01 11336 29305 65530 83807
-2.823592052974834843e+01 7.812069946737119608e+02 3.218636369082138460e-01 11433 29391 76059 94300
-2.846869565717722850e+01 7.812084701435376246e+02 3.731389869176903601e-02 11273 29405 0 0
