# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30281 30281 10146 30281
-1.084222866833132404e+00 -1.268321780922139624e+04 2.266973670003018526e-01 26197 30320 15166 39308
-2.040063764246046407e+00 -2.544602406628465360e+03 9.192857299733689924e-01 23644 30230 17933 44218
-2.948772778614398682e+00 -6.644703675714725932e+02 1.580716653415787931e-01 21982 30186 20395 46811
-3.789497769666969607e+00 1.370933443204057198e+02 4.129225045642987424e-01 20549 30206 19168 49406
-4.739446975985954325e+00 5.345304240732757535e+02 8.556211968274759494e-01 19094 30059 15712 48129
-5.851115123854919275e+00 6.947148004866842257e+02 6.590702284688049195e-01 17532 30091 14218 44889
-6.990229824224753585e+00 7.482581737459984197e+02 1.475730646990314199e-02 16128 30132 16313 43408
-7.970344435052780341e+00 7.655228882370574865e+02 1.118549752364615957e-01 14846 30158 18347 45419
-8.882637753960741733e+00 7.723496232575287195e+02 2.708972495145680615e-01 14007 30147 21337 47267
-9.689678415986517024e+00 7.759281159645810249e+02 1.975863945900400154e-01 13299 30006 19095 49980
-1.065408462470813333e+01 7.780268041881060981e+02 6.703741020699729436e-01 12462 29951 21132 47920
-1.148314384015516865e+01 7.789233652460823123e+02 1.247166599108096713e-01 11944 30023 13898 49705
-1.273879895526153661e+01 7.795452237646487674e+02 1.384405682277711769e-01 11213 29873 14323 42594
-1.382217033444653609e+01 7.797587470481544187e+02 3.281357355283347488e-01 10599 29903 14183 43230
-1.492842721143541240e+01 7.798582848837747861e+02 2.965971701960538054e-01 9946 29449 21577 42458
-1.562463761491332903e+01 7.798901723537856014e+02 9.624118683592080004e-01 9766 29328 12916 49344
-1.694086406153123647e+01 7.799264654698524737e+02 6.369588311824034843e-01 9227 29598 5200 41588
-1.889141864295189066e+01 7.799433819829130243e+02 6.746300815571220078e-01 8510 29800 12911 34624
-1.987901150045061627e+01 7.799460638762893723e+02 8.450640398289412936e-01 8035 29960 11848 41488
-2.111205260868529265e+01 7.799477147656061788e+02 3.721908309868406373e-01 7710 30171 15455 40966
-2.208864653631795960e+01 7.799484079455743313e+02 1.358585478260212753e-01 7573 30117 11721 44271
-2.339196027040172865e+01 7.799488988427016238e+02 8.017122195808729090e-01 7127 30232 15005 41103
-2.439910606538919424e+01 7.799490552923255109e+02 2.135267063745012461e-01 6902 30270 12790 43948
-2.561587999191316811e+01 7.799491595393844818e+02 1.511891960311388117e-01 6463 30206 10000 42063
-2.701490425223933656e+01 7.799492016753287089e+02 1.439319708554318566e-01 6155 30293 7924 39543
-2.856234960291930491e+01 7.799492252714637743e+02 4.660263251421801201e-01 5961 30546 15731 38205
-2.945786063722810155e+01 7.799492377180581570e+02 4.160477832206890270e-01 5954 30542 13993 45634
-3.062709699472684122e+01 7.799492481084860174e+02 8.419959660320865957e-01 5559 30416 22356 43765
-3.131787160930593217e+01 7.799492519219616042e+02 8.761162590353819279e-01 5372 30287 0 0
