# level_assignment log_likelihood tiebreaker ID
0 -3.024697689409003942e+04 1.440075494667957812e-01 0
2 -2.219629945882420543e+03 1.298110117313013012e-01 1
0 -6.169155036669938272e+04 3.135992534874656457e-01 2
3 1.580876710126474336e+02 2.757679717622050219e-01 2
2 -2.057959929887995713e+03 7.549589130065352816e-01 2
3 -3.366882774394460398e+01 6.268080711550370054e-01 4
0 -1.673985877253240324e+04 6.214332178984391941e-01 2
4 6.571703976403367733e+02 8.353726156741376752e-01 2
1 -6.354813268184532717e+03 2.473499146723181497e-01 0
5 6.901877467200796445e+02 9.305297326436825500e-01 2
4 5.574331208516674678e+02 6.181239653874135431e-01 2
7 7.659048313703509621e+02 8.292632722877385509e-02 2
2 4.711182870331733739e+02 9.605592151623818520e-01 1
5 5.881995035755769550e+02 8.684343242718398637e-01 4
2 -9.587492220559071257e+02 4.965434590498256640e-01 0
5 6.831853524679411294e+02 7.051476326406693751e-01 2
2 -9.912851925116520988e+02 3.687278595308107199e-01 1
0 -2.578824157001663116e+04 9.599199115796479553e-01 0
8 7.711375238482108898e+02 9.186414685179947193e-02 3
7 7.601484203923258747e+02 7.680161661904028048e-02 4
3 -2.331591114784362162e+02 9.902817745363311497e-01 2
0 -1.742417643876098373e+04 7.933791243202181764e-01 0
3 4.247570547148242781e+02 5.430915669940397095e-01 0
0 -3.965870183433302009e+04 4.848576187878794741e-02 1
7 7.791762197754524095e+02 1.555749194326185858e-01 2
4 4.103752319635808021e+02 9.522922993981420836e-01 3
4 4.926495113865420308e+02 7.041295065495265515e-01 1
11 7.786569641953283281e+02 3.190031265951558392e-01 0
7 7.572187406018836100e+02 2.101998425561417694e-01 4
11 7.786823345626755781e+02 3.146029474989511243e-01 2
12 7.790767216844718632e+02 8.665035139933285890e-01 2
8 7.715966180334771707e+02 5.906025773455465533e-01 3
9 7.746737276306472495e+02 4.532802315175781666e-02 0
2 3.158769973605923269e+02 3.026272113708461386e-01 1
14 7.799082969826515637e+02 5.836717729690352741e-01 2
12 7.789849854424372779e+02 3.557010672301275100e-01 3
6 7.395415594851465357e+02 5.795151915521030705e-01 1
12 7.797104087810805595e+02 8.872893640408641147e-01 4
9 7.786906203488060783e+02 5.865903778601122553e-01 3
11 7.790244380833955802e+02 6.878224526352102464e-01 4
10 7.784886595113725889e+02 2.159088934275607274e-01 0
5 5.823744705380547657e+02 5.791398814747035217e-01 4
14 7.798839484961049493e+02 8.054414612345572877e-01 2
7 7.521812445415204138e+02 6.615554079380090435e-01 3
16 7.798911754699433914e+02 4.036828498630535833e-01 0
16 7.799246290127209704e+02 7.659310645844461529e-01 0
16 7.799130283659746965e+02 5.486327238803476725e-01 0
