# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31122 31122 6896 31122
-1.447860159860795415e+00 -2.190737838448068214e+04 7.153061706747197990e-01 30015 30956 15017 37039
-2.357961607963933393e+00 -1.686901073659383110e+04 8.077308102233441423e-01 29433 31074 18216 44816
-3.264502059154716918e+00 -1.376888597522362579e+04 6.011554486181062140e-01 29004 31167 14682 48119
-4.438953561211961940e+00 -1.103521448168479765e+04 8.053196003573103168e-01 28348 31175 7879 44934
-6.110246219316911365e+00 -8.285020423795673196e+03 1.948772206982977151e-01 27863 31257 7076 38502
-7.730976191222963756e+00 -6.221605191309627116e+03 7.616286201477974194e-01 27311 31434 10027 38100
-9.035876666291436266e+00 -5.011596555881726090e+03 7.748977897066227083e-01 26920 31539 17802 40769
-9.875889332111826846e+00 -4.384587680410600115e+03 3.094653478323815543e-01 26848 31635 14888 47765
-1.103049678613579232e+01 -3.633107794120908238e+03 3.426914723771119498e-01 26699 31771 22931 45730
-1.173813797838004547e+01 -3.246526858292349971e+03 3.836128429516802441e-01 26447 31716 18496 52966
-1.278722558319344849e+01 -2.657137579557071604e+03 5.609119179756277829e-01 26127 31639 18817 49064
-1.374806251381845712e+01 -2.214263292336378072e+03 6.575445187331800945e-01 25960 31517 21933 49387
-1.457013897319689022e+01 -1.893834371492504033e+03 3.072749385148415557e-02 25531 31370 20227 51802
-1.551388289886824801e+01 -1.588937792504649224e+03 2.682018113280633664e-01 25251 31374 27137 50181
-1.614775555782351546e+01 -1.430655299166472787e+03 4.336066896828157935e-01 25097 31113 11215 56568
-1.772165029285847027e+01 -1.038701589034721565e+03 3.238151698654037070e-01 24193 30754 15509 41465
-1.870624460133689837e+01 -8.565246273788072813e+02 4.339513554993788824e-02 23957 30737 17167 45297
-1.967841080994806191e+01 -7.217417430606030848e+02 2.139315825208654154e-01 23862 30722 19257 47743
-2.059184564964953168e+01 -6.256597428622517327e+02 7.768868455032673648e-01 23555 30551 16583 48971
-2.166947042612934737e+01 -5.355463005400770271e+02 6.039908916039617992e-01 23431 30660 26515 46641
-2.225689929252320809e+01 -4.981590574728204501e+02 6.258825624940262955e-01 23012 30650 28690 56519
-2.294961980206913665e+01 -4.697645997391306310e+02 5.352314815557024374e-01 23068 30611 34011 58658
-2.351353289029544769e+01 -4.490495589980116051e+02 9.593293283717867492e-01 22772 30657 34699 64041
-2.414156599351184340e+01 -4.331218269431492445e+02 5.084251906866523729e-01 22668 30757 35759 64821
-2.475200972894245410e+01 -4.215897302655651515e+02 1.745668889306599414e-01 22555 30853 36748 65974
-2.535283780743853299e+01 -4.132288658957630219e+02 5.140511549097708244e-01 22442 30974 38382 67079
-2.592732479225024989e+01 -4.064822537345548881e+02 9.348380454178322196e-01 22387 31060 44591 68808
-2.638028980655112221e+01 -4.018841710792089543e+02 2.445354702570910477e-01 22242 31146 37905 75099
-2.707502947375012781e+01 -3.961713261024326584e+02 7.071736770512568881e-01 22510 31266 0 0
