# level_assignment log_likelihood tiebreaker ID
0 -3.520093168818383789e+11 3.798980599434820249e-02 2
1 -1.263114740200506449e+09 2.337729539062640208e-02 3
1 -1.111597765503781319e+10 4.616774076276997096e-01 0
2 -1.815884487376139832e+10 9.836883348255800463e-01 0
0 -7.631933613464814453e+11 1.197379741168241168e-01 0
1 -6.168623499830830383e+10 2.231852997494971347e-01 2
2 -2.104942645088606644e+10 8.931267908721574056e-01 0
5 -9.988763066488486528e+08 6.421322368094168898e-01 3
3 -7.990681229791655540e+08 4.309134949063779807e-01 1
2 -1.643079846891983223e+10 9.003795145599162719e-01 2
2 -1.949227727807884979e+10 8.643479472162165500e-01 3
3 -1.000772529011191010e+09 2.943113895251490142e-01 4
7 -4.449968975497788936e+07 5.346659963126934034e-01 0
6 -1.325669588586186469e+08 6.835422622285138861e-01 0
8 -5.204096970921360701e+07 8.507092297029197336e-01 3
8 -7.874639815762189031e+07 2.964881557186019312e-01 1
8 -6.939569624057553709e+06 8.984260797938283805e-01 1
9 -3.096608572995624319e+07 4.371472860900071367e-01 3
4 -5.308195193231368661e+08 1.694116762449784375e-01 2
8 -5.108018771278657019e+07 6.639417345411259275e-01 4
9 -3.008467890905896947e+07 8.911919378274202330e-02 0
9 -2.808543751388291642e+07 8.819310149648740271e-01 1
6 -2.448475863892881274e+08 6.774052321955537082e-01 0
7 -1.336185291484870762e+08 1.474232560944036263e-01 0
7 -1.228102643092364520e+08 5.280806922552047089e-01 1
10 -1.028557573732006922e+07 6.915372936976322826e-01 1
9 -2.846419227211504802e+07 1.872711425688521752e-02 4
7 -1.676826199133686721e+08 5.868230525013218291e-02 4
12 -2.615909224795902555e+05 1.688149332097206856e-01 4
11 3.715116063284596312e+05 9.484473853811904442e-01 1
13 4.300490478785842657e+06 5.157195424098933723e-01 4
0 -3.185539588396912231e+11 7.205382576091912128e-01 2
14 5.494839132163496688e+06 4.189081971387373926e-01 4
15 5.427307900123620406e+06 5.436053919584211691e-01 1
0 -2.777717759660988770e+11 3.010980358810013691e-01 2
11 -3.193071660565549508e+06 8.757820098095278061e-01 0
15 5.698345978689058684e+06 2.472317768974496011e-01 3
14 5.104173189974323846e+06 1.662364417451921428e-01 0
14 4.558080115562344901e+06 8.891731623144940588e-01 1
15 5.358697336360331625e+06 5.541116630231881501e-01 3
11 4.843191021610386088e+05 5.622580129975764951e-01 0
6 -2.199173033251911104e+08 6.539152172165820787e-01 2
12 4.113514715386661701e+05 8.032176709187360819e-01 3
11 3.961318034172139131e+06 4.586811001906815344e-01 2
16 5.702881770165522583e+06 8.171805231401864100e-01 4
14 5.446652685510111041e+06 2.760652015723888408e-01 1
6 -3.384601981106979847e+08 4.179317450913765941e-01 0
10 3.502294410606530029e+06 3.923068037318630519e-01 0
11 3.789299047170250677e+06 4.297660901885507201e-01 3
18 5.742732175803789869e+06 9.336837824704415090e-02 4
12 3.862455260279836133e+06 5.767739660105237337e-02 0
17 5.723898431956533343e+06 5.780920911046463218e-01 1
16 5.678278739782729186e+06 4.931720419791291166e-01 0
16 5.672664225264315493e+06 7.816119982373496630e-03 3
19 5.751715362804274075e+06 7.531713716014031279e-01 4
15 5.402931113250973634e+06 4.045208209926595133e-01 2
14 5.537380750967621803e+06 5.443993663050350484e-02 2
20 5.748484471221187152e+06 2.106446614397037842e-01 0
18 5.750543507566733286e+06 6.574060801282456401e-01 2
23 5.753195995652573183e+06 3.299576462513053032e-01 4
20 5.752346253371072002e+06 7.851694970787133077e-01 1
18 5.742776489832322113e+06 3.530702894971974315e-01 2
20 5.750264938273197040e+06 2.601289270907081175e-02 1
15 5.400309799853842705e+06 2.452489302464331555e-01 0
21 5.751678626567279920e+06 3.378327313165385704e-01 3
12 5.267079164283103310e+06 9.113331701939983986e-01 0
14 4.581428785743771121e+06 2.426838688435526137e-01 0
22 5.753690598141877912e+06 1.096251319924732570e-01 3
21 5.752412084042764269e+06 3.101188283778176791e-01 1
17 5.712102279850317165e+06 2.548617898531578274e-01 0
24 5.753440819756529294e+06 2.175739011137270973e-01 1
23 5.753284450252159499e+06 2.002810914926946850e-01 1
24 5.753546462956062518e+06 1.483031256026344502e-01 2
25 5.753786288130622357e+06 8.481003576689616352e-01 4
26 5.753805373976395465e+06 9.250452855018203024e-01 3
13 4.324742910784384236e+06 2.255032106337963582e-01 0
27 5.753795547269213945e+06 1.128818451413549084e-03 3
24 5.753547485720996745e+06 2.111205390083295275e-01 3
23 5.753224498219933361e+06 3.323777540790334717e-02 2
28 5.753805461925921962e+06 4.213981115005201450e-01 1
18 5.721372846149089746e+06 6.801868230163030660e-01 2
29 5.753808231729485095e+06 5.346664599049982813e-01 4
29 5.753808308481174521e+06 8.039684581697237320e-01 1
29 5.753810583274361677e+06 3.778488408818165278e-01 3
25 5.753806610960683785e+06 1.058616953294041624e-01 4
28 5.753809663284799084e+06 8.668698776355481250e-01 1
8 -8.178464566996307671e+07 3.567143746290805661e-01 2
8 -4.678877125758045912e+07 3.215639122338111999e-01 2
11 -2.746225188592503313e+06 8.856632998281653846e-01 2
26 5.753776940412112512e+06 9.268619688726484895e-01 1
28 5.753806247510692105e+06 9.958487149235573099e-02 3
26 5.753776554563638754e+06 2.719431023266963288e-02 4
16 5.590414669102908112e+06 1.740428064642954298e-01 2
11 -1.904111159730483545e+06 2.957856674878223124e-01 0
18 5.726607023272856139e+06 9.821615258402069393e-02 2
23 5.753722769582747482e+06 1.710423038680566332e-01 3
28 5.753806295550829731e+06 8.463825593800955449e-01 4
27 5.753801053082577884e+06 3.195299791397190337e-01 4
17 5.707496014686261304e+06 9.336457257234872520e-01 2
17 5.706404827867534012e+06 2.156537345925285953e-01 0
13 5.033660136009181850e+06 3.932295860022582690e-01 0
20 5.752595939581952058e+06 8.193759052406017762e-01 3
16 5.674189951647787355e+06 4.513221595978254008e-01 2
26 5.753791553316421807e+06 4.047596718768780022e-01 4
25 5.753744933674935251e+06 1.287834931412268347e-01 4
1 -7.411201793906822205e+10 9.280493367638784630e-01 0
19 5.744012952528190799e+06 9.441042117929203670e-01 1
28 5.753805450729764067e+06 8.192489327108452013e-01 4
20 5.752337243268693797e+06 6.862080635627876291e-01 1
1 -7.775260120733432007e+10 4.648508641487767434e-01 2
8 -3.004550854059587792e+07 5.093728136729679390e-01 0
12 -9.610530265200306894e+05 2.069679639258121817e-01 0
19 5.747513163593559526e+06 1.778007415843232408e-01 3
12 -1.161661148530011065e+06 2.183212969928894076e-01 0
27 5.753810289171457291e+06 1.287889265252744053e-01 1
12 -7.405788161124994513e+05 3.229354805752943092e-01 0
16 5.686057168016370386e+06 4.379857079616904514e-01 3
20 5.749789911075693555e+06 3.635502312862407548e-01 3
11 -3.655652789467402617e+05 8.002012993488145653e-01 4
26 5.753810023937464692e+06 3.174229719782321602e-01 1
5 -5.355271715978384614e+08 2.870399254534095057e-01 0
7 -8.200448761645156145e+07 8.769169388746549387e-01 0
17 5.741558734114867635e+06 5.031963285358355131e-01 3
28 5.753810009505625814e+06 4.159176362628537182e-01 1
20 5.748599501702742651e+06 4.351681664849937903e-01 3
24 5.753750486378879286e+06 7.184503198989604378e-02 1
8 -5.966436531167241186e+07 4.159613553640862382e-01 2
3 -2.116855992205767155e+09 2.961453325915424650e-01 4
9 -1.461794045824461989e+07 5.871200432716783268e-01 0
3 -4.560254481404973030e+09 3.963626124231477976e-01 4
19 5.752567977504425682e+06 4.222637031650966488e-01 3
5 -3.276789742790513635e+08 1.217612075381526437e-01 4
8 -6.357592360739462078e+07 9.065065781181608218e-02 0
10 5.516071399056044407e+06 5.004332361869521240e-01 2
13 5.287179774144999683e+06 7.782410881298539307e-01 3
13 4.905384703192284331e+06 8.805039280451973926e-01 0
5 -4.966118062999005318e+08 3.282452163524340882e-02 1
0 -5.660120593096290588e+10 6.548926515555919536e-02 4
26 5.753776183102021925e+06 9.208123448271834377e-01 3
24 5.753681706570875831e+06 9.541675833211125113e-01 3
20 5.753677727982265875e+06 9.748397401461399436e-01 3
1 -1.233520961859892464e+10 1.677259327284867374e-01 0
3 -4.911025422606250763e+09 2.622515150834079933e-01 1
14 5.247391706025058404e+06 1.033816756940361958e-01 4
20 5.752530623082150705e+06 1.631129417314356456e-01 3
1 -1.672440518407802391e+10 7.657235677742474378e-01 1
7 -1.626666876101234257e+08 7.336716253571662349e-01 0
16 5.609431062007766217e+06 6.838095097187365523e-01 1
24 5.753595110151237808e+06 4.217688539325923913e-01 4
11 5.470992575482191751e+05 5.515237904599055163e-01 0
24 5.753633897221027873e+06 3.234780815480036154e-01 4
26 5.753771659466859885e+06 6.828094508978849175e-01 4
29 5.753808571898941882e+06 4.746307538067788823e-01 2
27 5.753797850023139268e+06 1.831828354785094704e-01 2
12 6.017331246004820568e+05 6.440973470455311212e-01 1
28 5.753810224256183952e+06 7.136934468177420499e-01 2
17 5.743546702507379465e+06 8.690267257432668924e-01 4
29 5.753808127493796870e+06 1.987069809379385932e-01 3
7 -3.526325188511131704e+07 3.768262339756718315e-01 1
5 -3.183512076267267466e+08 9.723975300862264248e-01 1
25 5.753763416753012687e+06 7.807611247966356194e-01 2
14 5.369688118255507201e+06 3.257742405361294669e-01 4
23 5.753785895062250085e+06 9.744386068038910498e-01 3
27 5.753802830815542489e+06 9.691557204631444655e-01 3
22 5.753352693963780068e+06 1.350667198252019641e-01 2
11 1.614379389019783819e+06 4.652423845514933598e-01 0
15 5.646168476826581173e+06 3.766878386429372005e-01 2
14 5.148552663716498762e+06 9.003547486738489036e-01 2
17 5.735011969101977535e+06 4.942473033317137943e-01 0
10 2.605405525535453111e+06 4.895122778439464639e-02 3
2 -1.159971082037658310e+10 3.295328182640933079e-02 4
1 -1.962147955646438217e+10 5.908970507175431708e-01 4
7 -5.268901428617453575e+07 5.436310328576209328e-01 0
15 5.537304374866621569e+06 9.955048169117464152e-01 4
15 5.377922906222186051e+06 9.536872482227201075e-01 4
4 -2.429033959889994144e+09 7.232104484069580563e-02 2
4 -3.085977939067500591e+09 5.822716882374838754e-01 2
19 5.747280496899274178e+06 8.716976706997865421e-01 0
23 5.753171470291628502e+06 9.669087529723324748e-01 0
24 5.753544346661800519e+06 7.440884745255753607e-01 4
23 5.753165900712721981e+06 2.151940008643498103e-01 0
24 5.753437747963219881e+06 5.775078809967267857e-01 0
16 5.675536916853873990e+06 1.873051317647078662e-01 3
1 -3.364545029048015594e+10 6.254442971333746826e-01 2
18 5.722250059958319180e+06 9.506929328764580633e-01 3
4 -3.302834342707953975e+07 8.255524548697934506e-03 2
23 5.753756057433752343e+06 8.397652416501265316e-02 0
11 -2.632557502485666890e+06 8.765306298430232124e-01 2
19 5.744610890616383404e+06 6.060603702389251168e-01 0
18 5.731239716554832645e+06 2.788337465932374526e-01 3
23 5.753209069837161340e+06 9.351009292000244111e-01 3
20 5.751186142983322032e+06 8.258989808482133377e-01 4
22 5.753167748340031132e+06 3.628896357560786323e-01 0
27 5.753803243731861003e+06 4.228337419313855094e-01 3
26 5.753797318872828968e+06 8.958644177569768940e-01 3
20 5.750095581266015768e+06 8.631754383087600901e-01 2
25 5.753772031040569767e+06 6.527532957448901607e-01 2
18 5.751871829140229151e+06 5.726785002152390280e-01 0
25 5.753805136446394958e+06 4.528159444300949299e-01 2
27 5.753799988864333369e+06 7.320627001343764650e-01 3
3 -1.612915376953931808e+09 6.674401278125259296e-01 1
23 5.753777670720465481e+06 8.640738233107702060e-01 4
21 5.752920795902078971e+06 6.948919966006597004e-01 4
2 -9.118193899525489807e+09 8.051109805068488168e-01 1
17 5.735037234446888790e+06 8.062000176168770960e-01 4
14 5.613958777119033039e+06 4.369271348668805899e-02 0
14 4.812064209320121445e+06 7.127822697619481396e-01 4
8 -5.895426335105495155e+07 5.331801540257331551e-01 1
16 5.613605653962921351e+06 9.687715736198452277e-01 0
9 -1.799581362740162015e+07 5.969226916496194191e-01 0
18 5.722724014828769490e+06 4.437278744454493662e-01 2
9 -1.627951591777670756e+07 1.299298683722181214e-01 3
5 -5.136573995261297226e+08 6.788974644276168924e-01 4
