# level_assignment log_likelihood tiebreaker ID
0 -1.997047139998415150e+04 1.440075494667957812e-01 0
0 -2.761105398849475750e+04 5.416119836065957927e-01 3
2 -1.570894647027211977e+04 7.433707878767228383e-01 0
1 -3.408295884577126708e+04 1.789163472002181510e-01 4
0 -4.043724413705024199e+04 4.098663586423221261e-01 4
2 -1.632035505059491697e+04 6.237230786923033676e-01 0
0 -8.128470869655554998e+04 7.409336137335132966e-01 0
6 -5.746088680379337347e+03 5.838038373362621769e-01 3
2 -1.578228903395355337e+04 9.686962176443780770e-01 1
3 -7.954984422839082981e+03 2.361035616757423128e-01 2
4 -1.187111273276278007e+04 3.989262182916493149e-01 2
7 -4.839528417584768249e+03 7.419085273684626891e-01 0
8 -4.859433295832508520e+03 7.313376245625219374e-02 0
7 -4.168725975213366837e+03 7.207810357837078907e-01 0
4 -1.150229468850250669e+04 2.476537972417708067e-01 4
4 -1.161392977161363706e+04 1.666789646573709274e-02 1
2 -1.709002958668506471e+04 9.226505535098050714e-02 2
4 -1.127954151594557334e+04 8.405877921717892498e-01 2
6 -6.954294434256899876e+03 9.573833555453177269e-01 4
4 -1.133749648573517334e+04 8.624195442978539461e-01 0
8 -4.970767569656731212e+03 9.840743582336914930e-01 1
4 -9.771485497139736253e+03 9.253627532497802344e-01 2
2 -9.973891935084895522e+03 4.682545097632189179e-01 3
8 -5.441145048353247148e+03 1.769577629672892116e-01 4
1 -3.822454152732440707e+04 9.596224344031181186e-01 0
6 -7.339701993486112769e+03 7.395757860070442113e-01 4
3 -1.197787338884956625e+04 9.822762795253002777e-01 4
10 -3.749094192612425559e+03 5.560527448450089394e-02 1
0 -4.783105281640799512e+04 4.076159675249568792e-01 0
2 -1.651275255606823703e+04 8.523765641786266167e-01 0
8 -4.146701055233023908e+03 8.866816112155346818e-01 1
2 -1.603797867898444383e+04 7.116695023414498777e-01 2
1 -3.182350506332456644e+04 6.014937248205754622e-02 4
1 -3.644367166936294234e+04 2.811931379185144686e-01 2
3 -1.534029989289995137e+04 3.423694264173512414e-01 1
1 -1.917049855274323636e+04 4.804062352621369936e-01 4
1 -1.920459549679170232e+04 2.895223859072260097e-03 4
7 -5.752983576708709734e+03 5.420173339952736313e-01 3
9 -4.675672943224892151e+03 4.540604217614276905e-01 0
11 -2.803466426553844030e+03 7.999867445771746688e-01 0
7 -6.857938081996002438e+03 2.393739600912798138e-01 2
11 -2.833369983063805648e+03 5.037865591622073813e-01 0
5 -9.320945517376665521e+03 6.496412969190861197e-01 4
12 -1.902343341516567307e+03 9.340204096571332049e-02 0
7 -6.295180892500057780e+03 4.069696939672193259e-01 3
2 -1.916027351478334458e+04 1.966373794895168725e-01 2
6 -4.327896908464313128e+03 8.613479611391610113e-01 3
1 -1.283129380215128003e+04 6.676058047175398476e-03 4
11 -2.733483009854070588e+03 4.847726152592863325e-01 0
8 -4.792533523399029946e+03 3.180394179572361146e-01 2
1 -1.352180521028044859e+04 6.186421748794237452e-01 4
3 -1.141817325711156809e+04 2.710257537889335655e-01 1
12 -2.656678539990324225e+03 4.900570944072253354e-01 2
15 -1.765123455624375083e+03 7.490232509338810019e-01 2
14 -1.873758524252583356e+03 2.924728053843755338e-01 3
3 -1.175077378711782512e+04 1.849382238234529297e-01 4
16 -1.525900806833545630e+03 3.994883854944664137e-01 0
13 -2.244216476111198972e+03 8.276699367747545333e-01 2
9 -4.495844789142731315e+03 7.944552747888662392e-01 4
17 -1.179597767410480856e+03 4.624133305651482728e-01 0
15 -1.603787547981627313e+03 1.909769453459873034e-01 2
4 -1.053757506867463235e+04 6.360680559813420842e-01 1
17 -1.442280726545714970e+03 7.563721002698121643e-01 2
6 -6.908847243081203487e+03 3.582746449663525290e-01 1
13 -2.181131387064832779e+03 2.236259161209490642e-01 3
15 -1.673549968173999787e+03 5.610634133143093116e-01 0
17 -1.068998712552739562e+03 8.489991506238814267e-02 3
10 -3.809966525985300905e+03 1.681434159589123567e-01 4
13 -1.205357438191953634e+03 8.491533153973136461e-01 1
20 -7.857512957507829015e+02 7.402105313923738050e-01 0
9 -4.643064240193230944e+03 3.151374657973697313e-01 4
21 -6.655659269427626441e+02 3.919720720240373879e-01 0
20 -5.484564729852174878e+02 8.241697979217045278e-01 0
0 -1.274988699239905509e+04 5.803249777600494319e-01 4
16 -9.476311388443887154e+02 6.887310823902770274e-02 2
11 -2.647751867183882950e+03 8.532918782929301837e-01 1
11 -2.717682583132414948e+03 7.477001962878577768e-01 1
5 -9.883503834782133708e+03 5.467254733227605579e-01 4
22 -5.038991474579907504e+02 2.659908048102757050e-01 0
21 -6.176976583854001319e+02 9.490652404711141799e-03 0
9 -4.123757854372474867e+03 3.772428599585046505e-01 4
8 -4.663851718222268573e+03 8.750557504576583767e-02 4
8 -4.670526858632316362e+03 8.742981504247182567e-01 1
21 -6.318078900416213628e+02 2.894997874290008433e-01 0
19 -9.442005885483604288e+02 5.140777450591338393e-01 4
7 -5.022998339906390356e+03 5.217945931075549382e-01 2
22 -5.062947114518456715e+02 9.677947447817762949e-01 0
18 -9.956855330251963778e+02 9.183097822720052150e-01 0
21 -6.185125045570396196e+02 1.421801147100092422e-01 3
24 -4.138069072675437496e+02 7.883089511184844245e-01 3
21 -6.005900092461297390e+02 8.527501494524694081e-01 3
18 -1.147624291948667405e+03 4.458340424582722950e-01 4
10 -3.044639770519183003e+03 8.754892927487403220e-01 1
20 -6.981457622105226619e+02 4.816871439602682936e-01 3
10 -2.847287599775928356e+03 1.239564350163741419e-01 1
17 -1.160898947472770942e+03 7.860888455883525971e-02 0
12 -2.285608437037949443e+03 1.138834024245957977e-01 1
17 -1.276429004542249004e+03 6.060080464114558918e-01 3
21 -6.264910066000752522e+02 5.620771575465189906e-01 0
15 -9.254123019570156430e+02 7.241129568146540407e-01 4
11 -2.997129487750671615e+03 9.364168944108092196e-01 1
19 -9.367337662942445604e+02 8.436013623805465045e-01 4
15 -1.716407765533664588e+03 9.812892915116329107e-01 4
16 -1.585273270036675058e+03 8.217057457859162639e-01 4
15 -1.833253264271394073e+03 5.127388258979082014e-01 4
13 -2.139576037351231662e+03 7.393540115812869962e-01 3
26 -4.456817019784418790e+02 2.139187782797520310e-01 0
24 -4.414345857004204845e+02 9.093971310719006773e-01 0
26 -4.511451496077800130e+02 5.268046844647622517e-01 0
17 -1.278298884005320360e+03 5.016577523311980258e-01 1
9 -4.342916169953547069e+03 9.447616543072899775e-01 1
9 -4.760430559922744578e+03 1.012385318995336903e-01 2
28 -4.212142533130931383e+02 3.197246804997408987e-01 0
13 -1.738378297546623799e+03 3.176756411353252596e-01 3
13 -2.017991616355712495e+03 7.205347411140197167e-01 2
17 -1.032601165587979722e+03 2.701950964484778339e-01 3
16 -1.485302410784172025e+03 8.371664369003233297e-01 1
28 -4.144378549128227860e+02 5.077474602801922421e-01 4
2 -5.889663009066836821e+03 7.625231492793922428e-01 2
11 -2.673865382420784954e+03 9.251150746859337914e-01 2
24 -4.056500338523900382e+02 2.777900668982526966e-01 4
2 -1.306924515204124691e+04 1.237862454815161772e-01 2
29 -3.820179697691254432e+02 1.098153138917283833e-01 4
6 -7.189446167074769619e+03 3.662536590318536400e-01 2
5 -8.170129530342668659e+03 1.584562699063287172e-01 2
4 -8.903024065503779639e+03 8.114214635052121594e-01 3
28 -4.130695246270620373e+02 2.443328074472638778e-01 4
9 -4.083767459431715452e+03 9.087441592169778204e-01 2
7 -6.042492865095562593e+03 5.699857402919096261e-01 2
3 -1.038652284207231423e+04 7.466818420136263068e-01 1
28 -4.187495100887035164e+02 3.613627615644155605e-02 4
11 -2.604220748723183533e+03 5.750566453461766203e-01 2
4 -1.153606977757186723e+04 6.532737335413969504e-01 3
7 -5.027103727108134990e+03 9.057651289118516802e-01 1
18 -1.146234407719792671e+03 6.335103225053040354e-01 2
28 -4.059125073763077580e+02 7.864077813670489192e-01 0
29 -4.165565089137707560e+02 4.427506079276364859e-01 0
15 -1.355270579735660931e+03 1.410583531736282481e-01 2
25 -4.199041484614126603e+02 6.821655101263086607e-01 0
3 -1.411731516922542869e+04 9.205706860843390071e-01 3
26 -4.115840550424981075e+02 7.456428380263782074e-01 0
16 -1.587039850034286474e+03 1.689176688507217361e-01 1
0 -2.003129750295477279e+05 2.496772511524234517e-01 3
29 -4.164980414938388549e+02 3.070106235413756490e-01 4
18 -1.184612048821731150e+03 4.029902481438172313e-01 1
28 -4.216506674251845084e+02 6.239266802255253319e-01 4
24 -4.651469439387975058e+02 5.928593205182018655e-02 4
8 -5.253261803189171587e+03 3.908921908055571492e-01 3
9 -4.541010686323152186e+03 4.244926188293863256e-01 3
19 -8.659410225856258876e+02 4.148387587534283494e-01 1
25 -4.237807305210259301e+02 8.526721889300752366e-01 0
27 -4.265430535678347042e+02 5.284520029324162316e-01 0
11 -2.256150577822300875e+03 8.658824691027131593e-01 2
15 -1.748511711297588135e+03 6.238238882429631982e-01 2
21 -6.581684063549602115e+02 5.140189719502572530e-01 1
25 -4.608577418376640367e+02 5.193577466433829670e-01 4
13 -2.017617014964834198e+03 2.209193855161697140e-01 2
22 -4.681274387724777739e+02 8.756444606579345535e-01 0
28 -4.298078104624526077e+02 8.584322998279358963e-01 4
15 -1.830565804812956230e+03 7.443373581525961624e-01 2
29 -4.155088863375126493e+02 1.088588182616501143e-02 4
25 -4.573002716530264706e+02 7.265373602726798996e-01 0
3 -7.634770037275461618e+03 8.538665720333312725e-01 2
6 -7.651896151451919650e+03 6.729569955500211975e-01 2
28 -3.979503094970557413e+02 7.546483038979230340e-01 4
26 -4.117367385892144398e+02 3.786571683259613574e-01 4
5 -9.780600325554461961e+03 5.251290923095116581e-01 3
16 -9.871177992842149251e+02 4.702648798229051574e-01 1
1 -4.994686463054400519e+04 1.566538371048469686e-02 3
25 -4.610474267378688751e+02 9.219383105780911691e-01 0
11 -3.026503411235647945e+03 2.587094243442397690e-02 2
0 -1.339931551848186355e+05 2.484721479307725467e-01 3
22 -5.183121307909577808e+02 6.105445795634132367e-01 0
22 -5.076823280583072346e+02 3.514727645713305870e-01 0
22 -5.013847812596958988e+02 2.386664495723442025e-01 0
5 -9.795280591844562878e+03 9.829745750712710617e-01 3
13 -2.103262002058276266e+03 4.831841831268927079e-01 1
20 -7.307908990882683611e+02 3.747805029404818744e-01 2
3 -1.488223276621212426e+04 2.001817361934069006e-01 3
3 -1.565890329058520365e+04 3.172297674250134508e-02 3
6 -7.307346571630149811e+03 7.166511956231715885e-01 3
10 -3.797703328959496503e+03 2.416735853424497593e-01 1
11 -2.958629787460604348e+03 5.121591990210143663e-01 1
1 -3.125822382659548384e+04 7.026947119036224265e-01 3
16 -1.530034457141007806e+03 5.235354968661543040e-02 1
20 -8.109773235040809141e+02 7.954267327572921431e-01 2
25 -4.395202319089438561e+02 6.283813608448499677e-01 4
7 -6.615555329550663373e+03 1.701427138637219560e-01 3
7 -6.623699665934593213e+03 7.479688889429143839e-02 3
25 -4.407730662915153630e+02 9.727699422887789993e-01 0
22 -4.798617064917319794e+02 8.753049695002093067e-01 4
1 -2.011797256322868634e+04 9.567858827455543169e-01 3
3 -1.560378865523186869e+04 6.015936866412729955e-01 3
1 -1.379183686662180298e+04 9.751728726197003705e-02 3
25 -4.062996620685231619e+02 4.251887685392610194e-01 0
26 -4.516876627571035669e+02 3.424953778544835292e-01 4
25 -4.255477565962384574e+02 7.453950586544493273e-01 0
23 -4.319519716152892670e+02 7.119996752464287093e-01 4
4 -8.907550189556472105e+03 6.709915141503337566e-01 3
3 -1.206315287564788014e+04 3.929413418238365541e-01 2
26 -4.511815693854977098e+02 9.339479856334778063e-01 1
22 -4.811868419671936863e+02 5.842229415341233800e-02 4
21 -6.752431994193227638e+02 8.234781564848883129e-01 4
29 -4.102353130655250197e+02 4.431480410083831201e-01 0
22 -5.129107140132084623e+02 6.687109243735266384e-01 1
22 -4.814909715610622243e+02 3.515923073005860489e-01 1
