# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32288 32288 9390 32288
-1.211690824604241268e+00 -2.260583770996512976e+04 1.125436711893368774e-01 31211 32401 11940 40942
-2.425382175404755536e+00 -1.276623374921063623e+04 2.674647327076936643e-01 29972 32175 15627 43207
-3.441215852819722087e+00 -9.185432273377988167e+03 4.005466249917672417e-01 29231 32158 15944 46751
-4.511995881348138226e+00 -6.603988658701064196e+03 2.570635379624979788e-01 28428 32233 23323 47257
-5.234252855039573937e+00 -5.315029112746405190e+03 1.083037096611221273e-01 28095 32264 16780 54148
-6.395514831466240224e+00 -3.742386441353107330e+03 7.507170952613642090e-01 27465 32105 23552 48215
-7.127285586231912440e+00 -3.019158389397034625e+03 6.680415232651977231e-01 26968 32087 20373 54220
-8.107279395776290087e+00 -2.289830946302381562e+03 8.060835480641914685e-01 26708 32167 17478 51536
-9.183730490142288261e+00 -1.667666676923055547e+03 3.154943120992559358e-01 26217 32235 27969 49381
-9.773517086174651425e+00 -1.414717822721863968e+03 1.671430364255838408e-01 26230 32304 31869 58368
-1.039555805032226132e+01 -1.184758502567097139e+03 9.443754252847278430e-01 25899 32346 35236 62462
-1.098495178077175005e+01 -9.947879911109620252e+02 3.610916022809489978e-01 25760 32327 31591 65631
-1.172702151597083109e+01 -8.004942661560498891e+02 6.572740534786092326e-01 25582 32409 15345 62413
-1.310635670695274513e+01 -5.548516792904470094e+02 9.261425136659858781e-01 25130 32593 16910 47311
-1.413336314365400881e+01 -4.681152274772857709e+02 3.676891466016447008e-01 24514 32576 19699 48799
-1.504591600407734653e+01 -4.312763837392833466e+02 4.030867543976128786e-01 23980 32567 25998 51836
-1.575142205969601861e+01 -4.132114542282676553e+02 6.344133907042874831e-01 23732 32661 31653 58003
-1.637407383405794548e+01 -4.018381298414096818e+02 4.097730556283421532e-01 23738 32729 39303 63763
-1.687717850589555368e+01 -3.948257496107556790e+02 4.286415703631405449e-01 23578 32796 53835 71465
-1.718237978787479392e+01 -3.916249056667573996e+02 4.568471434567880074e-01 23559 32808 64968 85716
-1.747800325698449697e+01 -3.884879738889250689e+02 5.842619015378931469e-01 23531 32810 38626 95669
-1.838781818459146322e+01 -3.794654907499437968e+02 5.393634937136067009e-01 23313 32794 32312 71224
-1.918628003114817204e+01 -3.730675632655219260e+02 7.461025283474598258e-01 23450 32966 20696 64633
-2.031814499982224831e+01 -3.651419990316235271e+02 9.797356231541999305e-01 23141 33098 20544 53152
-2.127144256632683650e+01 -3.612240644027846770e+02 6.013234677796488459e-01 23083 33177 13853 53088
-2.259211667206239582e+01 -3.571580326647683705e+02 5.786902240054909718e-01 22830 33154 18218 46359
-2.353020817485473160e+01 -3.549745565896691346e+02 5.226320836914530865e-01 22512 33189 8933 50756
-2.520550998721386549e+01 -3.522517260193577613e+02 4.079090427997321133e-01 22619 33493 7845 41789
-2.681294385882692310e+01 -3.507849478800150678e+02 2.531973109672205346e-01 22823 33830 0 0
