# level_assignment log_likelihood tiebreaker ID
0 -1.406820237297684798e+04 1.596773640228092150e-01 1
1 -1.528095985209466926e+04 7.012224625900007613e-01 3
0 -1.130938521742132580e+05 6.455720389967218864e-01 2
3 -7.599232030262830449e+03 6.706032354273053775e-01 1
3 -6.604027293096584799e+03 2.569684106466691431e-01 3
3 -8.129379536094691503e+03 9.831932161199941067e-01 3
3 -7.548606779675987127e+03 3.450039686256960447e-01 2
4 -6.298979813768095482e+03 1.074939937338967866e-01 4
0 -6.883009855480695842e+04 5.168656523462753505e-01 1
2 -1.243136071474703567e+04 7.613885810995544290e-01 2
5 -2.218971592770915777e+03 1.640542732350626365e-01 1
5 -1.554765911400496634e+03 1.906733619877742925e-02 0
5 -5.282781972006621800e+03 7.067240891610381270e-01 1
5 -4.954957680147919746e+03 9.239464217846453664e-01 3
4 -5.327413340572742527e+03 4.651455061000663305e-01 3
3 -8.398222171748064284e+03 9.412314782732773832e-02 1
2 -1.173190310063255674e+04 4.652240275331740449e-01 0
0 -1.626396001896921189e+04 3.059207657774086209e-01 0
8 -2.049850376002259509e+03 4.902058181143084670e-01 1
7 -2.384449585444096101e+03 9.873203206655042363e-01 2
6 -2.344712264885427885e+03 1.029176090160520141e-01 4
6 -2.744799337871659191e+03 9.756305888033813822e-01 2
7 -1.370587680047647609e+03 2.382648102866570528e-01 3
6 -3.356984047241988719e+03 2.599114580362151816e-01 1
4 -4.630151960463004798e+03 8.971230366100035880e-02 2
11 -1.017115068591541217e+03 1.671838035532718925e-01 1
4 -4.904614060693624197e+03 4.714992921404634885e-01 0
0 -1.955654482930604354e+04 2.667828478784344814e-01 2
0 -1.620472681459774612e+05 2.059114385107664313e-01 0
2 -1.101999302677233209e+04 9.086027203327707857e-01 3
2 -1.084910281874620341e+04 4.915950003595099815e-01 3
8 -2.129233108042416006e+03 6.596611378175100127e-01 3
2 -1.205730271114441166e+04 6.254370139367253500e-01 2
2 -1.238512958366899147e+04 8.314635922215455333e-01 2
8 -1.870894093202109843e+03 8.488687936434614612e-01 3
10 -1.392101855078985864e+03 9.815608290205748432e-01 3
10 -8.813446679191424664e+02 1.875896203546673080e-01 4
10 -1.155136672705134970e+03 5.321748549166942510e-01 3
14 -5.139247041383425767e+02 8.775373863201294533e-01 3
5 -4.201638505089100363e+03 7.038766937937229740e-01 1
11 -5.221781486399275991e+02 7.849580439728930104e-02 0
7 -2.966222366880543632e+03 7.138478158362016046e-01 2
12 -6.302698450130558285e+02 9.162137370878405962e-01 4
13 -5.068969850202506109e+02 6.591014759339987039e-01 3
12 -7.483234028221386325e+02 1.245750752980008258e-01 4
15 -4.351963410414181794e+02 2.154140096641093405e-01 0
7 -2.199603903899704619e+03 5.640165297368548991e-01 3
11 -9.431969349888256602e+02 3.771212283466544857e-02 0
8 -2.041255389568208102e+03 3.489384024938098072e-01 0
14 -4.859808614052085431e+02 9.669112012156385605e-01 4
6 -2.627019979549833351e+03 1.911779103869168661e-01 2
10 -1.239175119886166158e+03 3.885376912964372820e-01 0
15 -4.676110622589129093e+02 8.697936076135366346e-01 1
10 -9.044040384967299815e+02 6.672527995375161503e-01 0
10 -6.153330398740904457e+02 1.713154313710555654e-01 1
12 -8.890705854020621928e+02 3.122611166517180181e-01 0
11 -1.153914067773903298e+03 4.699479079798540293e-01 4
13 -5.394033231902728858e+02 5.741523945939300821e-01 4
14 -5.383185999213421837e+02 4.633230866664728165e-01 1
9 -1.201349131010201063e+03 7.719096875011529635e-01 3
11 -1.037756815424441811e+03 3.246081348603295780e-01 3
15 -4.659814172328042332e+02 5.964569343714550831e-01 1
16 -4.168748466698777406e+02 2.364350429365227324e-01 4
11 -3.971066501263087503e+02 6.856786456593196855e-01 4
8 -1.385321134373867380e+03 2.807056459266378812e-01 3
8 -4.920057114622888434e+02 2.154955283044515946e-01 2
14 -4.639334846470429738e+02 3.333391475187275077e-02 2
8 -1.841468280887815581e+03 9.423429311868991576e-01 3
14 -4.708844150216722255e+02 3.673294498400472285e-01 0
20 -3.914734438003556534e+02 4.346571865184751804e-01 4
20 -3.911860609193120126e+02 9.018205103052687743e-01 4
8 -1.582097716723997110e+03 9.289386214049087931e-01 3
16 -3.719830700133720711e+02 9.221088016001772747e-01 1
17 -3.970657907407197058e+02 7.330809655300924987e-01 4
17 -4.004110281443174699e+02 2.073047817543036686e-01 3
18 -3.998782953021749904e+02 4.064589957053588165e-01 4
22 -3.602051687271750779e+02 4.228394724260953197e-01 2
21 -3.826749131842253746e+02 2.226242301126911058e-02 3
15 -4.559726869186458771e+02 7.451590495942319592e-01 0
20 -3.899860954220858957e+02 2.997453519737539596e-01 1
22 -3.759938685944467807e+02 9.650724785715996124e-01 3
21 -3.828931248416265589e+02 9.351664069669630708e-01 1
21 -3.830209563094906571e+02 3.334734690916000832e-01 1
16 -4.224949943319818431e+02 2.685786825462891381e-01 0
26 -3.543891577079944568e+02 8.747617979381014930e-01 3
17 -3.787736205562490568e+02 1.815574432845508679e-01 1
18 -3.808459511839405991e+02 2.441195788640904141e-01 1
20 -3.903308030851713397e+02 9.759671767042743529e-01 1
26 -3.549861176234437039e+02 6.108022145381957202e-01 3
14 -5.365570566034805324e+02 3.569966807422311206e-01 0
28 -3.515718884558837090e+02 9.528611525715957598e-02 2
21 -3.861299420183738675e+02 7.550045768621043152e-01 1
16 -4.312454959028062262e+02 1.884251874214149802e-01 0
18 -3.842392268399090653e+02 5.708572381242262850e-01 1
23 -3.705270367731819761e+02 3.704548783289497438e-01 4
16 -3.877161431567587897e+02 8.108698201376896009e-02 1
16 -4.194435732672241102e+02 5.270027702744156661e-02 0
16 -3.992207181093679651e+02 6.457293099239187484e-01 0
25 -3.573305143814361031e+02 1.410860813487922194e-01 2
9 -1.132360998291619808e+03 6.907501368467308112e-01 1
25 -3.606066820529471784e+02 6.608340929356457671e-01 4
28 -3.497557416254866212e+02 2.260424511798447833e-01 2
25 -3.593491156607377661e+02 7.313461860772445533e-01 4
25 -3.609128067099186410e+02 2.334661898990200157e-01 4
19 -3.910354327247117112e+02 7.820156777173603579e-01 0
27 -3.517437778374472259e+02 1.837349096844855256e-01 3
18 -3.926028289055030314e+02 3.770264038011532370e-02 0
27 -3.536205106305196750e+02 5.223223305375848113e-01 3
29 -3.503877183647129527e+02 4.893414857482266123e-01 2
1 -1.138047564415105444e+04 1.428895613663172526e-02 1
28 -3.513081202341117546e+02 4.331807762380288640e-01 3
24 -3.651273960181988514e+02 2.701369645940179254e-01 4
28 -3.516888637717120218e+02 6.857390105909066946e-02 3
26 -3.558480020652192479e+02 6.631890662102112310e-01 2
28 -3.522398252272548120e+02 9.860662454626512030e-02 2
0 -3.885607938482041936e+04 9.645149608368278615e-01 1
26 -3.525722566799787501e+02 8.840827107381388217e-01 3
7 -1.492287269704957680e+03 1.917650360139411536e-01 0
9 -1.563559909240393608e+03 8.244591054119586593e-01 0
5 -5.264283081188201322e+03 4.076843616121464953e-01 1
21 -3.836702085117617003e+02 8.321478937861420677e-01 4
6 -2.940884143865821443e+03 8.091894933773331466e-01 1
9 -1.474966642809131827e+03 1.009351353711308574e-01 1
27 -3.549359730437179223e+02 5.613131952143204234e-02 2
5 -3.548625330244114593e+03 7.004227577578963082e-01 0
24 -3.593505727732028276e+02 2.729754483278293842e-01 3
4 -5.277533965013285524e+03 6.781602412393387125e-01 0
18 -3.780918920626409090e+02 7.677766180502139104e-01 1
20 -3.863964176522584353e+02 5.796296538852345748e-01 1
26 -3.533331768578452738e+02 6.499943640503598186e-01 2
27 -3.536084038634242575e+02 2.543800039928566584e-02 2
17 -3.790542326681072609e+02 3.864132497824145362e-01 4
24 -3.615160834373439798e+02 3.350935900539031564e-01 3
17 -3.944315791362849382e+02 8.129919719713781801e-01 4
26 -3.562181001132622100e+02 6.348737754270149525e-01 2
17 -4.107362556558432516e+02 4.107675946777761822e-01 4
4 -4.444353502092944836e+03 4.601284358887026138e-01 0
16 -4.124957213344015372e+02 8.831314412990168838e-01 2
6 -3.390746887974300989e+03 9.012123056446101899e-01 1
11 -7.974963431957751254e+02 9.025471015273960340e-01 3
26 -3.567872501844526028e+02 3.981561997210074644e-01 2
2 -7.707867910582535842e+03 2.310320288377281650e-01 1
22 -3.536795252844996185e+02 5.019265710956508642e-01 2
4 -6.539197495918997447e+03 4.625835802757597426e-01 0
28 -3.511956447143609807e+02 9.804451742261475200e-01 2
28 -3.518070923721214740e+02 7.750037070475523926e-01 2
11 -6.392918859500757662e+02 5.695007368678900450e-01 0
4 -4.306903652727676672e+03 2.349895886161768310e-01 3
13 -5.546995924074178674e+02 1.775395913425404371e-01 0
29 -3.504161449795847147e+02 8.278016830129065751e-01 2
12 -9.401373446336857569e+02 7.014455410792280743e-01 4
5 -3.555139859185315800e+03 6.307124108134872786e-01 3
2 -1.226266359117173306e+04 2.021469011099285007e-01 1
29 -3.507675911378036631e+02 8.302326833424497066e-01 2
29 -3.507645060586542058e+02 5.611895843768486269e-01 2
28 -3.519607253973119327e+02 4.492329690179581725e-01 2
2 -6.823987178908897477e+03 4.358942089988979141e-02 1
11 -1.019510679645868549e+03 6.260197308538203442e-01 4
26 -3.566574696430506037e+02 2.292930248467301979e-01 2
8 -1.958178093959430271e+03 6.345458772312631002e-01 1
21 -3.812886062191381598e+02 7.657568939501924188e-01 0
19 -3.947954799359274034e+02 4.076560341528184805e-01 0
13 -7.757297889953489403e+02 3.678852686340958744e-01 3
9 -9.456919225556482616e+02 8.042957291327432201e-02 3
9 -1.572836514067523922e+03 2.609441970695932644e-01 3
6 -1.815290612039465941e+03 2.683907023234626821e-01 3
21 -3.877337065357929760e+02 8.946670402048814141e-01 0
0 -1.930619140902756044e+04 1.136416513711918097e-01 1
