# level_assignment log_likelihood tiebreaker ID
0 -5.868654740866838438e+03 3.798980599434820249e-02 2
0 -5.511802790038474996e+03 5.342796338917116250e-01 3
0 6.283490540624505627e+01 3.574330079144907302e-01 2
0 -1.311564367170699086e+02 8.059521990686547843e-01 2
3 7.702834896359431127e+01 5.953067828013143270e-01 4
2 -1.276077850485917509e+02 4.088653858883644077e-01 4
3 1.937135249726183872e+01 1.232456924297263834e-01 0
1 -8.117871562031921258e+02 3.952977002169457132e-01 3
4 9.838615344908359361e+01 4.978677407223290885e-01 0
4 1.328172756074865219e+02 1.547846573838527473e-01 4
1 -1.201166501075605538e+03 6.407272756802622204e-01 3
2 -3.604144956630669867e+02 5.922972002850614981e-01 2
8 1.784866708441816172e+02 7.853655532583820875e-01 4
5 1.551501388717226178e+02 6.172365473114353740e-02 1
0 -3.083557951559084813e+03 1.637097594694386649e-01 4
8 1.793071403860849955e+02 6.311647776453952474e-01 4
3 7.920577149839679976e+01 2.667996698287726232e-01 0
5 1.448498769524711065e+02 8.672762432960946510e-01 1
4 1.078905471555312374e+02 1.392764339512421734e-01 0
7 1.763680489999966881e+02 5.868205283098539837e-01 0
4 1.267254939916709446e+02 8.425743091652189154e-01 1
5 1.709851513350939740e+02 9.906382205806603114e-01 2
6 1.763078720671486224e+02 4.359394084818879467e-02 4
10 1.802531324966217881e+02 2.895151318833630305e-01 3
9 1.795647655092130890e+02 1.521335106610013366e-01 4
3 1.125426806948571112e+01 7.125014572790785428e-01 0
1 -8.143310885738544584e+02 9.821179073814162441e-03 2
10 1.803461966792152396e+02 4.714405444800365830e-01 1
9 1.803787204057610438e+02 9.869956146530998176e-01 1
6 1.777265950421722209e+02 4.200985310499083525e-02 2
1 -6.508122881163303646e+02 5.779898889549635044e-01 3
4 1.474514700845394088e+02 1.695905397978286766e-01 0
3 7.200686722308783771e+01 8.253682227778392777e-01 0
2 1.790424726233506192e+02 7.000872816714309721e-01 3
11 1.803860444307124169e+02 4.967058838466607007e-01 0
3 4.915654060818870619e+01 4.310545096763807038e-01 2
7 1.792304844440347722e+02 2.739090186787507264e-02 0
7 1.772686151961189580e+02 9.519879193535172313e-01 4
11 1.803753934837468194e+02 7.007076034858705782e-02 0
11 1.804021992346564502e+02 3.010512177417749013e-01 1
9 1.803851645574164593e+02 1.578883530104890909e-01 0
10 1.802393900890122040e+02 8.836969782181287592e-01 2
1 -5.878991974844373090e+02 5.068282636053340617e-01 4
5 1.727313308625883224e+02 8.485470544264583914e-01 4
3 -1.962731967689226309e+01 6.453394923422818286e-01 0
3 8.027731867284876444e+01 5.421879596370262622e-01 0
5 1.479336679555314333e+02 4.145601583211115659e-02 3
5 1.484171264956622736e+02 4.731260416835862959e-01 3
9 1.796203079958782496e+02 9.037380283348623866e-01 0
3 1.054477857016576365e+02 7.155274504895691168e-01 4
6 1.688200432807942093e+02 5.248602770119234484e-02 0
9 1.794866229780472793e+02 1.163692461526430327e-01 3
6 1.716561081899996566e+02 4.653815954028802659e-01 0
1 -1.305870190776509389e+03 1.204176195878760014e-01 3
2 -7.564680944898901771e+01 1.516368476851906177e-01 3
5 1.795512165932092614e+02 7.352690779906865259e-01 3
5 1.771448440635013810e+02 3.631447505873133252e-01 3
8 1.790923245322877619e+02 5.106467230242012212e-01 3
3 7.700634524858071472e+01 5.539570456955473787e-01 0
7 1.784206520640486247e+02 7.102868803249043905e-01 3
7 1.777945008798170932e+02 3.389157609923110215e-01 4
7 1.781930349666827738e+02 9.045168239006142752e-01 0
1 -1.579458223714550741e+03 1.353357925356314662e-01 4
1 -5.333823739212697745e+01 3.365563853171544828e-01 1
6 1.681201554661224691e+02 7.154053710467707106e-01 4
5 1.564041997444919616e+02 5.905106625154907807e-01 4
7 1.783724621267861892e+02 7.322296367991535382e-01 3
6 1.784382013814965831e+02 1.343134598055284734e-01 4
6 1.744845728974177632e+02 5.988581717266434623e-01 3
6 1.730784340195784807e+02 4.050410730061373976e-01 2
1 -1.474482345159682950e+02 9.936262039567049786e-01 0
1 -1.700546214726010703e+03 3.569480743166540404e-01 1
9 1.796240625158591229e+02 5.978533452540118337e-02 4
8 1.787104359094676056e+02 3.170429475158904609e-01 0
10 1.804445297423664556e+02 3.534211520774133697e-01 4
6 1.753302760254162251e+02 5.637958167591072822e-02 3
8 1.796165311556435142e+02 8.877630603386243990e-01 2
6 1.686598975058895462e+02 6.215422111505262137e-01 1
2 -3.625121711247749090e+02 2.910173158370816804e-01 2
3 -2.243286508096944942e+01 6.810181696250472427e-03 1
7 1.794709137068819018e+02 7.270098971385953179e-01 0
10 1.802569139435697423e+02 4.779095321163679966e-01 2
8 1.782992291618692775e+02 8.014133906370839444e-01 2
3 -2.910638614375564259e+01 2.063105727129496691e-01 1
13 1.805553359323520226e+02 7.042833391726688319e-01 4
12 1.805339168443386484e+02 1.628422687744522368e-01 4
14 1.805725774204613003e+02 4.129015909840867415e-01 4
8 1.791086673723462468e+02 4.058551665594478663e-01 2
15 1.805741842044333225e+02 9.123267230538485428e-01 4
5 1.474847235291359766e+02 8.299589006668224300e-01 3
15 1.805765659910978513e+02 4.071930364407059244e-01 4
4 9.625235227296167295e+01 5.734582957149587656e-01 3
9 1.799809252329706055e+02 9.967138054939752578e-01 2
7 1.755646403475641364e+02 6.438126104030889030e-01 1
15 1.805753245577217285e+02 7.958775077525414021e-01 4
17 1.805826258906732562e+02 3.240003024808195686e-01 4
13 1.805623664174120790e+02 9.117208885153692544e-01 0
2 1.760689917283123123e+02 3.772001619695041028e-03 1
18 1.805853663889052996e+02 4.552999046325987287e-01 4
16 1.805823358071217513e+02 7.087765456727943558e-01 4
12 1.805060528423032622e+02 2.889589474878945796e-01 0
5 1.509376841973001433e+02 3.713516010507014187e-01 3
18 1.805821041620419578e+02 3.301536978639705300e-01 4
9 1.797676845376756773e+02 2.196175926442069937e-01 2
8 1.793313351197875818e+02 4.143219625056201449e-01 3
10 1.803392049803905763e+02 8.684253585807861775e-01 1
16 1.805813949166658858e+02 9.137702630612736243e-01 4
12 1.804983586530137245e+02 9.679378057668630575e-02 1
12 1.805058833003296854e+02 1.153314360773510100e-01 2
19 1.805842091007767749e+02 3.402071880060264508e-01 4
14 1.805865139172877605e+02 6.616592568931329854e-01 4
12 1.804907622140975434e+02 7.004161575929336581e-02 1
13 1.805824746382368176e+02 1.631903234711291617e-01 4
11 1.803798758349796572e+02 3.441755845586071949e-01 0
10 1.803575807419982482e+02 6.109146300147087066e-02 2
17 1.805813961133376893e+02 3.211347313108533497e-01 4
9 1.801605149796539536e+02 3.962587095002181314e-01 2
21 1.805869034761350349e+02 5.417135019501123638e-01 4
10 1.802957226698888178e+02 6.751501880110432063e-01 0
1 -3.654415382294096162e+02 4.500813728705016503e-01 1
7 1.796190700145562573e+02 5.767306192919318120e-01 1
22 1.805877028612882214e+02 4.497254178415736048e-01 4
22 1.805872465540300595e+02 7.519863706562729400e-01 4
1 -8.228264579922033590e+02 7.039306073079130144e-01 1
17 1.805869557347981242e+02 6.233222956983794916e-01 4
8 1.798338666032128117e+02 4.945115171070584292e-01 3
9 1.795963183346199514e+02 7.906900097512028491e-01 3
11 1.804275909219028051e+02 9.095321728689632623e-01 0
11 1.803868662712834521e+02 5.379817534528896772e-02 0
22 1.805873283528663364e+02 5.972939039576417031e-01 4
0 1.793128312966509270e+02 1.560108562449662450e-01 3
2 7.209752952700411299e+01 6.842160180355540966e-01 3
8 1.789255278551691788e+02 1.059347525939511314e-01 3
7 1.760848590371543878e+02 8.168049589080332851e-01 3
10 1.801643275658009600e+02 1.295619566324770489e-01 2
7 1.766871252839542876e+02 5.138152077858330058e-01 1
3 4.713215609003874107e+01 3.905665584343429031e-01 3
4 1.621420390458609972e+02 2.768849737871433847e-01 0
2 1.651803801602856936e+02 6.746147350362368122e-01 3
4 1.752957341716353312e+02 4.675705482404398511e-02 2
18 1.805830021027869066e+02 1.910536889655894410e-01 4
10 1.801223491702495494e+02 5.091970980627475996e-01 2
1 -1.331666326744379376e+03 4.819583113643446382e-01 1
9 1.799152449529819933e+02 5.933584627071020190e-01 0
0 -1.738363137763832356e+02 9.478290975645555783e-01 3
5 1.473550230987727900e+02 9.607554264506662500e-01 3
10 1.801737430679765737e+02 3.749702305256150670e-01 0
6 1.669161334250006234e+02 3.517226566517284159e-02 2
4 1.709841733874585827e+02 9.728563679190256608e-02 1
24 1.805918046928891840e+02 1.322339507812636261e-01 0
10 1.803126624170373589e+02 7.941317625263408786e-01 3
16 1.805763535673656861e+02 9.494796084643682965e-01 4
18 1.805830734465796468e+02 1.877514343978639033e-01 4
11 1.803676886882987276e+02 2.527437811026743142e-01 2
1 -8.680913585736113873e+02 4.655675807336532301e-01 1
9 1.796618329726460104e+02 4.272581932858265930e-01 3
25 1.805954693434232752e+02 6.759482210387878220e-01 0
25 1.805958925828725796e+02 2.383378516420653626e-01 0
14 1.805661966233184899e+02 1.950701234544181262e-01 4
11 1.804371597622777585e+02 2.012165286602991543e-01 2
16 1.805828089744575777e+02 8.283447120193641044e-01 4
6 1.677867586438463832e+02 6.650201502933783537e-02 3
25 1.805965647338955762e+02 7.064554249193830682e-01 0
19 1.805845694712043610e+02 7.021597341517464841e-01 4
2 -3.393636192253982244e+02 3.421807169642345214e-01 1
18 1.805844937419902863e+02 8.895487024497962247e-01 4
1 -1.330348351752402777e+03 4.915963516650450060e-01 1
21 1.805871473099525417e+02 2.666120144383374857e-01 4
9 1.794035981324909699e+02 5.996808871307367506e-01 3
7 1.789235431433976942e+02 9.157386980643797969e-01 3
8 1.789318436601506619e+02 4.574332886056344805e-01 3
22 1.805876530367770556e+02 1.816693928707239780e-01 4
0 -1.360333797431950984e+02 1.256560684891738777e-01 3
21 1.805872233247291661e+02 8.775801085003300805e-01 4
6 1.722522150100780891e+02 2.415274497041040858e-01 2
22 1.805876557061360472e+02 5.632609277395113079e-01 4
2 -1.854609657463720112e+02 7.151828961585221522e-01 2
8 1.797997256976003655e+02 3.102645634065132052e-01 1
4 1.286708567159300003e+02 2.079498182973986420e-01 3
26 1.805979292355505095e+02 8.065414276196641863e-01 0
25 1.805957273013633255e+02 4.697724138293715157e-01 0
11 1.804134840447180750e+02 3.436624733995615744e-01 1
15 1.805639960303066687e+02 4.775127839725570311e-01 4
26 1.805972184737820783e+02 7.488480565744588535e-01 0
15 1.805703462808983204e+02 6.134383194246524340e-01 4
24 1.805941650529668152e+02 1.685721610933817866e-02 0
9 1.799805869626386823e+02 6.494470007340833462e-01 1
23 1.805902802994329193e+02 9.234000467012482005e-01 4
12 1.804871357662736102e+02 1.720760320206585481e-01 1
1 -1.251061244469670100e+03 9.343403332199806677e-01 2
0 -4.385475614808042337e+03 7.029099377503733592e-02 2
23 1.805882633044859915e+02 2.022738399473479609e-01 4
2 8.034254167877791986e+01 7.252662558072593413e-01 3
7 1.774298673173870782e+02 6.824977187757150787e-01 1
0 -1.977644757909637292e+03 8.342155414946663683e-01 2
3 5.161192719371165794e+01 7.855199902251832622e-01 2
7 1.779876876125776448e+02 2.011877664528540777e-01 1
3 -2.696116633373784310e+01 8.776019463806372656e-01 1
24 1.805895314963329952e+02 8.525134078229400503e-01 4
8 1.786349178977623069e+02 6.074039995327261687e-01 3
24 1.805886234434980793e+02 5.696344315176449929e-02 4
7 1.772273155062983960e+02 8.961855915816645535e-01 2
6 1.788105335210370015e+02 1.571576770792910971e-01 2
22 1.805892274764026979e+02 6.873282137203326481e-02 4
25 1.805958470234985498e+02 6.452319683744782708e-01 0
6 1.750333225715712615e+02 9.108539776015166234e-02 1
1 -1.905451631793882825e+03 4.022249245963873121e-01 1
0 -6.509900315101031083e+03 9.429024326097346087e-01 2
9 1.798845570164511969e+02 9.777521250451186585e-01 3
1 -8.119408360041015840e+02 7.518506587549568243e-01 2
5 1.648259986538557769e+02 3.361468039684067932e-01 1
1 -1.439876896994026083e+03 6.234927351970166454e-01 2
8 1.785103302704472981e+02 6.284298462898787463e-01 3
1 -7.835065547218301845e+02 7.895366922372362151e-01 2
7 1.768801907792961856e+02 8.146736183514590168e-01 1
24 1.805897564497934127e+02 3.077828320370448179e-01 4
7 1.754440720721515561e+02 6.110626336186308905e-01 1
14 1.805891212730877839e+02 4.660645523377784372e-01 4
4 1.408430566269865949e+02 8.381496888035360193e-01 1
7 1.761229204692672852e+02 5.969806859332109639e-01 2
3 -3.509941237989819740e+01 2.198230882701932010e-01 3
28 1.805992616748557396e+02 4.254942735759899008e-01 0
4 1.433129845872032604e+02 7.975276180210352783e-02 2
3 9.766852817360249617e+01 3.524069657868276195e-01 2
27 1.805989436480301720e+02 5.636029444654262477e-01 0
0 -7.364906586292866450e+03 4.981231278116765027e-01 3
9 1.795294316503089647e+02 1.210991989816880832e-01 3
8 1.791370663617359469e+02 2.937558085422609100e-01 3
21 1.805877260103068807e+02 8.629897665394625772e-01 4
6 1.687449640474796979e+02 6.417592056107435106e-01 1
6 1.716820868744479185e+02 1.543141549985680427e-01 1
2 -1.997280024862139385e+02 1.036341151196979588e-01 1
27 1.805990496109813250e+02 1.814165996280486248e-01 0
15 1.805715414237895402e+02 7.698871134085887025e-02 2
20 1.805887420003771240e+02 7.814901514151664230e-01 4
27 1.805988745580513068e+02 2.582460825979845942e-01 0
15 1.805686262409341794e+02 7.326753362897908683e-01 2
6 1.696365591355809954e+02 4.094753693476045342e-01 1
9 1.795969448921043181e+02 7.717432829006211081e-01 1
28 1.805990878737715377e+02 4.234453110539853071e-01 0
6 1.780016233683105895e+02 7.829274443788729609e-01 3
10 1.804487921878295538e+02 8.157755852473765890e-01 2
1 1.656068993458188174e+02 7.613550769561158171e-01 1
10 1.804683539457438428e+02 3.010458205772197915e-01 2
4 1.760247813187072268e+02 4.493608052632496741e-01 1
21 1.805879676665444151e+02 9.621975690896432676e-01 4
21 1.805876848298725577e+02 5.664948395081025323e-01 4
3 1.022166800967521851e+02 8.526723818458434856e-01 3
15 1.805817859431026022e+02 4.857774559733051278e-01 4
23 1.805878996352089416e+02 1.035845654462552723e-02 2
28 1.805994684538318040e+02 6.029322481163875702e-01 0
17 1.805847360118015388e+02 3.638116742340122833e-01 4
21 1.805891852958370691e+02 9.498467479595278096e-02 2
29 1.805992258651713769e+02 3.880195784866454223e-01 0
22 1.805874107246053200e+02 8.880239379863339444e-01 2
12 1.805096930821903811e+02 1.844329987878582100e-01 4
17 1.805803849842421869e+02 3.839283877866204175e-01 2
