# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32941 32941 10633 32941
-1.118595569166359605e+00 -1.806457332139193852e+02 6.108776749074196211e-01 26918 33054 16491 42720
-2.073692766242353436e+00 -1.570993835210767031e+02 8.682415251548307733e-01 22339 33048 17498 48259
-3.087291049089419648e+00 -1.540539942408479988e+02 5.829276108111982602e-01 19518 33003 18545 49464
-4.069464785088385383e+00 -1.530324565601754330e+02 4.076898190204176764e-01 17974 33007 19001 50354
-5.045534979380131624e+00 -1.525534408090364593e+02 7.164203493760696873e-01 16579 32969 15704 50707
-6.206717182256011434e+00 -1.522771227868282153e+02 8.416272086417175835e-01 15117 32883 18438 47713
-7.160496262124647515e+00 -1.521724057501351126e+02 2.859762810194919069e-01 14346 32921 24221 50285
-7.905058466915871662e+00 -1.521259521228919596e+02 2.656421323187354577e-01 13393 32724 21672 55298
-8.845096497860978957e+00 -1.520897444033908243e+02 1.503600936282122325e-01 12792 32730 17767 53233
-9.936716631586987702e+00 -1.520687513787023590e+02 9.462026223938213576e-01 11839 32782 24170 49561
-1.066965126270282305e+01 -1.520606489008648055e+02 5.922908967722368967e-01 11361 32801 13707 55516
-1.204235458217667620e+01 -1.520529268600014063e+02 4.472804706727657731e-01 10436 32592 14109 45450
-1.320018853579771445e+01 -1.520504036202922862e+02 1.124545795613054455e-01 9779 32435 13999 45420
-1.436463384459463377e+01 -1.520493160375691843e+02 1.770891912301540416e-01 9140 32165 18032 45067
-1.528593228411294547e+01 -1.520488971766109785e+02 5.251666666845640208e-01 8548 31956 19673 48521
-1.619436766299777730e+01 -1.520486830283739721e+02 7.622937639916251840e-01 8246 31995 15320 50452
-1.737383409979736371e+01 -1.520485351322071494e+02 9.250584561181582899e-01 7638 32138 20271 46666
-1.821742177435955057e+01 -1.520484829243055174e+02 3.250571473092109809e-01 7438 32141 16172 51097
-1.935844952814598230e+01 -1.520484468685477566e+02 7.162201759440378623e-02 6934 32154 30408 47655
-1.983443405775351920e+01 -1.520484395927405217e+02 1.358031359745269333e-02 6819 32049 13659 60781
-2.129629771502378333e+01 -1.520484242308161242e+02 7.200917588241697587e-01 6364 32224 18513 45507
-2.220192844029504897e+01 -1.520484206908687668e+02 9.827016276016424801e-01 6107 32183 27814 50067
-2.281002128633605608e+01 -1.520484189930764387e+02 8.268591442447263962e-01 5857 32229 26803 59390
-2.361502161491640805e+01 -1.520484176920101618e+02 1.096756074475363218e-01 5646 32109 20709 58288
-2.464802743613870817e+01 -1.520484166369790842e+02 1.847882889363250403e-01 4817 32168 15483 52235
-2.585036882450738460e+01 -1.520484158816006186e+02 8.732137275340887683e-01 4631 32185 10655 47015
-2.729628191875323395e+01 -1.520484151923982949e+02 8.276911990393377438e-01 4301 32073 13820 42076
-2.840128746479514987e+01 -1.520484148682245120e+02 2.933093716198498235e-02 3994 31618 16155 44798
-2.941989481427829034e+01 -1.520484147070485221e+02 9.434574306095827589e-01 3600 31411 0 0
