# level_assignment log_likelihood tiebreaker ID
0 -3.165585392810385770e+02 1.440075494667957812e-01 0
0 -3.487341164603109860e+02 9.235194904522919801e-01 2
2 -1.556346779914885587e+02 1.854573989267204182e-01 3
2 -1.542747367325438859e+02 6.512588884805925460e-01 3
2 -1.538568639995013427e+02 9.881698573198099966e-01 1
1 -1.550533992144140143e+02 1.426618465553964980e-02 3
2 -1.551726206125917997e+02 3.821424190151105904e-01 3
0 -1.654559292366073464e+02 1.633459250852795641e-01 2
4 -1.529148310844057903e+02 9.834252668486467286e-01 0
2 -1.538269068740546004e+02 4.889288902026457384e-01 4
3 -1.527498086004064817e+02 3.091251702683339708e-01 3
6 -1.521252416733978237e+02 4.098841529736831357e-01 2
6 -1.522325434792957140e+02 5.121437015574694662e-01 4
7 -1.520745861984738099e+02 6.548721730547961695e-01 4
1 -1.573672124998984430e+02 1.105494049983581917e-01 0
8 -1.520756084052720212e+02 2.009206936801178345e-01 4
2 -1.532228278136883262e+02 9.879160129806245916e-01 1
7 -1.521590611852452071e+02 2.483568458548859326e-01 3
7 -1.521277296321504764e+02 7.016065347501941885e-01 3
6 -1.522588372588945163e+02 4.106748906012362421e-01 4
8 -1.520863785636377088e+02 6.795595285709501443e-01 1
8 -1.520804942709246461e+02 4.615108712427691273e-01 1
9 -1.520715399682988789e+02 8.288849259880510800e-01 4
8 -1.520762454559110211e+02 5.055175399490074994e-01 3
9 -1.520710182138057576e+02 4.788946217561000918e-01 3
1 -1.764694061726503662e+02 5.994810285902846259e-01 3
7 -1.520827819221706818e+02 3.712490732908673152e-01 3
3 -1.534809803754511108e+02 6.687285637060477184e-01 3
6 -1.521885612418043365e+02 8.301778014603073963e-01 4
8 -1.520526562897557312e+02 9.960457443537535926e-01 1
11 -1.520533081808484326e+02 3.897483110660644456e-01 4
11 -1.520494129289376417e+02 1.217895223147570372e-01 1
13 -1.520491418379652657e+02 5.947100025163261083e-01 0
1 -1.551774932808936285e+02 7.388047127599035591e-01 3
6 -1.522210755735842440e+02 6.488267455237108905e-01 1
1 -1.630860249876282069e+02 5.638248558209371653e-02 2
8 -1.520619124721088156e+02 4.380402665780570581e-01 4
6 -1.521856495372809377e+02 4.777203439192749812e-01 3
7 -1.521475972186214562e+02 9.766644356341759314e-01 4
3 -1.520972788500835122e+02 1.827025630032455550e-01 4
12 -1.520506829356042431e+02 7.798553755997517101e-02 1
7 -1.521272303034490392e+02 6.549991483986437046e-01 4
7 -1.521110222602863189e+02 5.374426898364663696e-01 4
4 -1.522781620388864496e+02 7.629620785411042050e-01 3
13 -1.520491733946001887e+02 1.975905776552835391e-01 1
8 -1.520935405721938878e+02 1.978064760490763074e-01 4
6 -1.522274125531066034e+02 5.139113961599486302e-01 4
7 -1.520608260788125392e+02 6.486663268108281422e-01 4
14 -1.520485684599669582e+02 6.729696074958911867e-01 1
10 -1.520539117297528833e+02 7.352306836381793387e-01 3
14 -1.520485316819530510e+02 8.397592847793357018e-01 1
15 -1.520484646971747225e+02 6.380699185266824891e-01 1
14 -1.520484643631357642e+02 7.276499987222373456e-01 1
14 -1.520488142310194917e+02 4.725957874198055131e-01 3
5 -1.524727334403760324e+02 3.241545721691390103e-01 0
4 -1.526373992744577208e+02 3.926122248556130345e-01 0
14 -1.520487182509637876e+02 4.394190957240475259e-01 1
11 -1.520539308317487439e+02 4.898319028479516946e-01 3
5 -1.523354375071421316e+02 5.939241911188553047e-01 0
4 -1.526507864098003040e+02 2.643812631513204336e-01 0
12 -1.520493184852611250e+02 3.572587991715681088e-01 1
13 -1.520488834999227663e+02 8.389665020048506783e-01 2
7 -1.520960130383913906e+02 6.550227723374228983e-01 3
9 -1.520719405479808870e+02 1.248464640579066420e-01 3
18 -1.520484184059504855e+02 2.631832844018252016e-01 4
18 -1.520484205989901341e+02 6.547468231968486263e-01 4
14 -1.520486190671317672e+02 3.442392399997827868e-01 3
5 -1.524282477968875185e+02 1.773550530127323555e-01 1
15 -1.520486446907432310e+02 8.480893753568530258e-01 0
