# level_assignment log_likelihood tiebreaker ID
0 -1.795016634109208781e+03 9.313831178604086158e-01 3
1 -3.330648403153827530e+02 6.148370937737935860e-01 0
0 -1.831439686189224176e+03 9.354368062419833318e-01 1
0 -4.726568482855011553e+02 8.045475375931293582e-01 3
0 -4.617217705701392561e+02 3.831602890314899645e-01 4
3 -1.543779421550592019e+02 1.883865434578206599e-02 3
1 -1.530701674866210169e+02 1.809411042280030801e-01 4
2 -1.566915985811073426e+02 1.528718116469036659e-01 3
3 -1.581592483379326382e+02 9.326858414105512196e-01 0
3 -1.593841804006419238e+02 5.918653002248246420e-01 2
4 -1.546257474743042337e+02 7.796420255515815745e-01 2
6 -1.522723402519710589e+02 4.409917523438728892e-01 0
1 -2.356287383049941013e+02 8.970078589720091866e-01 4
4 -1.540528024128144011e+02 8.854235076125038795e-02 3
6 -1.527868262796812928e+02 9.970562440683392591e-01 1
5 -1.532463433683720382e+02 4.708235628563573472e-01 1
4 -1.552624974583188191e+02 7.225262514180275097e-01 2
2 -1.665122034073634723e+02 2.504999875388330688e-01 4
5 -1.537781176576722260e+02 7.612415871060344008e-01 0
4 -1.534864676831364818e+02 2.566719514684879244e-01 3
8 -1.519456423243891550e+02 2.428877095249983853e-01 4
7 -1.522102167582483503e+02 7.565882161210737422e-01 1
5 -1.524739443074444694e+02 2.099190484774279275e-01 3
4 -1.534698961916083135e+02 9.257384821423075838e-01 2
1 -1.588389272309308353e+02 7.829033316793494457e-01 2
7 -1.523955186827002706e+02 2.026527907249628946e-01 1
5 -1.529962841630121773e+02 4.967331596217308687e-01 3
3 -1.586324239518688728e+02 8.743842600053596259e-01 0
8 -1.521011883961350577e+02 2.859057955297232279e-01 3
5 -1.525283469722471068e+02 5.958457125577706348e-01 1
4 -1.536364322696362024e+02 7.175656263912953969e-01 1
8 -1.520133702216332381e+02 9.765712339659418095e-01 3
0 -3.667748166396063993e+02 4.381066930159260853e-01 1
4 -1.538604378248451781e+02 8.012669973754450448e-01 1
8 -1.517465508541899339e+02 3.585543295063757796e-01 0
3 -1.557669100373574338e+02 4.547640754433004417e-01 1
10 -1.516363411712433162e+02 1.079861641967925223e-01 2
7 -1.524001307259470082e+02 9.808440724072977623e-01 0
8 -1.520266381830074351e+02 6.866559418622003585e-01 3
8 -1.519603143969450230e+02 6.845852138886372451e-01 3
10 -1.516209820471310650e+02 2.748615296542911701e-01 3
10 -1.516330243260224222e+02 3.858903650660096551e-01 2
8 -1.518366279578063711e+02 3.312496763942629485e-01 3
10 -1.515960402827548137e+02 4.161547551025490677e-01 3
0 -3.417753382577415664e+02 4.330778505424448532e-01 1
9 -1.516543818915586428e+02 5.397170545053437962e-01 3
8 -1.516789908886662488e+02 8.003279587904211789e-01 0
5 -1.532923821664143418e+02 5.237413280785414571e-01 1
8 -1.518998925458531915e+02 6.092884005022014549e-01 3
14 -1.514763742461974516e+02 9.270433278106892105e-01 4
14 -1.514829028269464573e+02 8.515112383190670542e-01 4
9 -1.517466865844999120e+02 7.446339581872687408e-01 3
9 -1.517532343164940585e+02 6.804614184891064621e-01 3
4 -1.547557603710205001e+02 5.123625434214247598e-02 1
14 -1.514924577554447467e+02 2.814550930313677313e-01 2
11 -1.515694669818536227e+02 9.418189349577109626e-01 0
2 -1.863572748639477936e+02 4.390283992888566189e-01 1
10 -1.516056030121455933e+02 6.384755319386978822e-01 3
13 -1.515006468103051134e+02 4.781884780772792665e-01 0
9 -1.516056862052748784e+02 6.186402996168798296e-01 3
18 -1.514461013210481326e+02 2.043319096402500534e-01 2
17 -1.514501770123493429e+02 7.478171335020725730e-01 2
4 -1.549639758911912963e+02 8.156416167268969453e-01 1
19 -1.514429839988481490e+02 6.694892265023116851e-01 2
17 -1.514499163172210672e+02 1.507277686926708771e-01 4
15 -1.514505064093750377e+02 5.891230462517200728e-01 2
15 -1.514574532177906576e+02 5.799969143451910725e-01 2
19 -1.514397260886308345e+02 3.961552777361259103e-01 4
8 -1.521107188165383945e+02 5.330736293246004509e-01 1
8 -1.517999106574926600e+02 1.203568553248103301e-01 1
17 -1.514559780853699351e+02 8.551991610564186885e-01 2
7 -1.524263986345314663e+02 5.485311011296826189e-01 1
16 -1.514408856392473695e+02 5.249606024597347487e-01 4
20 -1.514403966992095718e+02 9.024739182134923210e-01 4
17 -1.514424770691622655e+02 2.242142625080820184e-01 2
12 -1.515515820575138264e+02 6.121866700609105427e-01 3
14 -1.514856360407299007e+02 1.781233104990924687e-01 4
19 -1.514433396871706350e+02 4.084197133542252223e-01 2
15 -1.514751145061327122e+02 7.107698358634136904e-01 4
5 -1.535034544943413835e+02 5.407509433026707057e-01 1
19 -1.514430933055745641e+02 9.241100308827192578e-01 0
22 -1.514397086113932005e+02 1.590604144219171234e-01 2
22 -1.514394853509848531e+02 3.520821697426053110e-01 2
14 -1.514924807053323548e+02 3.349575783937816520e-01 3
23 -1.514394548236454625e+02 2.029743947814676153e-01 4
14 -1.514819083210488202e+02 9.910914746351573434e-02 3
6 -1.518207087762458514e+02 2.646120281008670361e-01 1
20 -1.514406731538818178e+02 7.053068225765546373e-02 0
22 -1.514398799813082519e+02 4.665478244465965929e-01 2
16 -1.514697007323514413e+02 4.292880025392483700e-01 3
16 -1.514672601515888459e+02 1.502778488842650972e-01 3
17 -1.514518544848972397e+02 8.547564917065075818e-01 2
15 -1.514750071687962247e+02 6.080690516266884504e-01 2
12 -1.514937159910285231e+02 1.581300705308876786e-01 1
25 -1.514391862722185920e+02 3.188409699552212651e-01 0
21 -1.514404532309005162e+02 3.745042817296706517e-02 2
17 -1.514570455579587644e+02 1.430365719993307583e-01 4
8 -1.515637740937636977e+02 9.293838497580174662e-01 1
25 -1.514391493789394474e+02 6.981128330255381709e-01 0
25 -1.514392282097798557e+02 7.013520794569773065e-01 3
14 -1.514898539189367455e+02 6.403734916064363070e-01 1
26 -1.514391939593272696e+02 3.360403018053467750e-01 0
23 -1.514395899153328173e+02 4.316746143877328579e-01 0
26 -1.514392042709382054e+02 7.146882574672641653e-02 0
24 -1.514392052896433540e+02 1.881352198806825471e-01 3
25 -1.514392434039422710e+02 9.423853489345508372e-01 2
25 -1.514392234054229220e+02 7.000474521720265741e-01 0
27 -1.514391526885787016e+02 8.299484131535139753e-01 4
26 -1.514391475236652695e+02 4.134557912509924903e-03 0
28 -1.514391374890655584e+02 3.113205675798269567e-02 2
21 -1.514403459129664498e+02 5.582935997589969501e-01 1
22 -1.514395667554867373e+02 6.252956241391913750e-01 3
27 -1.514391573210566548e+02 8.365421303152628107e-01 2
25 -1.514392050897429840e+02 4.717555318313539914e-01 3
28 -1.514391378884900234e+02 6.892583235826506005e-01 1
29 -1.514391285140494858e+02 1.343099886530805809e-01 0
29 -1.514391306872571477e+02 1.903186967555130782e-01 1
28 -1.514391310010339282e+02 5.666536558700779880e-02 1
27 -1.514391585715325732e+02 6.180321700547398711e-01 0
27 -1.514391361013341566e+02 2.883938980504632266e-01 0
26 -1.514392118285900892e+02 8.478075396398523367e-01 4
24 -1.514393506282791861e+02 6.919259744613368568e-01 2
20 -1.514408733424398008e+02 8.029545525951873319e-01 3
17 -1.514399938362621185e+02 5.423114698544724277e-01 0
29 -1.514391261505444390e+02 2.111448929083209192e-01 2
16 -1.514603878923203979e+02 1.487820620106212188e-01 4
15 -1.514510045088684365e+02 8.392540953517650948e-01 3
22 -1.514397597099525115e+02 4.588501825026134462e-01 4
2 -1.653329841685633141e+02 6.254821376593913129e-01 1
7 -1.517119378021061209e+02 1.080293398632230506e-01 0
6 -1.521026139520884044e+02 9.948069336910242422e-01 0
26 -1.514391482203303667e+02 2.455508322742687988e-01 4
29 -1.514391311487659664e+02 7.816579440830242476e-01 4
20 -1.514404621334855960e+02 7.154394496693088357e-01 2
6 -1.528480102426195515e+02 9.038720293255702032e-01 1
18 -1.514409296823031639e+02 8.768790899326266430e-01 2
17 -1.514599813537175237e+02 8.663101032652115174e-01 0
14 -1.514775781538369586e+02 5.769387099883198644e-01 0
26 -1.514392012327238604e+02 6.307049465314307213e-01 2
5 -1.537785454617468872e+02 3.323051728106971581e-01 1
23 -1.514395007713343659e+02 4.293713223871988838e-01 2
12 -1.514547206807522741e+02 2.552947287012976574e-01 4
12 -1.515243589318709212e+02 9.999787918454783320e-02 3
26 -1.514391672287041501e+02 6.830858052997724750e-01 2
10 -1.515540003297134035e+02 3.545131369973102409e-01 4
11 -1.515452012750818653e+02 6.488815672511261123e-01 3
17 -1.514558367690989655e+02 3.863422535790856926e-01 4
1 -1.781142245441084810e+02 2.556815475247726233e-01 0
3 -1.523909889806227227e+02 3.505645015088611482e-01 1
4 -1.539636821771888151e+02 5.191552378228958542e-01 3
9 -1.517183495166828493e+02 4.074542671184193665e-01 1
21 -1.514405359604329817e+02 1.024654071793713456e-01 4
25 -1.514392154783157594e+02 5.055019111843986890e-01 4
27 -1.514391556670699970e+02 9.849825302863784993e-01 2
9 -1.516947229380744488e+02 9.740029993362533389e-01 1
8 -1.518229345604005971e+02 7.218752573323025112e-01 1
28 -1.514391304333711332e+02 6.503825181499947039e-01 4
28 -1.514391330307272483e+02 6.849949115101987562e-01 4
19 -1.514421015093848837e+02 6.014906350748194797e-01 2
2 -1.545181204531693027e+02 1.017350677734590869e-01 0
10 -1.515268008698501205e+02 4.415815344860689606e-01 4
0 -1.216654561434524567e+03 3.332855926946912822e-02 0
2 -1.603988150695067816e+02 6.204428384113915840e-01 0
26 -1.514392023974749009e+02 7.875893363500021671e-01 3
2 -1.548302712669683388e+02 1.362466507516655323e-01 0
25 -1.514391662304020088e+02 7.034502085331552079e-01 3
12 -1.514852153162149477e+02 9.163944102801711011e-01 2
14 -1.514787196657923687e+02 5.063296349667644192e-01 4
13 -1.514822032579397728e+02 6.690830587481595426e-01 2
16 -1.514668702418170199e+02 9.189446170497300725e-02 2
14 -1.514928318889004686e+02 4.343226148472476567e-01 4
9 -1.515663833198895816e+02 2.267556531682778376e-01 1
19 -1.514447470851337414e+02 8.499031747799621339e-01 2
25 -1.514391571431038130e+02 3.613350846113879133e-01 3
2 -1.697695961868499523e+02 2.172808527902243270e-01 0
13 -1.515037796700976855e+02 2.558668797540102346e-01 1
9 -1.514855541297900174e+02 4.930956522612485182e-01 2
5 -1.535583669072229895e+02 7.823021131951075624e-01 0
6 -1.525025418857058526e+02 8.746875061602678025e-01 0
11 -1.515141844220647727e+02 5.832652228177007681e-01 1
13 -1.514993479375175696e+02 1.467425600159977250e-02 1
21 -1.514402591657992048e+02 9.735713740988028997e-01 4
20 -1.514409254937502851e+02 6.513435475236266647e-01 3
14 -1.514909231204783282e+02 4.994074607452855807e-02 2
13 -1.514899860631882973e+02 5.844697110157278663e-01 2
28 -1.514391246672089721e+02 3.326507073101853118e-01 4
9 -1.516125984296257343e+02 2.808377378056714502e-01 1
3 -1.579451870510073377e+02 4.725657997194027127e-01 0
8 -1.517478733994443019e+02 6.402916414560624325e-01 2
5 -1.535871909812408944e+02 6.670774236601765272e-01 0
22 -1.514399355478606992e+02 3.891933889139277958e-01 3
4 -1.541468563011259505e+02 3.850061631248387073e-01 0
2 -1.962165658129990788e+02 3.541979096532404947e-01 1
8 -1.520091779839837614e+02 5.131127201613470135e-01 2
7 -1.520637891928527097e+02 2.354617881267784263e-01 2
3 -1.565392353513133799e+02 6.982318656387910272e-01 0
27 -1.514391303730142226e+02 1.111690464937886702e-02 4
5 -1.532477118176544195e+02 3.217109699958682900e-01 2
25 -1.514391668102333028e+02 9.643781844959954386e-01 3
6 -1.516707841372327152e+02 4.096257956418878909e-01 2
14 -1.514926343476257671e+02 2.261319262483532100e-01 1
15 -1.514806248733279688e+02 4.195938396043670249e-01 1
15 -1.514793403696700409e+02 4.086090276471843197e-01 1
10 -1.514987097757247057e+02 7.399176597848526882e-01 2
5 -1.528450505022996992e+02 7.377593156710093858e-01 0
18 -1.514465705710184125e+02 3.428596445041840468e-01 1
29 -1.514391286864961899e+02 6.635278602530905179e-01 4
21 -1.514404424039791763e+02 4.618025282742976856e-02 3
26 -1.514391843495862986e+02 5.842725911998587068e-02 3
26 -1.514391995156104258e+02 9.327393092239735783e-02 3
13 -1.514955700777241532e+02 2.613248479364404520e-01 2
3 -1.550587247915003104e+02 9.671437926003429997e-01 0
1 -2.660986194666325559e+02 8.062367240094552301e-01 0
15 -1.514748310446952075e+02 9.115396546257903410e-01 2
3 -1.575445360732340134e+02 8.508464604400278741e-01 0
17 -1.514464994457475484e+02 3.235295542643499278e-01 4
23 -1.514392319524946231e+02 7.714881188390487754e-02 3
23 -1.514395681034283143e+02 5.541992598535060849e-02 1
16 -1.514640039712827786e+02 6.419104246088966903e-01 4
29 -1.514391297043450493e+02 6.040333823517509693e-01 3
7 -1.519843435447244815e+02 2.957683412044538260e-02 0
10 -1.515438550356159055e+02 1.253875757233589017e-01 2
11 -1.515386844389252872e+02 8.312461516040886567e-01 2
29 -1.514391305246848560e+02 8.479404047123592081e-01 3
2 -1.778653982964353872e+02 7.118657023049426158e-01 0
27 -1.514391564379543524e+02 6.073221875330692132e-02 4
4 -1.550730197221502067e+02 5.565981430663659024e-01 0
4 -1.532499921401065137e+02 9.074056313462715018e-01 0
27 -1.514391365390401347e+02 3.888886213752287824e-01 4
25 -1.514392271976414008e+02 7.238454117732965321e-01 3
26 -1.514391638492091374e+02 4.497870074806686880e-01 1
26 -1.514391913923561219e+02 9.612925868351496206e-01 3
25 -1.514392488461828634e+02 1.860573420491067331e-01 2
23 -1.514393554607268868e+02 2.778755439046107778e-01 2
9 -1.515014992821087390e+02 3.950577415290403849e-01 4
23 -1.514392510760819732e+02 2.523017852461482136e-01 2
22 -1.514397007909093702e+02 9.749302886779948052e-01 2
17 -1.514569954197977779e+02 3.994310965961495596e-01 4
11 -1.515324949386607614e+02 4.377940205767321125e-01 3
16 -1.514447789108849918e+02 9.289396905033638907e-01 2
15 -1.514573224404190341e+02 5.402501353049671273e-01 4
11 -1.515289130388230490e+02 5.176106255166230685e-01 4
9 -1.517812010576568014e+02 3.555639817226978749e-01 3
8 -1.517986500889301169e+02 5.733111693952182009e-01 0
7 -1.520150627473273062e+02 3.350340114698220906e-01 0
14 -1.514803316564933766e+02 5.398013624333019012e-01 2
1 -1.584636776549621118e+02 7.665731967618811815e-01 0
17 -1.514588236033879696e+02 6.231330233583864953e-01 4
6 -1.528167909244458826e+02 4.305199363975617532e-01 2
4 -1.536732310005606337e+02 5.021967960600850489e-01 1
0 -1.602651461563539897e+03 1.229434382685574700e-01 3
4 -1.528538095052374217e+02 6.857905852120569357e-01 1
1 -2.492014896680981622e+02 8.479694262791377390e-01 3
2 -1.596548164168347625e+02 7.234107615250074952e-01 3
23 -1.514391641622867439e+02 1.494473183553346185e-01 4
28 -1.514391384686518904e+02 2.372845369080946454e-01 0
2 -1.707874542102416058e+02 1.616068792780911423e-01 1
4 -1.537663320319025217e+02 2.903396542007412595e-01 1
1 -3.650508206732362169e+02 8.284166631648722801e-01 2
0 -4.716200647245505024e+02 1.217213719819748297e-01 2
17 -1.514528159368164495e+02 5.569820603027899608e-01 4
12 -1.514632107908290948e+02 7.469212810108699641e-01 0
7 -1.524849308620077863e+02 9.355369524716650176e-02 3
6 -1.526507962951648096e+02 9.185509179728755802e-01 2
7 -1.524307678511414110e+02 9.252585232202303889e-01 3
15 -1.514443474431085690e+02 9.563003769743794180e-01 0
6 -1.526585172941020687e+02 5.289975146688249419e-01 2
8 -1.521117794650838562e+02 4.262533648082929005e-01 2
12 -1.515266286583400586e+02 6.589345510954025542e-01 0
8 -1.519978261857121140e+02 8.760434804622636573e-01 3
2 -1.925616761016221972e+02 3.515148277095649365e-01 1
11 -1.515800128822604336e+02 6.547987753299053804e-01 4
15 -1.514787750694606245e+02 4.496067851747964639e-01 0
10 -1.516251778021189409e+02 4.413685084874441333e-01 4
10 -1.516082086339033026e+02 5.318602133052952041e-01 4
11 -1.515853026872403007e+02 8.333407833116326380e-01 4
2 -1.784614751918705338e+02 3.390592376389385820e-01 2
0 -1.610040276962660073e+02 9.640833018269761023e-01 3
9 -1.517164568726275888e+02 3.361967021012728374e-01 4
14 -1.514933142184898998e+02 4.193168704465697338e-01 0
14 -1.514931800524342407e+02 2.598742300364143554e-01 0
1 -1.772455950053977176e+02 3.860262809863144184e-01 3
8 -1.518167544260033992e+02 2.903395361809417707e-01 1
12 -1.515532837485288269e+02 7.906512531247117392e-02 4
5 -1.525461664805693829e+02 2.874512319160382398e-02 2
2 -1.767303039932307911e+02 6.902419439749502006e-01 2
3 -1.559126235722592071e+02 8.234228357316677460e-01 1
12 -1.515455337829208133e+02 1.884278547987108254e-01 4
18 -1.514488847093203674e+02 1.947677033562945081e-01 0
13 -1.515035478486132661e+02 1.609118705914124314e-01 4
0 -1.547211034716675613e+02 7.854578615286238463e-01 1
3 -1.567292048292283653e+02 3.292658436386108889e-01 3
25 -1.514392490588561486e+02 1.271310476598788153e-01 0
4 -1.547544435271024099e+02 8.600559581552922328e-01 1
22 -1.514395623235530479e+02 7.059360585565416235e-01 0
10 -1.515416059413253720e+02 9.845279579519967683e-01 2
2 -1.815874164002773341e+02 3.523558080059214781e-01 3
0 -5.012517910877652412e+02 6.636997464865261875e-01 3
3 -1.556056945021222191e+02 3.376999601100258985e-01 3
16 -1.514678775857784672e+02 1.461660668514222494e-02 4
25 -1.514391664797901740e+02 1.640071712265223081e-01 0
20 -1.514410292701365393e+02 9.574462095026214925e-02 4
22 -1.514398637783471884e+02 1.861653637630777958e-01 0
6 -1.527876607247431480e+02 1.664743297361450380e-01 3
23 -1.514395891013776918e+02 1.746554119795407090e-01 4
3 -1.552344897627626210e+02 6.980297268142776623e-01 1
7 -1.524571923422586508e+02 9.605355248619281694e-01 3
5 -1.527511839332170496e+02 2.331860627822095466e-01 1
18 -1.514474447481092056e+02 4.802037208237933674e-01 4
17 -1.514559140060024163e+02 4.212851285862502237e-01 4
17 -1.514588463306670860e+02 8.590243006441085072e-01 2
26 -1.514392011699626437e+02 6.407482369764412322e-01 1
29 -1.514391307949273937e+02 8.404924697000488720e-01 0
15 -1.514756434937544043e+02 3.677906637432141745e-01 2
17 -1.514585418287397829e+02 2.530626027311496662e-01 2
25 -1.514391469363303884e+02 9.962116878153669530e-01 0
12 -1.515361635295523683e+02 3.603646825693909150e-01 4
6 -1.527852911232654378e+02 1.682960610202898777e-01 3
11 -1.515801591036761238e+02 9.849838627552767178e-01 4
24 -1.514392783998068808e+02 7.350491431753578553e-01 0
9 -1.517167452529635625e+02 4.936084624866614590e-01 4
3 -1.556584015386213196e+02 4.395821568057872719e-02 3
25 -1.514391714438087888e+02 5.221577034236997150e-01 1
0 -9.847948427782903309e+02 6.433948298593796800e-01 3
6 -1.526224316681562811e+02 7.234695714643872844e-01 3
20 -1.514411705742166987e+02 9.548616341008173691e-01 0
18 -1.514501573523164666e+02 6.267034742048243068e-01 4
23 -1.514392504012334371e+02 6.893243968784945608e-01 0
19 -1.514409647277185513e+02 5.312406342265627579e-01 2
27 -1.514391554826391371e+02 6.539658581381626590e-01 1
24 -1.514393315680329124e+02 1.844034229340301562e-02 2
22 -1.514395915558002628e+02 8.370407563932147355e-03 4
29 -1.514391249164916360e+02 5.155166030859916759e-01 2
22 -1.514397543198550693e+02 7.271216115996440577e-01 4
25 -1.514392352217575990e+02 1.334285569398001130e-02 1
18 -1.514492648365391005e+02 2.502941213069571208e-02 3
20 -1.514393578835274354e+02 2.769988578553627678e-01 2
21 -1.514399356305063407e+02 2.205586864272426340e-01 2
26 -1.514391769370264456e+02 1.207476829552069642e-01 1
24 -1.514393248953163038e+02 1.417555199313962899e-01 3
29 -1.514391318828490967e+02 1.058622351870016631e-01 2
19 -1.514429701038072267e+02 5.720063455113049145e-01 4
20 -1.514399248923089942e+02 2.535941924136747017e-01 4
23 -1.514391783086545900e+02 1.019238785980370876e-01 4
29 -1.514391307085604694e+02 2.819540003535387918e-01 2
19 -1.514418405629400013e+02 2.785715107441788518e-02 0
23 -1.514393806419108159e+02 4.504799900101650878e-01 3
22 -1.514392410766221815e+02 4.765927903782333774e-01 2
22 -1.514392591136435158e+02 2.851270801117811171e-01 3
29 -1.514391274167512051e+02 6.437327713600847767e-01 4
23 -1.514392791893872641e+02 9.991623146888599649e-01 3
15 -1.514410314304600433e+02 6.132719175697736169e-01 0
18 -1.514422791199341702e+02 6.155448725816374811e-01 3
25 -1.514392123691896188e+02 4.055981565851052295e-01 1
8 -1.520478315878355886e+02 3.457282271486927239e-01 2
17 -1.514449122290651530e+02 1.309090764887148317e-01 1
10 -1.515740374514270172e+02 6.010634375360746073e-01 3
17 -1.514572751386758682e+02 1.319781037240272958e-01 3
12 -1.515251833512999156e+02 7.343142744497933583e-01 2
8 -1.516081351884334936e+02 3.403968293339039164e-01 3
9 -1.516567349854727240e+02 9.091493938180021939e-01 2
22 -1.514394763527961913e+02 7.027625068601572877e-01 1
18 -1.514506418679178239e+02 4.109849824944434293e-01 4
26 -1.514391288328184260e+02 4.690590648293653242e-01 1
19 -1.514411872658515108e+02 9.405673407659332907e-01 4
28 -1.514391310162531568e+02 8.086400942833031902e-01 1
