# level_assignment log_likelihood tiebreaker ID
0 -1.812527362115841072e+02 9.313831178604086158e-01 3
1 -1.743834855671531727e+02 4.189895111279456352e-01 0
1 -1.554885983568206882e+02 2.227212567752255915e-02 3
0 -3.184809935011528523e+02 9.153159194388589270e-01 3
0 -2.554419816192809094e+02 6.170709828058118518e-02 4
0 -2.089641188605221203e+02 4.337906697436011427e-02 4
1 -1.635053639918629926e+02 1.662489382412155325e-01 2
3 -1.535759373813939135e+02 1.627580993992966685e-01 2
5 -1.532484403327157736e+02 1.924340850049088836e-01 0
6 -1.530559999931830646e+02 4.036526748884256555e-01 2
7 -1.531070638816574956e+02 7.177214039916017807e-01 3
7 -1.530651598633284607e+02 7.916269245414468969e-01 2
2 -1.552010289992377352e+02 4.341407998869880047e-01 4
9 -1.530093507889966986e+02 9.575836217797669692e-01 1
4 -1.533971104492954396e+02 9.273936954562330692e-01 1
4 -1.536630237294864401e+02 9.822218176167467618e-01 1
9 -1.529741169235230700e+02 5.963942635257550862e-01 4
10 -1.529791452977184463e+02 7.741192976756003929e-01 0
11 -1.529795501067349619e+02 7.034121314148569226e-01 2
4 -1.534748284655695443e+02 3.997254750094942355e-01 4
7 -1.531165836784336989e+02 5.828902857485083189e-01 2
11 -1.529727182943370849e+02 8.717778709310773921e-01 3
11 -1.529722485497054834e+02 7.467607176069176456e-01 2
8 -1.530273705784080107e+02 5.842330428249642438e-01 3
12 -1.529733180412228535e+02 8.281741663085284699e-02 3
8 -1.530373659788359930e+02 3.523977990263663651e-01 1
11 -1.529785845366354238e+02 1.393534825864348736e-01 4
12 -1.529717154794507223e+02 9.749290758670596801e-01 2
11 -1.529793597614492739e+02 4.106046648732593063e-01 0
10 -1.529887352051881066e+02 1.583644879499454539e-01 3
10 -1.529917962975264345e+02 7.191065806234142599e-01 4
9 -1.530031139491698582e+02 4.337075300480960349e-01 4
5 -1.529941249890896415e+02 8.074138471159374442e-01 1
11 -1.529741571179706057e+02 3.336828502791331363e-01 3
8 -1.530645149604947051e+02 6.408153474191138343e-01 2
12 -1.529735587546796296e+02 5.799379819472197939e-01 1
8 -1.530068231568033070e+02 3.331980700513162974e-01 4
12 -1.529738568425914025e+02 7.665916677995827655e-01 0
7 -1.530487463800637329e+02 8.215104578516350120e-01 1
10 -1.529869766815234016e+02 1.561993506194519488e-01 1
12 -1.529731081944128164e+02 4.451404960698621682e-01 1
14 -1.529712686301477902e+02 4.237860724273545543e-01 3
5 -1.533328298047405838e+02 1.626076902037224547e-01 2
10 -1.529855741970444569e+02 7.911611101347350017e-01 3
2 -1.532767942374208872e+02 6.040170109219922256e-01 3
4 -1.534118672684038245e+02 2.784917243575930068e-01 2
8 -1.530283531017514917e+02 9.450348804027566274e-01 4
5 -1.532786830777366163e+02 8.019631892593895861e-01 3
11 -1.529722365429033744e+02 9.130533708742660792e-01 3
11 -1.529787302872647388e+02 1.087408499676172369e-01 2
11 -1.529751954615020679e+02 4.547211687532755064e-01 1
14 -1.529713828988565183e+02 9.416498567243346551e-01 2
8 -1.530630497341917362e+02 8.281314024719498290e-01 0
9 -1.529898718717003874e+02 5.515818411169597368e-01 0
12 -1.529732113210349098e+02 8.147603085522268085e-01 3
9 -1.530112843465069261e+02 2.466951832741770545e-02 0
8 -1.530323931911121065e+02 7.831957904070957488e-02 4
11 -1.529781537773990863e+02 2.792511932956072140e-01 2
13 -1.529714105055540756e+02 1.485632141393607442e-01 2
13 -1.529711097076633450e+02 9.441191762676011123e-01 2
16 -1.529709039486963889e+02 1.783434444185874471e-03 2
12 -1.529715603735007790e+02 4.613471769738466399e-01 3
0 -1.699217386732499051e+02 2.015774226266856262e-01 1
7 -1.530600441830072782e+02 3.875366562824247296e-01 0
15 -1.529711060682823245e+02 8.897572889072420388e-01 3
7 -1.530765617166879622e+02 5.824237304452686281e-01 4
17 -1.529708712163176187e+02 7.621991623772208513e-01 3
13 -1.529713186697950960e+02 3.020465092141123020e-01 4
16 -1.529709248594747066e+02 1.202442115709120574e-01 2
11 -1.529783834046270670e+02 8.518581012860321211e-02 0
17 -1.529709363414580139e+02 5.494928205049682823e-01 2
17 -1.529708809389232442e+02 6.589517201359014198e-01 2
18 -1.529709005063844813e+02 9.762856124754135667e-01 2
13 -1.529710850448029760e+02 9.941839316532956605e-01 2
3 -1.537042349810797077e+02 8.754272435576292422e-01 0
16 -1.529709166858508524e+02 2.731734000120873418e-01 3
9 -1.529941620564595723e+02 3.196634831530145715e-01 0
18 -1.529708900745084748e+02 3.442787503301171226e-01 4
5 -1.533467111048745437e+02 9.525316810070627582e-02 1
9 -1.529985729666560985e+02 2.729356099835664740e-01 1
11 -1.529739156069728665e+02 9.656428308202488209e-01 1
5 -1.530590244355759921e+02 3.964201923536992966e-01 1
17 -1.529708829788609421e+02 3.003707369568768826e-01 2
9 -1.529872532042419380e+02 6.755029044214707623e-01 3
17 -1.529709436328323306e+02 9.582896832208843974e-02 2
14 -1.529712555959544602e+02 4.253515561518554366e-01 0
18 -1.529708725217315362e+02 3.344652143902576008e-02 2
20 -1.529708630832312224e+02 4.446779870441467941e-01 4
12 -1.529729851521139210e+02 3.405930135027306349e-01 0
19 -1.529708680429804986e+02 9.733681733147960813e-01 4
15 -1.529710616856856973e+02 9.281526442972514168e-01 0
17 -1.529709226726497491e+02 7.812551336685413794e-01 0
21 -1.529708573610977851e+02 3.909376329656255589e-01 1
23 -1.529708573339027851e+02 1.200298893619502760e-01 1
22 -1.529708580848786994e+02 2.613684893388663610e-01 1
19 -1.529708648061111944e+02 4.600363609707254775e-01 0
19 -1.529708634685336506e+02 5.068692586552696611e-01 0
25 -1.529708568446171455e+02 6.258843228722310581e-01 4
22 -1.529708586490766038e+02 2.714796766035592057e-01 3
