# level_assignment log_likelihood tiebreaker ID
0 -3.177018330889535491e+02 1.440075494667957812e-01 0
0 -1.792640956659996618e+02 4.356346105154526582e-01 1
2 -1.560040228405529206e+02 7.926509628147813125e-01 0
3 -1.551523693731325579e+02 7.729765564271475764e-01 4
3 -1.550199505997133542e+02 5.626754616581793877e-01 4
2 -1.553885888286602039e+02 5.232887053453908477e-01 3
4 -1.544162140661516958e+02 6.763284457939588989e-01 1
5 -1.542052192472779666e+02 3.721886784751622379e-01 1
3 -1.550327666110678138e+02 4.588956763952829476e-01 3
6 -1.541277247873424017e+02 8.014320196976518762e-01 4
4 -1.544535096085946293e+02 8.633199172915604347e-01 0
1 -1.547328579081765270e+02 8.094669808730079463e-01 4
3 -1.552656064129015192e+02 6.432625626250962902e-01 0
8 -1.540694440873365920e+02 4.194477112151737686e-01 2
8 -1.540811389365459263e+02 3.102536722644989031e-01 1
2 -1.551601409114168177e+02 8.093455322834519627e-02 0
8 -1.540828475689511379e+02 2.113589306486680641e-01 3
3 -1.553866013134693276e+02 3.152775816194600678e-01 0
5 -1.542273999784058276e+02 7.018551956856019514e-01 1
11 -1.540376113636654622e+02 3.073779218859426510e-01 4
5 -1.543814975117835502e+02 4.185992370220198988e-01 3
9 -1.540519979650167954e+02 9.786384570012224282e-01 2
10 -1.540427912530467154e+02 4.691164811703387727e-01 3
8 -1.540389322661998790e+02 4.250948401308960456e-01 1
1 -1.645283053309967727e+02 2.535192375943014498e-01 3
11 -1.540349129688145240e+02 2.737889593520675957e-01 2
12 -1.540360579788357427e+02 2.312172755647523559e-01 2
2 -1.554450938178752324e+02 4.523920127087510679e-02 0
11 -1.540432465523295491e+02 2.482973170401220064e-01 2
11 -1.540336162863163736e+02 4.756886885468292192e-01 2
11 -1.540433451383140664e+02 1.648178480616082076e-01 0
7 -1.541477129924149381e+02 6.955042097245205390e-01 3
11 -1.540396564055620843e+02 6.344802593144294178e-03 2
10 -1.540532938728338479e+02 5.327967202833434612e-01 2
15 -1.540326820002363775e+02 5.559515583496247304e-01 3
2 -1.562220339449403355e+02 8.685413635283907308e-01 4
11 -1.540345418098303014e+02 5.812892411811479976e-01 2
4 -1.545757599991702023e+02 5.733179069825329321e-01 4
11 -1.540397719518233544e+02 5.282751159771870153e-01 4
16 -1.540321222835739547e+02 8.152184463430732775e-01 3
5 -1.541672025646939517e+02 2.129370865392958834e-01 1
9 -1.540471579386999963e+02 9.591092916390288048e-01 0
15 -1.540326519133905663e+02 7.259435751584997210e-01 3
14 -1.540331588907624507e+02 4.654718728656330184e-01 1
11 -1.540366723277153369e+02 2.557336398175446557e-01 4
14 -1.540331011853333507e+02 7.274669158845911143e-01 4
13 -1.540334439503093904e+02 6.068953331867521506e-01 0
12 -1.540349680439196618e+02 9.456081032293113253e-01 0
12 -1.540341115798790383e+02 5.295621531868857090e-01 2
8 -1.540779435894065443e+02 7.873425481650190294e-01 2
16 -1.540321567987060689e+02 9.447483031463562719e-01 1
16 -1.540321985730490724e+02 8.065907258173319327e-01 4
12 -1.540334153715818957e+02 1.411264351090911195e-01 4
10 -1.540403276072036647e+02 3.056283185019230686e-01 4
9 -1.540467631585883623e+02 7.139348392337628857e-01 3
15 -1.540322905876901700e+02 1.980592287824132214e-01 4
9 -1.540548282391181658e+02 2.927304972791139326e-01 0
9 -1.540533729203366704e+02 4.585016678272918478e-01 0
11 -1.540417638653655104e+02 8.500517863764096571e-01 0
13 -1.540335678616451105e+02 8.096418596371102172e-01 0
12 -1.540353313144466085e+02 5.203275921077137323e-01 0
18 -1.540320585475086546e+02 9.953122662209294980e-01 3
19 -1.540320570678096601e+02 1.284796862117716133e-02 3
14 -1.540324856956235635e+02 4.347129215901652799e-01 0
17 -1.540321246616538815e+02 4.024154923625844482e-02 2
18 -1.540320461336006304e+02 5.755582935111491771e-01 0
16 -1.540323337821972416e+02 5.010289983886906384e-01 2
15 -1.540326245991373355e+02 5.767831829655105658e-01 2
21 -1.540320459969830722e+02 2.463624184887319712e-01 3
15 -1.540326631177643719e+02 5.495345373542177558e-01 2
22 -1.540320399920432806e+02 3.967651572384331415e-01 3
23 -1.540320418733976453e+02 5.679557533869051822e-01 3
24 -1.540320402943382874e+02 8.281391798034625218e-01 3
24 -1.540320393572885109e+02 2.690046821104135066e-01 3
13 -1.540327956360678172e+02 8.071451090643308457e-02 2
22 -1.540320428330049083e+02 3.055902892858536890e-01 4
23 -1.540320423597917738e+02 5.676433987246269908e-01 0
24 -1.540320402230993295e+02 4.537019239935396464e-01 4
23 -1.540320414666703357e+02 6.352832239014407634e-01 3
23 -1.540320419151296960e+02 1.306681548379772795e-01 0
7 -1.540473087512709753e+02 5.194567078439575880e-01 1
11 -1.540410915326696113e+02 9.469194274129362210e-01 1
6 -1.541075664230076541e+02 7.746662594011585190e-01 2
25 -1.540320395628527308e+02 4.727930680971940969e-02 0
25 -1.540320389196465385e+02 5.276621008905534316e-01 4
26 -1.540320388122680697e+02 5.126744320610698846e-01 4
10 -1.540407543589766988e+02 9.613617818587404107e-02 2
13 -1.540340590462904800e+02 8.508866872055573793e-01 2
