# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33558 33558 14097 33558
-8.780711538423852103e-01 -1.884677329709226967e+02 1.855656361014279554e-01 28579 33576 17905 46376
-1.832787354948578029e+00 -1.599494735815715671e+02 1.857711860556200967e-01 25541 33609 14377 50306
-3.068438245288806598e+00 -1.554268014508816691e+02 6.215715819753077076e-01 21918 33694 18251 47288
-4.023414442868014085e+00 -1.547871669642606491e+02 7.658621824555762458e-01 19185 33626 19404 50651
-4.985230251026673720e+00 -1.544525471283181162e+02 3.293904554023497355e-01 17348 33620 20191 51952
-5.933383947431248195e+00 -1.542840582800191100e+02 8.855234884386701255e-01 15707 33701 23683 52713
-6.743794776687207282e+00 -1.542061139084385673e+02 5.519773187129282110e-01 14651 33633 17877 56043
-7.878246413618650301e+00 -1.541504034528944942e+02 7.650734552223762419e-01 13514 33686 14548 50675
-9.109831328398612982e+00 -1.541219651307755498e+02 2.226899192515914838e-01 12238 33662 22879 47766
-9.860432132153382767e+00 -1.541137377953784835e+02 8.444557402076702246e-01 11562 33495 24759 55379
-1.067505840897551650e+01 -1.541083428916122671e+02 3.614226630576862220e-01 10890 33270 23384 56752
-1.156736939748644843e+01 -1.541047119504733018e+02 5.431945521920398257e-01 10268 33130 25500 55629
-1.235807253699074515e+01 -1.541028821776005202e+02 3.344516879051902536e-01 9839 32931 22066 56827
-1.330682214329773494e+01 -1.541016301377015054e+02 2.591087327471577328e-01 9192 32902 17390 53794
-1.442845702699476718e+01 -1.541008554753802002e+02 2.181780517809632503e-01 8458 32897 21736 49541
-1.526202591206970283e+01 -1.541005637847245282e+02 6.272261463423198791e-01 8068 32867 20982 53212
-1.619641163152899210e+01 -1.541003897440996298e+02 8.744750334517235046e-01 7660 32917 20969 52701
-1.712227876256130443e+01 -1.541003070320763868e+02 3.917804208388870890e-01 7323 32911 18092 52750
-1.818827482767270709e+01 -1.541002519313030632e+02 1.157111328464102522e-02 6765 32611 20970 49647
-1.905787614272449559e+01 -1.541002289496332196e+02 4.504383570834502581e-01 6653 32648 16925 52310
-2.017849281618175183e+01 -1.541002128944975880e+02 6.020489590007682690e-01 6274 32541 24752 48431
-2.086704780883240318e+01 -1.541002075516621517e+02 4.102647626675377523e-01 5770 32563 13406 55726
-2.226377304411681379e+01 -1.541002019180124876e+02 2.206898823080678806e-01 5634 32666 16741 45776
-2.326928996944974060e+01 -1.541002002875544576e+02 5.508766632267310115e-01 5438 32607 31224 48757
-2.374121042396566494e+01 -1.541001998173672689e+02 8.930700285830492913e-01 5206 32569 22859 63159
-2.475673716192078544e+01 -1.541001991175312469e+02 1.166027576254298204e-01 4912 32339 28146 54560
-2.543447289824884905e+01 -1.541001988409318813e+02 9.889892164732372315e-02 4778 32356 8245 59872
-2.733656181402170304e+01 -1.541001984959177378e+02 5.330213950808367074e-02 4454 32011 12636 39617
-2.846799600115168261e+01 -1.541001984341463640e+02 2.854938997312381765e-01 4015 31637 0 0
