# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31385 31385 14125 31385
-8.152371509513069991e-01 -2.054206431768994889e+02 5.278700882490769963e-01 26767 31325 17576 44033
-1.738905662569971922e+00 -1.605856881196933728e+02 5.779022456016431608e-01 23004 31354 17308 47668
-2.751177748073696527e+00 -1.546785265322890837e+02 4.135196727322405508e-01 19423 31402 20347 47592
-3.609639321876641826e+00 -1.533980540942538937e+02 5.742823793950573297e-01 17758 31502 13160 50421
-4.928988146079851695e+00 -1.525468610402881211e+02 4.209498040743401837e-01 15936 31806 7504 44035
-6.623768677087855217e+00 -1.522008847527819739e+02 2.453018325870736649e-01 14028 31645 15644 38515
-7.531908658826229619e+00 -1.521240827072972763e+02 7.004042756051278573e-01 13264 31756 15002 46165
-8.647517321455968187e+00 -1.520786059427086343e+02 6.129982026425131458e-01 12256 31729 13646 45618
-9.839586755564646126e+00 -1.520549425375630790e+02 3.248210117719432244e-01 11254 31608 16004 44414
-1.085891257477803862e+01 -1.520451671899828057e+02 4.027978997447458909e-01 10595 31671 9168 46606
-1.243111297134810656e+01 -1.520393376272817250e+02 7.364496571997172225e-01 9752 31439 23368 40024
-1.299668214492209017e+01 -1.520385194054958333e+02 5.933375380234650054e-01 9388 31372 26725 52913
-1.369516731744585947e+01 -1.520378677419882649e+02 6.212285833011806924e-01 9028 31265 29567 56482
-1.435831385754767808e+01 -1.520374860381711812e+02 9.520229482296649337e-01 8827 31405 27964 59348
-1.512196676145963181e+01 -1.520371992236119638e+02 6.150440366837232053e-01 8395 31470 15615 58103
-1.641709298043638654e+01 -1.520369315710793785e+02 3.304484938660318671e-01 7759 31245 16997 46159
-1.741620863205853453e+01 -1.520368388516005211e+02 6.600626624217548200e-01 7396 31162 9405 47069
-1.897498821371758382e+01 -1.520367801104072782e+02 3.655316966580292037e-01 6837 31150 12382 40061
-2.013532616501777284e+01 -1.520367636324355374e+02 8.579593824942480795e-01 6313 30985 21165 42727
-2.085569959013854202e+01 -1.520367583586257751e+02 5.722100110560148778e-01 6207 30979 23396 50585
-2.163889949547905900e+01 -1.520367550595187254e+02 7.314287959102546699e-01 5851 30932 20148 53204
-2.261153124659490388e+01 -1.520367524334313600e+02 8.268963668312075965e-01 5887 30948 30187 50768
-2.315399639948377342e+01 -1.520367514804857478e+02 5.496186297954566147e-01 5492 31063 19472 60334
-2.427797326974706849e+01 -1.520367502917124227e+02 7.019785299383722865e-01 5158 30918 21052 49810
-2.514695843636052075e+01 -1.520367498129786270e+02 8.873750596985380268e-01 5086 30717 33950 51123
-2.558262826301245596e+01 -1.520367496616077005e+02 6.754746812772094433e-01 4866 30699 15936 64008
-2.695082126873217732e+01 -1.520367494138525615e+02 1.938137580239649438e-01 4487 30732 11817 46040
-2.828332774187065368e+01 -1.520367493286723857e+02 3.597621165546165956e-01 4314 30237 27751 41417
-2.871625661074887859e+01 -1.520367493162158041e+02 9.486984780512430770e-01 4343 30221 0 0
