# level_assignment log_likelihood tiebreaker ID
0 -2.101878418934164472e+02 3.798980599434820249e-02 2
2 -1.577232056331487229e+02 9.231667493559981841e-01 4
1 -2.026440414861093586e+02 3.612096529769410758e-01 2
0 -3.530902383682590653e+02 4.742495265293628637e-01 3
0 -2.304143210902402075e+02 7.939863689195743035e-01 2
4 -1.525109243434148709e+02 1.943492330626208631e-01 3
3 -1.539257372214824500e+02 1.476680978802180633e-02 4
5 -1.524514240184014113e+02 7.931554236979043715e-01 1
0 -3.253988749399191533e+02 4.031818492465220061e-01 4
0 -2.680190147553901170e+02 2.297164677363537078e-01 4
2 -1.545464126617453360e+02 8.177601182435632055e-01 1
5 -1.522065484829284401e+02 2.966596440085234390e-02 2
1 -1.532565719607953270e+02 6.153825277333945243e-01 1
5 -1.525282806717717676e+02 3.199061817040466660e-01 4
1 -1.973836148129698813e+02 5.470905718072078816e-01 4
8 -1.520451671899828057e+02 4.027978997447458909e-01 0
3 -1.541567037261213500e+02 8.768016544376666666e-01 4
7 -1.520696732591373461e+02 4.725121838679264274e-01 0
7 -1.520834901839339750e+02 2.508728374723400711e-01 0
5 -1.525130675379620584e+02 6.622788487350428355e-01 1
3 -1.535425439582366494e+02 6.116783451308129838e-01 3
5 -1.521488471909814848e+02 6.703067992570266309e-01 3
7 -1.520991292457064219e+02 5.689324928751871013e-02 1
5 -1.521573983778557704e+02 9.974176862310493163e-01 1
9 -1.520392322051108351e+02 7.971923778310335829e-01 2
8 -1.520422705781648176e+02 5.859506148771082001e-01 2
10 -1.520387854746821290e+02 5.732492618938386242e-01 1
6 -1.520782520138918699e+02 9.527424084799938075e-01 1
7 -1.520639143305909613e+02 4.684943888699787951e-01 3
10 -1.520385460513990665e+02 2.716674426915544061e-02 2
4 -1.525988885601059621e+02 4.337077547439305292e-01 4
2 -1.588672990267358216e+02 4.244709239114579091e-01 4
4 -1.524663684722040387e+02 3.533809416626185196e-01 4
11 -1.520392084569677422e+02 4.680924353873360255e-01 0
5 -1.522224977355441524e+02 8.068547107165409127e-01 3
8 -1.520498495554577119e+02 8.167758204777966213e-01 2
7 -1.520700981685265845e+02 1.863086046950090946e-02 3
10 -1.520407375401356376e+02 1.836872493228012271e-01 4
12 -1.520383357776557602e+02 7.246211523310923663e-01 0
13 -1.520371405179294584e+02 3.337347340869031842e-01 4
4 -1.525608955699340470e+02 9.721046439938296757e-02 1
8 -1.520547830025169276e+02 3.058878935872025306e-01 0
14 -1.520370394351453456e+02 8.421726477045008430e-01 4
4 -1.531093550893661472e+02 5.472975567425519827e-01 1
11 -1.520383034930568442e+02 3.097533482863191190e-01 4
