# level_assignment log_likelihood tiebreaker ID
0 -1.356586050337232882e+05 1.596773640228092150e-01 1
1 -1.808446379660612365e+04 1.771397965956208326e-02 2
0 -9.737731863587175030e+04 1.680651539221410529e-01 3
2 -6.685106665430065732e+03 7.124882359219155692e-01 4
0 -2.072361280278745107e+04 4.061204104610317001e-01 0
3 -1.637636168176112051e+03 1.971059682779113531e-01 2
3 -7.706764388804595001e+02 3.374201036899335815e-01 2
4 -2.623328763748024357e+03 6.938236988876131939e-01 1
1 -8.375014571347292076e+03 5.276002074708756595e-01 4
2 -2.530100094285016439e+03 7.520999497499353259e-01 0
4 -2.314783516142139433e+03 2.967090222072359396e-01 4
4 -2.632115770637697551e+03 4.906222395953188098e-01 2
0 -1.878206390300531712e+04 9.210345759228915075e-01 0
5 -9.206140030184290026e+02 7.583564642708651160e-01 2
5 -8.619107698729810636e+02 5.434000584416532886e-01 3
3 -4.633394899812974472e+03 1.804320585210075212e-01 0
5 1.193108342458348261e+02 4.636210314242065200e-01 1
7 6.093580718349741119e+02 5.057177583938714527e-01 3
2 -6.097293860811631021e+03 7.750090912044118596e-01 2
0 -9.933353056431259029e+04 2.844033136668677741e-01 2
7 3.993361173970794766e+02 3.014430546094279961e-01 0
4 1.237968644821187922e+02 1.298606467756449057e-01 3
4 -9.243790514287960605e+02 6.429980009853242251e-01 4
8 7.465253732508308531e+02 2.053679196821889263e-01 1
8 7.341036346675023196e+02 6.298008582320417936e-01 1
8 6.520541327700880174e+02 5.316217451330368382e-01 3
9 7.529833378066737168e+02 3.141969249871044978e-01 1
10 7.514726649606641331e+02 9.141815638677601719e-01 4
9 7.762860630102732102e+02 4.590288710771983638e-01 1
5 -7.277679994655545670e+02 7.312330916459905406e-02 0
5 -6.774917141863709276e+02 2.505808556750168670e-01 0
3 -1.963123015136706954e+03 5.950706549072037888e-01 2
0 -7.479522712515859166e+04 4.888869722760471603e-01 2
1 -1.028184018445585389e+04 5.717828113239153964e-01 2
0 -6.456536322730137908e+04 6.073612726719210819e-01 2
0 -1.114830229001178668e+04 1.057841055291597748e-01 2
3 -1.951102491597267772e+03 2.284944687323181844e-01 3
0 -5.296000670562082814e+04 9.743473311020967031e-01 4
4 -2.729035576918122842e+03 2.122157664189864290e-01 4
2 -7.451165661620754690e+03 5.901687530133936654e-02 3
8 6.340273954383048931e+02 9.041239850200633033e-01 4
9 7.627192737500981821e+02 1.445025499330045982e-01 4
0 -3.979496778199341497e+04 4.808423947906073082e-01 1
4 -2.455243164198405793e+03 6.765279618288322361e-01 1
1 -8.716163292369317787e+03 1.242486784076524131e-02 1
3 -4.236893795854117343e+03 3.680411008157531416e-01 2
5 -9.570923150482609572e+02 1.294773464875383640e-01 4
12 7.756937701619825702e+02 6.882417785782231068e-01 3
8 7.446430647275528827e+02 3.426625420277782386e-01 4
5 -7.897701280719063561e+02 7.558492030986946331e-01 1
7 7.229931804902901149e+02 7.179744688545720566e-01 4
5 -8.997877317593763564e+02 6.980482426985284983e-01 0
3 -4.809481589950694797e+03 2.484426072548568953e-01 2
2 -3.311220311606725772e+03 4.487927257679915072e-01 2
3 -1.904024024664452554e+03 7.639882580208479101e-01 1
0 -1.960743264964872651e+04 7.163784934356858258e-01 4
12 7.759897863722894726e+02 5.726697292291210717e-01 3
6 -6.938108636649062078e+00 7.622478869759774511e-01 0
1 -8.814771792504654513e+03 5.069089385676892601e-01 1
8 7.642219800278385264e+02 1.979833851656163102e-01 3
3 -2.357233550282833676e+03 3.553988216198057937e-01 4
9 7.302525735466285823e+02 8.478523519721049562e-01 4
12 7.782682667193180350e+02 6.109486812750135609e-01 3
5 -8.513890911144895881e+02 2.362581873215497119e-01 2
14 7.786063788779201786e+02 9.464255728948320900e-01 1
9 7.776682864587839958e+02 8.101219457745600927e-01 2
15 7.796038601798397849e+02 3.884405345187760261e-01 0
14 7.787595659628284466e+02 6.156849359714675618e-01 1
15 7.792887416888224834e+02 3.353058055275266458e-01 1
16 7.800014184808518394e+02 7.830424863425048398e-01 0
13 7.798420733660923361e+02 8.109655881964948909e-01 0
15 7.797522935929666801e+02 9.653202341213094062e-01 1
14 7.792028793006370506e+02 2.411389635279643784e-01 3
15 7.801542026844911106e+02 8.605805347187023280e-01 2
17 7.809961409665565952e+02 1.883217561488707004e-01 2
3 -4.819639624411986006e+03 6.669857508676518831e-02 4
18 7.809232977994562361e+02 4.051657947371420931e-01 3
16 7.800918683833449450e+02 7.484852526535012984e-01 0
19 7.810672505017239473e+02 9.024114131371389069e-01 1
20 7.811690353262122244e+02 5.666463234884195899e-01 1
20 7.811559686275688819e+02 3.712012603188024618e-01 1
20 7.811411030410556577e+02 2.002641547016833501e-01 1
20 7.811787263165685999e+02 4.738790519364481368e-01 1
19 7.810377695844579193e+02 2.283303581788729275e-01 2
17 7.807369530840037442e+02 8.406574381629429160e-01 2
10 7.634553844434296934e+02 3.008442299247401919e-01 4
18 7.809375542322486581e+02 4.077953393466689502e-01 2
17 7.806743414153240792e+02 2.896344817220004586e-01 0
20 7.811823695887831036e+02 5.049479972170421993e-01 3
9 7.411268480323000176e+02 1.536000609395600236e-01 4
18 7.809439778083032024e+02 6.749658004295274738e-01 0
22 7.811805379615657330e+02 4.462370578678926947e-01 3
16 7.803250193538068515e+02 4.589373814174351196e-01 2
22 7.811900924424246568e+02 3.545328216903431695e-01 3
17 7.806824862274092993e+02 3.335254487133960666e-01 2
24 7.811976968537360335e+02 6.929908956988960478e-01 0
20 7.811181278897515767e+02 7.733631841644186267e-01 1
19 7.811789805470250485e+02 8.521322782950878638e-01 1
19 7.811305690948486244e+02 3.476331789797406646e-01 3
17 7.807901242636069128e+02 2.218860403609242693e-01 3
25 7.812055694143098208e+02 6.377653837440853124e-01 0
24 7.811985625035563316e+02 1.217340558455326516e-01 0
8 6.797187828446478761e+02 3.648617302097179049e-02 4
23 7.811880565780400048e+02 9.912610788048747956e-01 1
22 7.811973756769004922e+02 7.828839685912328816e-01 1
24 7.812032035236079537e+02 3.833880587741786417e-01 0
26 7.812047952695995718e+02 7.740641422052585430e-01 1
11 7.725211912498430138e+02 5.915438283476848191e-02 3
11 7.751659601921282956e+02 4.346863475410718269e-01 3
27 7.812061599349082144e+02 4.820832839332354069e-01 1
27 7.812068592411576446e+02 9.361464203767966286e-01 0
11 7.773463572557875523e+02 3.917961313495954556e-01 3
29 7.812087016992675217e+02 5.457055255310496733e-01 0
13 7.792741958202271917e+02 5.763591139540731323e-01 3
13 7.783453126520216756e+02 7.497539236630622606e-01 3
6 6.260906055497407579e+02 8.554280926261426110e-02 2
22 7.811742863736701565e+02 7.158417461559747341e-01 4
5 -5.593814561269327896e+02 3.221823250168809327e-01 3
9 7.530676232966325188e+02 5.822803531090778861e-01 2
3 -2.887202722277834710e+03 4.529492232784934624e-01 3
10 7.715746901780572671e+02 8.747301837564454008e-01 2
28 7.812070515140965199e+02 2.553390813440734597e-01 0
3 -4.560105783568828883e+03 9.423948010610148085e-01 2
29 7.812084849109992319e+02 1.753976532677590516e-01 0
27 7.812052639412612507e+02 2.730697910856842991e-01 0
6 -1.132890254977043867e+02 6.573657498581676473e-01 3
1 -1.726221517654681884e+04 8.959628723448508358e-01 2
2 -5.552530120702465865e+03 7.644723931672758876e-01 2
29 7.812096455393605083e+02 1.461143733614858609e-01 0
25 7.812059328574898700e+02 9.444833570158274183e-01 1
28 7.812077940530627984e+02 7.879753110064769972e-01 0
0 -1.006808226960622960e+04 7.876139729977174042e-01 2
29 7.812105652830916824e+02 7.985086349888890211e-01 0
6 3.490842416880121277e+02 6.789295173290460506e-01 3
3 -3.920419972614266953e+03 4.280907582019723989e-01 2
4 -1.039921507444458939e+03 7.852399602050935679e-01 2
23 7.811957555844918488e+02 6.611311804282234972e-01 0
29 7.812086319782019928e+02 2.601450082611585501e-01 0
10 7.628878809534091943e+02 2.965556156714712621e-01 3
27 7.812069737027168230e+02 2.252445651984416874e-01 1
4 -1.869520808257181670e+03 8.193358296056216794e-01 2
20 7.811507133271843486e+02 1.763123272950020137e-01 4
13 7.784755706529979307e+02 9.700433717026812896e-01 2
2 2.545753311303775490e+01 6.703466690296928654e-01 3
28 7.812081205210938606e+02 4.267425792019893804e-01 0
14 7.792457648434879047e+02 8.185508724068337738e-01 2
28 7.812070063402405822e+02 9.613598911491904042e-01 0
2 -3.987081452380268729e+03 3.033875951186715270e-01 3
13 7.778702831134628468e+02 6.622532589351691132e-03 2
20 7.811651479879682256e+02 7.763155591262854704e-02 1
22 7.811732458964810348e+02 5.925956757108319373e-02 1
20 7.811193496088204711e+02 9.170764438905667504e-01 1
20 7.811804908871990847e+02 6.385396584013403043e-01 4
22 7.811732365678890346e+02 6.325744139165160318e-01 4
14 7.786977073789084898e+02 5.149634256888899753e-01 2
22 7.811732946588899722e+02 4.793837271861482452e-01 4
3 -6.094719705038726261e+02 5.869550337250188932e-01 3
6 4.684669467866845594e+01 8.884241924029626647e-01 3
17 7.809456546834388746e+02 7.493932177085833590e-01 1
14 7.791078228024098280e+02 3.862441553388222815e-01 2
19 7.810809414447410290e+02 2.835713582228364671e-01 1
13 7.781715085400257976e+02 8.211999028547909418e-01 2
17 7.807168801242365817e+02 6.718656315375497456e-01 1
17 7.806702601455846207e+02 2.849598318935533392e-01 1
25 7.812051716153042662e+02 4.054263179510613213e-01 0
18 7.809325051410680771e+02 9.605039528903687174e-01 1
4 -1.130983387744291576e+03 7.102373874907073059e-01 3
12 7.767869535822205762e+02 3.540414245213880928e-01 2
5 -8.373459279379258078e+02 9.849092468104316822e-01 4
5 -2.067347458442914672e+02 3.097404893899722289e-01 3
